episode,wall_s,steps,p0_transitions,train_calls,epsilon
1,0.002329,80,22,22,1.0
2,0.002563,67,21,21,1.0
3,0.017131,67,24,24,0.9801495006250001
4,0.046416,81,25,25,0.8647077305675338
5,0.035006,62,20,20,0.7822236754458713
6,0.046359,93,26,26,0.6866430931872001
7,0.03833,70,22,22,0.6149486215357263
8,0.035372,79,20,20,0.5562889678716474
9,0.034772,64,19,19,0.5057535983897912
10,0.039041,79,21,21,0.45522245551230495
11,0.038594,67,21,21,0.40974000909221303
12,0.041114,69,23,23,0.36512303261753626
13,0.032455,74,20,20,0.3302941218954743
14,0.034229,63,20,20,0.2987875242397482
15,0.039323,77,23,23,0.2662522686041882
16,0.035766,76,22,22,0.2384520680152932
17,0.048571,72,23,23,0.21248679717794605
18,0.036971,68,20,20,0.192217783647157
19,0.042893,74,22,22,0.17214774642209296
20,0.044526,75,22,22,0.15417328217978102
21,0.044266,74,21,21,0.138769433003975
22,0.038194,74,18,18,0.12679708435358925
23,0.046918,83,24,24,0.11242507996344034
24,0.027178,73,17,17,0.1032418023864836
25,0.040532,79,21,21,0.1
26,0.03124,66,17,17,0.1
27,0.036248,74,20,20,0.1
28,0.03328,66,17,17,0.1
29,0.031844,65,19,19,0.1
30,0.031109,60,18,18,0.1
31,0.023613,67,14,14,0.1
32,0.027852,69,15,15,0.1
33,0.046616,79,22,22,0.1
34,0.040475,82,19,19,0.1
35,0.032014,75,17,17,0.1
36,0.033507,71,18,18,0.1
37,0.037027,65,18,18,0.1
38,0.038129,70,22,22,0.1
39,0.039713,74,22,22,0.1
40,0.030692,73,20,20,0.1
41,0.026872,67,17,17,0.1
42,0.034709,77,22,22,0.1
43,0.036987,69,20,20,0.1
44,0.035814,72,20,20,0.1
45,0.032244,76,20,20,0.1
46,0.030478,72,20,20,0.1
47,0.029608,80,16,16,0.1
48,0.034279,76,18,18,0.1
49,0.024729,61,13,13,0.1
50,0.034573,75,18,18,0.1
51,0.03855,70,21,21,0.1
52,0.029329,62,18,18,0.1
53,0.030135,66,19,19,0.1
54,0.039388,71,20,20,0.1
55,0.03304,71,18,18,0.1
56,0.043932,79,20,20,0.1
57,0.036,74,18,18,0.1
58,0.037044,60,19,19,0.1
59,0.02426,68,12,12,0.1
60,0.022271,64,11,11,0.1
61,0.081003,74,24,24,0.1
62,0.044573,84,20,20,0.1
63,0.048625,74,20,20,0.1
64,0.083771,62,15,15,0.1
65,0.053666,68,18,18,0.1
66,0.06566,74,21,21,0.1
67,0.043553,76,17,17,0.1
68,0.024483,63,11,11,0.1
69,0.047358,73,18,18,0.1
70,0.040279,68,16,16,0.1
71,0.039921,80,17,17,0.1
72,0.055253,83,24,24,0.1
73,0.054768,73,21,21,0.1
74,0.054194,68,20,20,0.1
75,0.048607,75,18,18,0.1
76,0.055151,78,21,21,0.1
77,0.061333,72,20,20,0.1
78,0.049844,75,21,21,0.1
79,0.061567,71,23,23,0.1
80,0.068037,78,19,19,0.1
81,0.037978,76,16,16,0.1
82,0.03943,71,21,21,0.1
83,0.039321,73,20,20,0.1
84,0.033873,66,13,13,0.1
85,0.045437,73,18,18,0.1
86,0.064921,65,17,17,0.1
87,0.069051,69,22,22,0.1
88,0.031396,69,16,16,0.1
89,0.026812,73,13,13,0.1
90,0.038284,75,20,20,0.1
91,0.045001,67,19,19,0.1
92,0.065632,74,22,22,0.1
93,0.067688,73,17,17,0.1
94,0.050859,65,20,20,0.1
95,0.039106,77,20,20,0.1
96,0.039561,76,21,21,0.1
97,0.025,68,13,13,0.1
98,0.043741,77,15,15,0.1
99,0.036602,77,19,19,0.1
100,0.041451,74,21,21,0.1
101,0.024309,68,12,12,0.1
102,0.043522,63,21,21,0.1
103,0.036663,80,18,18,0.1
104,0.033142,73,17,17,0.1
105,0.036518,67,19,19,0.1
106,0.023856,66,12,12,0.1
107,0.065564,79,22,22,0.1
108,0.042839,63,12,12,0.1
109,0.029523,69,15,15,0.1
110,0.042374,73,21,21,0.1
111,0.030282,63,11,11,0.1
112,0.034566,71,15,15,0.1
113,0.03506,64,17,17,0.1
114,0.039964,66,18,18,0.1
115,0.04289,68,20,20,0.1
116,0.031521,72,16,16,0.1
117,0.039545,65,21,21,0.1
118,0.054262,74,21,21,0.1
119,0.040254,75,19,19,0.1
120,0.044436,77,23,23,0.1
121,0.170245,77,18,18,0.1
122,0.036262,72,18,18,0.1
123,0.044585,70,20,20,0.1
124,0.045244,83,22,22,0.1
125,0.037042,74,18,18,0.1
126,0.037662,68,16,16,0.1
127,0.039175,66,20,20,0.1
128,0.030082,74,15,15,0.1
129,0.034435,68,18,18,0.1
130,0.027584,72,14,14,0.1
131,0.036201,73,19,19,0.1
132,0.041888,73,20,20,0.1
133,0.042581,87,22,22,0.1
134,0.038547,71,18,18,0.1
135,0.04787,75,20,20,0.1
136,0.044065,71,17,17,0.1
137,0.037169,66,19,19,0.1
138,0.039713,73,21,21,0.1
139,0.044276,78,22,22,0.1
140,0.051821,82,23,23,0.1
141,0.038383,69,18,18,0.1
142,0.047365,66,19,19,0.1
143,0.037166,64,18,18,0.1
144,0.039862,67,18,18,0.1
145,0.040984,67,18,18,0.1
146,0.044305,78,22,22,0.1
147,0.03296,72,15,15,0.1
148,0.042244,80,18,18,0.1
149,0.042971,74,21,21,0.1
150,0.049064,79,24,24,0.1
151,0.03324,78,17,17,0.1
152,0.037043,69,19,19,0.1
153,0.032084,59,16,16,0.1
154,0.036576,77,19,19,0.1
155,0.043035,70,17,17,0.1
156,0.039437,79,20,20,0.1
157,0.043862,76,17,17,0.1
158,0.1992,83,23,23,0.1
159,0.037065,70,18,18,0.1
160,0.038409,71,20,20,0.1
161,0.040115,66,19,19,0.1
162,0.028989,67,15,15,0.1
163,0.033419,67,18,18,0.1
164,0.019806,63,10,10,0.1
165,0.030614,69,16,16,0.1
166,0.034992,81,18,18,0.1
167,0.030204,62,15,15,0.1
168,0.05381,84,23,23,0.1
169,0.05012,61,20,20,0.1
170,0.047097,77,22,22,0.1
171,0.045981,65,18,18,0.1
172,0.044502,67,20,20,0.1
173,0.033341,69,14,14,0.1
174,0.03519,74,15,15,0.1
175,0.041838,78,18,18,0.1
176,0.039331,75,20,20,0.1
177,0.028166,58,15,15,0.1
178,0.031866,83,16,16,0.1
179,0.043057,80,22,22,0.1
180,0.030999,67,16,16,0.1
181,0.043028,76,21,21,0.1
182,0.039694,82,21,21,0.1
183,0.036621,75,17,17,0.1
184,0.072884,79,19,19,0.1
185,0.042615,64,19,19,0.1
186,0.031385,66,16,16,0.1
187,0.047443,76,22,22,0.1
188,0.046698,84,23,23,0.1
189,0.04194,72,22,22,0.1
190,0.021028,64,10,10,0.1
191,0.027423,66,14,14,0.1
192,0.04021,65,21,21,0.1
193,0.033345,77,16,16,0.1
194,0.035987,77,19,19,0.1
195,0.037872,70,19,19,0.1
196,0.030498,75,15,15,0.1
197,0.030518,71,16,16,0.1
198,0.03949,76,20,20,0.1
199,0.046443,77,22,22,0.1
200,0.044724,71,20,20,0.1
201,0.06266,69,16,16,0.1
202,0.049376,74,16,16,0.1
203,0.037236,72,19,19,0.1
204,0.035403,81,18,18,0.1
205,0.035595,70,15,15,0.1
206,0.05132,68,16,16,0.1
207,0.036554,66,17,17,0.1
208,0.038322,65,19,19,0.1
209,0.031964,62,17,17,0.1
210,0.034476,64,18,18,0.1
211,0.036073,67,19,19,0.1
212,0.069333,76,23,23,0.1
213,0.0449,65,12,12,0.1
214,0.054017,71,20,20,0.1
215,0.053608,68,22,22,0.1
216,0.050288,76,18,18,0.1
217,0.034475,75,17,17,0.1
218,0.049867,81,19,19,0.1
219,0.03776,72,19,19,0.1
220,0.034437,75,17,17,0.1
221,0.036891,70,15,15,0.1
222,0.045,63,19,19,0.1
223,0.040529,69,21,21,0.1
224,0.027549,63,14,14,0.1
225,0.052671,78,19,19,0.1
226,0.027472,66,14,14,0.1
227,0.044764,73,23,23,0.1
