episode,ep_length,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,epsilon
115,32.0,0.019595962716266513,0.0,0.0,0.0,0.7877804992676354
116,28.0,0.01112989499233663,2.0,0.0,0.0,0.7861276483800879
117,33.0,0.015782166738063097,1.0,0.0,0.0,0.783772446706207
118,31.0,0.01253679278306663,1.0,0.0,0.0,0.7818933667560584
119,35.0,0.017161348601803184,0.0,0.0,0.0,0.7793169855366833
120,39.0,0.018270555417984724,1.0,0.0,0.0,0.776516068905626
121,34.0,0.0178609152790159,0.0,0.0,0.0,0.7739574061754746
122,35.0,0.012663031462579966,2.0,0.0,0.0,0.7721018576035323
123,34.0,0.00801214249804616,3.0,0.0,0.0,0.7709443995003628
124,33.0,0.01106924400664866,2.0,0.0,0.0,0.7693268726180034
125,29.0,0.014299906324595213,0.0,0.0,0.0,0.7672521809369538
126,36.0,0.01453648367896676,1.0,0.0,0.0,0.7651830842061454
127,29.0,0.004964397754520178,3.0,0.0,0.0,0.7644946260091328
128,28.0,0.004853012040257454,3.0,0.0,0.0,0.7638067872386323
129,36.0,0.0159280130174011,1.0,0.0,0.0,0.7615184578209698
130,33.0,0.007327999919652939,3.0,0.0,0.0,0.7603768652952714
131,33.0,0.009322875179350376,2.0,0.0,0.0,0.7587815102720862
132,28.0,0.00565928197465837,3.0,0.0,0.0,0.7578713821198331
133,28.0,0.0076394828502088785,3.0,0.0,0.0,0.7567352569263028
134,33.0,0.015197587432339787,0.0,0.0,0.0,0.7542417730487345
135,31.0,0.011979782488197088,1.0,0.0,0.0,0.752207762294997
136,30.0,0.014801824931055307,0.0,0.0,0.0,0.7497291967587715
137,34.0,0.014820466749370098,0.0,0.0,0.0,0.7472587982309514
138,32.0,0.013272997923195362,0.0,0.0,0.0,0.7450200458145438
139,36.0,0.014618988381698728,0.0,0.0,0.0,0.7425651641955091
140,33.0,0.013308674097061157,1.0,0.0,0.0,0.7403404736871894
141,31.0,0.014782927930355072,0.0,0.0,0.0,0.7379010115131278
142,35.0,0.01120435120537877,2.0,0.0,0.0,0.7361319074807575
143,31.0,0.014040529262274504,0.0,0.0,0.0,0.733926490708725
144,31.0,0.015055231982842088,0.0,0.0,0.0,0.7315081629578338
145,27.0,0.013371987733989954,0.0,0.0,0.0,0.7293165987081779
146,35.0,0.003996636951342225,3.0,0.0,0.0,0.7286604106651308
147,35.0,0.005314397159963846,3.0,0.0,0.0,0.727786411570265
148,36.0,0.016499821096658707,0.0,0.0,0.0,0.7251706992197623
149,32.0,0.012266208650544286,1.0,0.0,0.0,0.7232150862409875
150,35.0,0.016259551281109452,0.0,0.0,0.0,0.7206158035351333
151,33.0,0.014934033388271928,0.0,0.0,0.0,0.7182413352232772
152,32.0,0.004101485945284367,3.0,0.0,0.0,0.7175951119273443
153,28.0,0.013792968122288585,0.0,0.0,0.0,0.7154452305279777
154,36.0,0.015153428772464395,0.0,0.0,0.0,0.7133017900727519
155,26.0,0.008084135595709085,3.0,0.0,0.0,0.7120188094229414
156,35.0,0.014642620226368308,0.0,0.0,0.0,0.7096726686748114
157,32.0,0.004040081053972244,3.0,0.0,0.0,0.7090341548654635
158,33.0,0.013445783406496048,0.0,0.0,0.0,0.7069099216931295
159,34.0,0.014610835583880544,0.0,0.0,0.0,0.7045806150082599
160,35.0,0.015166823053732514,1.0,0.0,0.0,0.7022589835157531
161,34.0,0.01575259491801262,2.0,0.0,0.0,0.7005753305865364
162,25.0,0.005444806069135666,3.0,0.0,0.0,0.6999450019254324
163,29.0,0.005348474020138383,3.0,0.0,0.0,0.6993152403899515
164,29.0,0.01740395976230502,0.0,0.0,0.0,0.6972201246309132
165,34.0,0.016289928695186973,0.0,0.0,0.0,0.6951312857407177
166,36.0,0.021068715024739504,0.0,0.0,0.0,0.692425148184175
167,31.0,0.004773239837959409,3.0,0.0,0.0,0.6918021524869039
168,34.0,0.017115006456151605,0.0,0.0,0.0,0.689522626724222
169,35.0,0.011817388003692031,3.0,0.0,0.0,0.6880759317544624
170,29.0,0.00629548286087811,3.0,0.0,0.0,0.6874568491778069
171,28.0,0.006897717248648405,3.0,0.0,0.0,0.686838323608335
172,33.0,0.00966062000952661,3.0,0.0,0.0,0.6858086840919954
173,35.0,0.012816137168556452,2.0,0.0,0.0,0.6841644704515047
174,31.0,0.012641179142519832,3.0,0.0,0.0,0.6827290174880644
175,30.0,0.0239392111543566,0.0,0.0,0.0,0.6804793881992569
176,28.0,0.013206597184762359,3.0,0.0,0.0,0.6792554435802962
177,32.0,0.014826817205175757,2.0,0.0,0.0,0.6776269412127723
178,32.0,0.015798205276951194,1.0,0.0,0.0,0.6757995424466211
179,29.0,0.01865168265067041,0.0,0.0,0.0,0.6735727461554012
180,28.0,0.009911250788718462,1.0,0.0,0.0,0.67215951580463
181,32.0,0.01233876054175198,2.0,0.0,0.0,0.6705480257927545
182,27.0,0.0109996038954705,2.0,0.0,0.0,0.669341944224148
183,30.0,0.009723217459395528,2.0,0.0,0.0,0.6679375905652136
184,33.0,0.013261868385598063,0.0,0.0,0.0,0.6659364807777781
185,37.0,0.009315422968938947,2.0,0.0,0.0,0.6645392721589723
186,30.0,0.010688170790672302,1.0,0.0,0.0,0.66294605154035
187,37.0,0.011012434493750334,2.0,0.0,0.0,0.6613566506387047
188,25.0,0.0027624820359051228,3.0,0.0,0.0,0.6609598961704202
189,32.0,0.011964107863605022,1.0,0.0,0.0,0.6591774444624412
190,30.0,0.014517532661557198,0.0,0.0,0.0,0.6570054188891913
191,28.0,0.004018561914563179,3.0,0.0,0.0,0.656414291385915
192,32.0,0.013380491873249412,1.0,0.0,0.0,0.6544477048639714
193,27.0,0.0066236399579793215,3.0,0.0,0.0,0.6534666221329355
194,32.0,0.009455607272684574,2.0,0.0,0.0,0.6520955766610316
195,33.0,0.016226395266130567,0.0,0.0,0.0,0.6497519021619429
196,35.0,0.011047433130443096,2.0,0.0,0.0,0.6481941339894912
197,33.0,0.012064692098647356,1.0,0.0,0.0,0.6464461085072708
198,31.0,0.010943733854219317,1.0,0.0,0.0,0.6448962659139869
199,27.0,0.008176977979019284,3.0,0.0,0.0,0.643736322897135
200,30.0,0.006766136037185788,3.0,0.0,0.0,0.6427712976016974
201,37.0,0.010814995039254427,2.0,0.0,0.0,0.6412302652996175
202,30.0,0.011011807946488261,1.0,0.0,0.0,0.6396929275939904
203,30.0,0.013146504992619157,0.0,0.0,0.0,0.6377764374960482
204,29.0,0.0040212818421423435,3.0,0.0,0.0,0.6372026108847199
205,28.0,0.009510501753538847,1.0,0.0,0.0,0.6358656891128209
206,33.0,0.006575478008016944,3.0,0.0,0.0,0.6349124626866139
207,33.0,0.004021128872409463,3.0,0.0,0.0,0.6343412128794184
208,31.0,0.014517870265990496,0.0,0.0,0.0,0.6322510240416248
209,31.0,0.006471400149166584,3.0,0.0,0.0,0.631303216360802
210,32.0,0.0070238683838397264,3.0,0.0,0.0,0.6303568295387292
211,32.0,0.014157048193737864,1.0,0.0,0.0,0.6284683099539885
212,32.0,0.003762309905141592,3.0,0.0,0.0,0.627902858144505
213,42.0,0.015529690543189645,1.0,0.0,0.0,0.6256461338709358
214,37.0,0.011506660608574748,2.0,0.0,0.0,0.6239589149846311
215,29.0,0.005191711708903313,3.0,0.0,0.0,0.6232105011570812
216,31.0,0.01392701594159007,1.0,0.0,0.0,0.6213433916379977
217,30.0,0.003909125458449125,3.0,0.0,0.0,0.620784350331463
218,35.0,0.010239938274025917,2.0,0.0,0.0,0.6192960313289564
219,28.0,0.0118918027728796,0.0,0.0,0.0,0.6176259371595784
220,28.0,0.0063495696522295475,3.0,0.0,0.0,0.6167000539504486
221,34.0,0.01575712556950748,0.0,0.0,0.0,0.6144835932938211
222,30.0,0.0039091871585696936,3.0,0.0,0.0,0.6139307239538359
223,34.0,0.007865492720156908,3.0,0.0,0.0,0.6128264771257484
224,35.0,0.010588407749310136,2.0,0.0,0.0,0.6113572369771229
225,32.0,0.011988257290795445,1.0,0.0,0.0,0.6097085518487981
226,35.0,0.015736478148028255,0.0,0.0,0.0,0.6075172191117153
227,27.0,0.006570789963006973,3.0,0.0,0.0,0.60660648988454
228,34.0,0.00923548941500485,3.0,0.0,0.0,0.6053337621689773
229,28.0,0.010418168967589736,1.0,0.0,0.0,0.6038824856659312
230,32.0,0.006563914706930518,3.0,0.0,0.0,0.6029772052686457
231,27.0,0.0038279390428215265,3.0,0.0,0.0,0.6024346885714691
