Game 63: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 0.0, 3.0], Winner = P3
Game 64: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 3.0, 0.0], Winner = P2
Game 65: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 1.0, 3.0], Winner = P3
Game 66: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 0.0, 3.0], Winner = P3
Game 67: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 68: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 3.0, 0.0], Winner = P2
Game 69: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 1.0, 2.0], Winner = P1
Game 70: PPO Agent Return = 2.0, All Returns = [2.0, 0.0, 1.0, 3.0], Winner = P3
Game 71: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 72: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 73: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
Game 74: PPO Agent Return = 2.0, All Returns = [2.0, 3.0, 0.0, 1.0], Winner = P1
Game 75: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 1.0, 3.0], Winner = P3
Game 76: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 77: PPO Agent Return = 2.0, All Returns = [2.0, 3.0, 0.0, 1.0], Winner = P1
Game 78: PPO Agent Return = 0.0, All Returns = [0.0, 1.0, 3.0, 2.0], Winner = P2
Game 79: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 80: PPO Agent Return = 1.0, All Returns = [1.0, 0.0, 2.0, 3.0], Winner = P3
Game 81: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 3.0, 1.0], Winner = P2
Game 82: PPO Agent Return = 3.0, All Returns = [3.0, 2.0, 1.0, 0.0], Winner = P0
Game 83: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
Game 84: PPO Agent Return = 2.0, All Returns = [2.0, 0.0, 1.0, 3.0], Winner = P3
Game 85: PPO Agent Return = 0.0, All Returns = [0.0, 1.0, 3.0, 2.0], Winner = P2
Game 86: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
Game 87: PPO Agent Return = 3.0, All Returns = [3.0, 1.0, 0.0, 2.0], Winner = P0
Game 88: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 3.0, 1.0], Winner = P2
Game 89: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 0.0, 3.0], Winner = P3
Game 90: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 0.0, 3.0], Winner = P3
Game 91: PPO Agent Return = 1.0, All Returns = [1.0, 2.0, 3.0, 0.0], Winner = P2
Game 92: PPO Agent Return = 0.0, All Returns = [0.0, 1.0, 2.0, 3.0], Winner = P3
Game 93: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 3.0, 1.0], Winner = P2
Game 94: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 3.0, 1.0], Winner = P2
Game 95: PPO Agent Return = 1.0, All Returns = [1.0, 2.0, 3.0, 0.0], Winner = P2
Game 96: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 0.0, 3.0], Winner = P3
Game 97: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 1.0, 2.0], Winner = P1
Game 98: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 0.0, 3.0], Winner = P3
Game 99: PPO Agent Return = 2.0, All Returns = [2.0, 0.0, 3.0, 1.0], Winner = P2
Game 100: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 1.0, 3.0], Winner = P3
