episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
500,86,0.044249491998925805,0.0,0.0,0.0,0.0,20.1450063129887
1000,106,0.058374484069645405,0.0,0.0,0.0,0.0,43.98158832103945
1500,125,0.04963778902310878,0.0,0.0,0.0,0.0,75.65520521404687
2000,164,0.08547854598145932,0.0,0.0,0.0,0.0,111.95517117902637
2500,108,0.06613430299330503,0.0,0.0,0.0,0.0,148.79599958995823
3000,117,0.05652391095645726,0.0,0.0,0.0,0.0,183.3491329989629
3500,112,0.054317030939273536,0.0,0.0,0.0,0.0,225.36405267193913
4000,107,0.07701002201065421,0.0,0.0,0.0,0.0,268.123383832979
4500,123,0.10484253708273172,0.0,0.0,0.0,0.0,312.16088540595956
5000,126,40.53672889911104,0.0,38.51406426099129,1.886245739995502,0.002271592034958303,404.47940007201396
5500,135,0.10765662894118577,0.0,0.0,0.0,0.0,455.387208294007
6000,195,0.149324303958565,0.0,0.0,0.0,0.0,508.0243530119769
