opponent,episode,p0,p1,p2,p3
single_only,5000,0.401,0.2235,0.207,0.1685
max_combo,5000,0.2275,0.275,0.242,0.2555
random2,5000,0.295,0.313,0.2355,0.1565
single_only,10000,0.462,0.1895,0.2195,0.129
max_combo,10000,0.257,0.2465,0.257,0.2395
random2,10000,0.3055,0.301,0.2645,0.129
single_only,15000,0.5755,0.1345,0.177,0.113
max_combo,15000,0.3185,0.2295,0.227,0.225
random2,15000,0.359,0.2845,0.2225,0.134
single_only,20000,0.4695,0.1615,0.2035,0.1655
max_combo,20000,0.2925,0.223,0.248,0.2365
random2,20000,0.3245,0.2755,0.2445,0.1555
single_only,25000,0.522,0.129,0.221,0.128
max_combo,25000,0.307,0.2205,0.247,0.2255
random2,25000,0.3465,0.2825,0.258,0.113
single_only,30000,0.543,0.1725,0.176,0.1085
max_combo,30000,0.2895,0.2345,0.245,0.231
random2,30000,0.3315,0.307,0.22,0.1415
single_only,35000,0.568,0.1355,0.1885,0.108
max_combo,35000,0.3235,0.2345,0.2225,0.2195
random2,35000,0.3485,0.3055,0.2185,0.1275
single_only,40000,0.489,0.1735,0.1965,0.141
max_combo,40000,0.282,0.224,0.2295,0.2645
random2,40000,0.325,0.273,0.2445,0.1575
single_only,45000,0.559,0.119,0.1735,0.1485
max_combo,45000,0.3215,0.2035,0.23,0.245
random2,45000,0.3485,0.268,0.2325,0.151
single_only,50000,0.537,0.1555,0.1825,0.125
max_combo,50000,0.284,0.236,0.236,0.244
random2,50000,0.359,0.2815,0.228,0.1315
single_only,55000,0.576,0.1295,0.172,0.1225
max_combo,55000,0.3175,0.251,0.206,0.2255
random2,55000,0.373,0.289,0.22,0.118
single_only,60000,0.62,0.1205,0.163,0.0965
max_combo,60000,0.333,0.2215,0.2345,0.211
random2,60000,0.358,0.278,0.2335,0.1305
single_only,65000,0.557,0.121,0.1885,0.1335
max_combo,65000,0.331,0.221,0.213,0.235
random2,65000,0.3595,0.2755,0.244,0.121
single_only,70000,0.5945,0.1235,0.1565,0.1255
max_combo,70000,0.349,0.2245,0.214,0.2125
random2,70000,0.3805,0.281,0.2155,0.123
single_only,75000,0.5735,0.1345,0.178,0.114
max_combo,75000,0.326,0.2365,0.228,0.2095
random2,75000,0.3675,0.2545,0.254,0.124
single_only,80000,0.604,0.112,0.1485,0.1355
max_combo,80000,0.3205,0.2325,0.2175,0.2295
random2,80000,0.3635,0.2545,0.2285,0.1535
single_only,85000,0.6005,0.1135,0.1625,0.1235
max_combo,85000,0.3445,0.212,0.23,0.2135
random2,85000,0.3935,0.2675,0.209,0.13
single_only,90000,0.5925,0.129,0.1725,0.106
max_combo,90000,0.3465,0.2295,0.2065,0.2175
random2,90000,0.3815,0.2665,0.2195,0.1325
single_only,95000,0.5795,0.1305,0.169,0.121
max_combo,95000,0.37,0.216,0.207,0.207
random2,95000,0.3675,0.276,0.2295,0.127
single_only,100000,0.5875,0.103,0.185,0.1245
max_combo,100000,0.3325,0.218,0.2265,0.223
random2,100000,0.352,0.263,0.24,0.145
