episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
1,83,0.023662446066737175,0.007000046083703637,0.0,0.0,0.0,0.023670090944506228
2,83,50.43438099103514,0.002832486992701888,48.03893408400472,2.372757463948801,0.004979508928954601,50.458078508032486
3,83,0.02304820599965751,0.005150389042682946,0.0,0.0,0.0,50.481167117948644
4,83,48.608497975976206,0.0029719320591539145,46.68123074201867,1.9028931030770764,0.0023582789581269026,99.08970479399431
5,81,0.02231903502251953,0.004387235967442393,0.0,0.0,0.0,99.11207552393898
6,66,45.59028840402607,0.004970204085111618,43.75455863692332,1.811603982001543,0.0016769359353929758,144.7024353200104
7,76,0.019643537001684308,0.004691863083280623,0.0,0.0,0.0,144.72215981397312
8,76,51.11913432192523,0.002557478961534798,49.255072862957604,1.8436133590294048,0.0014318800531327724,195.84136221499648
9,90,0.01825037191156298,0.00421155197545886,0.0,0.0,0.0,195.8596646740334
10,83,50.923715670011006,0.0025812360690906644,48.941048118053004,1.9633922099601477,0.0012891669757664204,246.7834188810084
