episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
500,88,72.58214137505274,0.07343564298935235,70.83158908097539,1.627838316024281,0.005521045997738838,98.10997500899248
1000,97,64.28883593599312,0.09456921403761953,62.42000159609597,1.6981433000182733,0.001746498979628086,191.87460813194048
1500,90,67.34871400694828,0.08071933104656637,65.64498194202315,1.5664211369585246,0.0026124509749934077,287.1739019829547
2000,94,52.94574076705612,0.07047582208178937,50.98979972000234,1.843532786006108,0.0014235129347071052,365.8833010799717
2500,84,54.09462331305258,0.13647275196854025,52.34310728602577,1.5675700099673122,0.0013710949569940567,446.5648740780307
3000,86,60.132481249049306,0.07559193798806518,58.40241754101589,1.587612293078564,0.001663170987740159,534.4307238479378
3500,97,59.45007611392066,0.08729279902763665,57.45025691599585,1.8448689590441063,0.0013412300031632185,623.4678694009781
4000,80,44.59786424401682,0.07412105496041477,43.14628356602043,1.3444552118889987,0.0012936430284753442,691.2302522469545
4500,83,57.458693963009864,0.0751366609474644,55.5189964780584,1.8183546619256958,0.0014169130008667707,773.7682541949907
5000,85,65.84328328701667,0.10749484098050743,63.754269285011105,1.886847082991153,0.0017488689627498388,867.0677728819428
5500,99,54.19668894202914,0.07093511801213026,52.411827384959906,1.6625050860457122,0.0013029290130361915,949.0989692149451
6000,81,52.62815617094748,0.06974632199853659,50.54790520691313,1.970809385064058,0.00396930705755949,1023.2196982880123
6500,87,70.5411181920208,0.076805000891909,68.31983934401069,2.08999666699674,0.006342381006106734,1124.0997258740244
