opponent,episode,p1,p2,p3,p4
single_only,5000,0.8705,0.085,0.031,0.0135
max_combo,5000,0.247,0.2415,0.251,0.2605
random2,5000,0.6365,0.2155,0.0965,0.0515
single_only,10000,0.7075,0.2245,0.043,0.025
max_combo,10000,0.3655,0.2645,0.199,0.171
random2,10000,0.7235,0.189,0.061,0.0265
single_only,15000,0.771,0.1595,0.0515,0.018
max_combo,15000,0.3715,0.2535,0.211,0.164
random2,15000,0.7495,0.1805,0.05,0.02
single_only,20000,0.7205,0.23,0.04,0.0095
max_combo,20000,0.384,0.346,0.187,0.083
random2,20000,0.781,0.184,0.0295,0.0055
single_only,25000,0.7315,0.2115,0.05,0.007
max_combo,25000,0.407,0.312,0.1915,0.0895
random2,25000,0.779,0.1925,0.0255,0.003
single_only,30000,0.6735,0.254,0.059,0.0135
max_combo,30000,0.4115,0.2845,0.178,0.126
random2,30000,0.798,0.1535,0.0395,0.009
single_only,35000,0.7775,0.177,0.035,0.0105
max_combo,35000,0.4045,0.293,0.181,0.1215
random2,35000,0.819,0.1315,0.0355,0.014
single_only,40000,0.706,0.226,0.056,0.012
max_combo,40000,0.422,0.3065,0.181,0.0905
random2,40000,0.811,0.161,0.0235,0.0045
single_only,45000,0.737,0.205,0.0465,0.0115
max_combo,45000,0.4245,0.2845,0.1745,0.1165
random2,45000,0.8015,0.1465,0.0385,0.0135
single_only,50000,0.652,0.2735,0.058,0.0165
max_combo,50000,0.3945,0.3155,0.1805,0.1095
random2,50000,0.771,0.1855,0.037,0.0065
single_only,55000,0.679,0.26,0.0495,0.0115
max_combo,55000,0.4165,0.3075,0.171,0.105
random2,55000,0.7975,0.159,0.0335,0.01
single_only,60000,0.7885,0.177,0.0275,0.007
max_combo,60000,0.45,0.286,0.156,0.108
random2,60000,0.8235,0.147,0.023,0.0065
single_only,65000,0.74,0.2155,0.036,0.0085
max_combo,65000,0.4165,0.3255,0.16,0.098
random2,65000,0.831,0.139,0.022,0.008
single_only,70000,0.763,0.1845,0.0465,0.006
max_combo,70000,0.449,0.2845,0.169,0.0975
random2,70000,0.8305,0.1375,0.0255,0.0065
single_only,75000,0.714,0.23,0.0405,0.0155
max_combo,75000,0.4395,0.282,0.16,0.1185
random2,75000,0.824,0.1375,0.026,0.0125
single_only,80000,0.6665,0.2725,0.0525,0.0085
max_combo,80000,0.441,0.32,0.1555,0.0835
random2,80000,0.83,0.145,0.021,0.004
single_only,85000,0.778,0.1785,0.035,0.0085
max_combo,85000,0.45,0.301,0.147,0.102
random2,85000,0.8145,0.1455,0.03,0.01
single_only,90000,0.6975,0.2585,0.0385,0.0055
max_combo,90000,0.4415,0.3115,0.1635,0.0835
random2,90000,0.8215,0.15,0.0235,0.005
single_only,95000,0.784,0.1725,0.0375,0.006
max_combo,95000,0.4615,0.3015,0.151,0.086
random2,95000,0.821,0.147,0.0245,0.0075
single_only,100000,0.7425,0.215,0.039,0.0035
max_combo,100000,0.4495,0.3095,0.174,0.067
random2,100000,0.814,0.157,0.0245,0.0045
