opponent,episode,p0,p1,p2,p3
single_only,200,0.4,0.12325,0.25825,0.2185
max_combo,200,0.1705,0.194,0.26725,0.36825
random2,200,0.18875,0.263,0.30325,0.245
v_table,200,0.12,0.14325,0.226,0.51075
single_only,400,0.43075,0.14625,0.2095,0.2135
max_combo,400,0.1895,0.20375,0.25075,0.356
random2,400,0.2135,0.269,0.2705,0.247
v_table,400,0.10875,0.16475,0.2295,0.497
single_only,600,0.419,0.1385,0.22475,0.21775
max_combo,600,0.18725,0.19275,0.258,0.362
random2,600,0.195,0.243,0.2865,0.2755
v_table,600,0.13,0.13875,0.2155,0.51575
single_only,800,0.46675,0.171,0.21225,0.15
max_combo,800,0.28175,0.2215,0.234,0.26275
random2,800,0.3085,0.2735,0.23175,0.18625
v_table,800,0.20175,0.17075,0.1785,0.449
single_only,1000,0.46675,0.15575,0.21475,0.16275
max_combo,1000,0.286,0.213,0.2295,0.2715
random2,1000,0.294,0.2725,0.2395,0.194
v_table,1000,0.18975,0.18225,0.197,0.431
single_only,1200,0.52575,0.13225,0.189,0.153
max_combo,1200,0.29825,0.2095,0.222,0.27025
random2,1200,0.30375,0.24575,0.2505,0.2
v_table,1200,0.19875,0.17775,0.182,0.4415
single_only,1400,0.51825,0.1355,0.19075,0.1555
max_combo,1400,0.29925,0.20275,0.2255,0.2725
random2,1400,0.2855,0.2835,0.24375,0.18725
v_table,1400,0.1975,0.1775,0.19425,0.43075
single_only,1600,0.63275,0.10475,0.16025,0.10225
max_combo,1600,0.30375,0.2175,0.23275,0.246
random2,1600,0.3365,0.2635,0.23,0.17
v_table,1600,0.21575,0.18925,0.1795,0.4155
single_only,1800,0.59675,0.1145,0.16875,0.12
max_combo,1800,0.318,0.21625,0.22975,0.236
random2,1800,0.34125,0.27775,0.228,0.153
v_table,1800,0.2145,0.216,0.18325,0.38625
single_only,2000,0.62525,0.105,0.16525,0.1045
max_combo,2000,0.32475,0.23625,0.21925,0.21975
random2,2000,0.3365,0.2855,0.2195,0.1585
v_table,2000,0.2025,0.20825,0.1945,0.39475
single_only,2200,0.63525,0.11025,0.15675,0.09775
max_combo,2200,0.33225,0.22425,0.2215,0.222
random2,2200,0.3475,0.266,0.222,0.1645
v_table,2200,0.214,0.216,0.1885,0.3815
single_only,2400,0.65925,0.09425,0.15225,0.09425
max_combo,2400,0.3125,0.24325,0.222,0.22225
random2,2400,0.317,0.301,0.21425,0.16775
v_table,2400,0.223,0.21175,0.188,0.37725
single_only,2600,0.66675,0.10125,0.1475,0.0845
max_combo,2600,0.309,0.237,0.22625,0.22775
random2,2600,0.33825,0.28775,0.233,0.141
v_table,2600,0.20825,0.19225,0.20025,0.39925
single_only,2800,0.661,0.10325,0.149,0.08675
max_combo,2800,0.31825,0.23075,0.22925,0.22175
random2,2800,0.354,0.26375,0.2285,0.15375
v_table,2800,0.2165,0.20875,0.194,0.38075
single_only,3000,0.65525,0.1005,0.14625,0.098
max_combo,3000,0.30325,0.2435,0.22825,0.225
random2,3000,0.34025,0.2815,0.219,0.15925
v_table,3000,0.2045,0.2045,0.1975,0.3935
single_only,3200,0.638,0.1075,0.161,0.0935
max_combo,3200,0.30875,0.246,0.22325,0.222
random2,3200,0.32575,0.2815,0.231,0.16175
v_table,3200,0.202,0.18925,0.1985,0.41025
single_only,3400,0.654,0.09475,0.15975,0.0915
max_combo,3400,0.28575,0.2475,0.2325,0.23425
random2,3400,0.30725,0.30275,0.22925,0.16075
v_table,3400,0.1825,0.19,0.22075,0.40675
single_only,3600,0.6665,0.10525,0.1395,0.08875
max_combo,3600,0.293,0.23675,0.2355,0.23475
random2,3600,0.335,0.2755,0.24325,0.14625
v_table,3600,0.19275,0.19325,0.21125,0.40275
single_only,3800,0.67125,0.09325,0.14725,0.08825
max_combo,3800,0.2855,0.2415,0.24625,0.22675
random2,3800,0.33225,0.2785,0.2245,0.16475
v_table,3800,0.20425,0.19325,0.191,0.4115
single_only,4000,0.65675,0.0905,0.16075,0.092
max_combo,4000,0.286,0.23775,0.24575,0.2305
random2,4000,0.3285,0.27325,0.2335,0.16475
v_table,4000,0.1835,0.19375,0.203,0.41975
single_only,4200,0.65075,0.11625,0.1675,0.0655
max_combo,4200,0.303,0.26125,0.23525,0.2005
random2,4200,0.31875,0.30075,0.23575,0.14475
v_table,4200,0.17,0.20825,0.234,0.38775
single_only,4400,0.661,0.11475,0.14775,0.0765
max_combo,4400,0.297,0.25825,0.24,0.20475
random2,4400,0.35475,0.2815,0.229,0.13475
v_table,4400,0.1615,0.217,0.2355,0.386
single_only,4600,0.656,0.11775,0.1465,0.07975
max_combo,4600,0.3035,0.26475,0.2265,0.20525
random2,4600,0.3495,0.30325,0.20325,0.144
v_table,4600,0.163,0.23,0.2095,0.3975
single_only,4800,0.665,0.11175,0.144,0.07925
max_combo,4800,0.317,0.24775,0.22625,0.209
random2,4800,0.35,0.2945,0.215,0.1405
v_table,4800,0.179,0.21625,0.22325,0.3815
single_only,5000,0.671,0.11475,0.14,0.07425
max_combo,5000,0.29675,0.26825,0.22675,0.20825
random2,5000,0.3325,0.3045,0.2225,0.1405
v_table,5000,0.15125,0.22375,0.24125,0.38375
