episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
200,29,0.009455547900870442,0.0,0.0,0.0,0.0,3.1170786729780957
400,40,0.017109973938204348,0.0,0.0,0.0,0.0,6.963006600970402
600,32,0.017986709950491786,0.0,0.0,0.0,0.0,10.436819285037927
800,27,0.01294966391287744,0.0,0.0,0.0,0.0,13.906728154979646
1000,26,0.012615855899639428,0.0,0.0,0.0,0.0,17.152908529969864
1200,32,0.017852454911917448,0.0,0.0,0.0,0.0,20.344774352037348
1400,30,0.01568936195690185,0.0,0.0,0.0,0.0,23.48944356897846
1600,29,0.01599275099579245,0.0,0.0,0.0,0.0,26.85935908695683
1800,36,0.012181608006358147,0.0,0.0,0.0,0.0,30.45330857799854
2000,31,2.314658344956115,0.0,0.7583892110269517,1.5342767800902948,0.0017816260224208236,36.45302665093914
2200,33,0.020405830931849778,0.0,0.0,0.0,0.0,40.153100803960115
2400,28,0.015791575075127184,0.0,0.0,0.0,0.0,43.69333379995078
2600,23,0.013223865069448948,0.0,0.0,0.0,0.0,47.27703572192695
2800,24,0.009721348993480206,0.0,0.0,0.0,0.0,50.75971789192408
3000,32,0.027724773972295225,0.0,0.0,0.0,0.0,54.385147513938136
3200,30,0.02317306201439351,0.0,0.0,0.0,0.0,57.662736183963716
3400,32,0.013351212022826076,0.0,0.0,0.0,0.0,61.09547358693089
3600,24,0.015867165056988597,0.0,0.0,0.0,0.0,65.15334196400363
3800,30,0.016682065092027187,0.0,0.0,0.0,0.0,68.5663172659697
4000,27,2.3921068699564785,0.0,0.696033452055417,1.6789691030280665,0.0012791090412065387,74.46140840800945
