opponent,episode,p0,p1,p2,p3
single_only,5000,0.6015,0.138,0.1685,0.092
max_combo,5000,0.357,0.2205,0.2295,0.193
random2,5000,0.4085,0.2835,0.187,0.121
single_only,10000,0.5975,0.1265,0.176,0.1
max_combo,10000,0.3925,0.214,0.2215,0.172
random2,10000,0.4095,0.261,0.2135,0.116
single_only,15000,0.631,0.129,0.148,0.092
max_combo,15000,0.3595,0.2355,0.227,0.178
random2,15000,0.408,0.286,0.2055,0.1005
single_only,20000,0.645,0.1315,0.1445,0.079
max_combo,20000,0.374,0.2245,0.2185,0.183
random2,20000,0.4205,0.269,0.2055,0.105
single_only,25000,0.628,0.1225,0.1605,0.089
max_combo,25000,0.365,0.2275,0.217,0.1905
random2,25000,0.44,0.2755,0.179,0.1055
single_only,30000,0.647,0.131,0.1455,0.0765
max_combo,30000,0.3675,0.231,0.2135,0.188
random2,30000,0.431,0.287,0.186,0.096
single_only,35000,0.615,0.1275,0.164,0.0935
max_combo,35000,0.3695,0.2475,0.219,0.164
random2,35000,0.4265,0.272,0.211,0.0905
single_only,40000,0.607,0.114,0.1805,0.0985
max_combo,40000,0.364,0.229,0.223,0.184
random2,40000,0.407,0.254,0.2165,0.1225
single_only,45000,0.614,0.1355,0.157,0.0935
max_combo,45000,0.347,0.247,0.2235,0.1825
random2,45000,0.4125,0.282,0.203,0.1025
single_only,50000,0.6005,0.1225,0.189,0.088
max_combo,50000,0.3675,0.2335,0.2225,0.1765
random2,50000,0.3855,0.2675,0.228,0.119
single_only,55000,0.613,0.1525,0.156,0.0785
max_combo,55000,0.3655,0.2325,0.222,0.18
random2,55000,0.4135,0.276,0.216,0.0945
single_only,60000,0.6,0.142,0.1665,0.0915
max_combo,60000,0.3695,0.228,0.2275,0.175
random2,60000,0.4195,0.29,0.192,0.0985
single_only,65000,0.6015,0.1465,0.1655,0.0865
max_combo,65000,0.375,0.2335,0.2265,0.165
random2,65000,0.4095,0.2845,0.213,0.093
single_only,70000,0.6105,0.14,0.1655,0.084
max_combo,70000,0.37,0.2445,0.2195,0.166
random2,70000,0.4315,0.2655,0.2,0.103
single_only,75000,0.63,0.1295,0.1495,0.091
max_combo,75000,0.3795,0.228,0.208,0.1845
random2,75000,0.4025,0.286,0.2105,0.101
single_only,80000,0.6505,0.12,0.1505,0.079
max_combo,80000,0.3665,0.2345,0.2175,0.1815
random2,80000,0.4105,0.2785,0.2055,0.1055
single_only,85000,0.638,0.1335,0.159,0.0695
max_combo,85000,0.3745,0.2315,0.209,0.185
random2,85000,0.4005,0.2815,0.2075,0.1105
single_only,90000,0.629,0.1185,0.1695,0.083
max_combo,90000,0.375,0.2365,0.206,0.1825
random2,90000,0.4185,0.262,0.204,0.1155
single_only,95000,0.601,0.1325,0.1795,0.087
max_combo,95000,0.3595,0.252,0.224,0.1645
random2,95000,0.4025,0.287,0.2115,0.099
single_only,100000,0.618,0.13,0.1735,0.0785
max_combo,100000,0.3595,0.246,0.224,0.1705
random2,100000,0.408,0.2805,0.1995,0.112
