opponent,episode,p0,p1,p2,p3
single_only,500,0.17,0.255,0.296,0.279
max_combo,500,0.0645,0.136,0.262,0.5375
random2,500,0.383,0.299,0.207,0.111
single_only,1000,0.217,0.272,0.284,0.227
max_combo,1000,0.0605,0.1655,0.3075,0.4665
random2,1000,0.428,0.332,0.1695,0.0705
single_only,1500,0.6205,0.2275,0.0955,0.0565
max_combo,1500,0.1435,0.232,0.297,0.3275
random2,1500,0.5265,0.282,0.1215,0.07
single_only,2000,0.6375,0.1565,0.1245,0.0815
max_combo,2000,0.2015,0.238,0.2355,0.325
random2,2000,0.5675,0.224,0.1285,0.08
single_only,2500,0.7355,0.1425,0.0805,0.0415
max_combo,2500,0.2235,0.195,0.243,0.3385
random2,2500,0.5425,0.2385,0.137,0.082
single_only,3000,0.6515,0.213,0.083,0.0525
max_combo,3000,0.2615,0.2755,0.25,0.213
random2,3000,0.646,0.201,0.0905,0.0625
single_only,3500,0.6495,0.27,0.059,0.0215
max_combo,3500,0.2565,0.313,0.23,0.2005
random2,3500,0.6025,0.2475,0.1025,0.0475
single_only,4000,0.484,0.4365,0.068,0.0115
max_combo,4000,0.244,0.3075,0.2645,0.184
random2,4000,0.613,0.291,0.0675,0.0285
single_only,4500,0.707,0.174,0.08,0.039
max_combo,4500,0.285,0.26,0.23,0.225
random2,4500,0.6785,0.196,0.085,0.0405
single_only,5000,0.5755,0.3205,0.083,0.021
max_combo,5000,0.28,0.275,0.2525,0.1925
random2,5000,0.678,0.223,0.0795,0.0195
single_only,5500,0.5945,0.334,0.0625,0.009
max_combo,5500,0.279,0.3165,0.2355,0.169
random2,5500,0.6785,0.245,0.064,0.0125
single_only,6000,0.6275,0.3205,0.044,0.008
max_combo,6000,0.27,0.311,0.2325,0.1865
random2,6000,0.6765,0.237,0.063,0.0235
single_only,6500,0.5535,0.3725,0.068,0.006
max_combo,6500,0.251,0.3405,0.2585,0.15
random2,6500,0.649,0.29,0.046,0.015
single_only,7000,0.691,0.246,0.053,0.01
max_combo,7000,0.3025,0.303,0.2235,0.171
random2,7000,0.7295,0.2,0.0565,0.014
single_only,7500,0.538,0.367,0.0805,0.0145
max_combo,7500,0.2835,0.294,0.237,0.1855
random2,7500,0.6745,0.2495,0.059,0.017
single_only,8000,0.5005,0.379,0.1015,0.019
max_combo,8000,0.3,0.3285,0.238,0.1335
random2,8000,0.682,0.2545,0.056,0.0075
single_only,8500,0.462,0.4155,0.1085,0.014
max_combo,8500,0.301,0.3455,0.2255,0.128
random2,8500,0.6575,0.2795,0.0535,0.0095
single_only,9000,0.7075,0.235,0.045,0.0125
max_combo,9000,0.314,0.2975,0.203,0.1855
random2,9000,0.7295,0.209,0.052,0.0095
single_only,9500,0.6355,0.301,0.0535,0.01
max_combo,9500,0.3245,0.3105,0.2105,0.1545
random2,9500,0.744,0.2085,0.0365,0.011
single_only,10000,0.742,0.21,0.0415,0.0065
max_combo,10000,0.321,0.274,0.215,0.19
random2,10000,0.731,0.2015,0.048,0.0195
single_only,10500,0.5995,0.337,0.053,0.0105
max_combo,10500,0.352,0.3235,0.2075,0.117
random2,10500,0.729,0.2215,0.04,0.0095
single_only,11000,0.616,0.2935,0.0755,0.015
max_combo,11000,0.3405,0.3165,0.203,0.14
random2,11000,0.752,0.194,0.042,0.012
single_only,11500,0.4995,0.357,0.116,0.0275
max_combo,11500,0.3135,0.3095,0.216,0.161
random2,11500,0.695,0.2415,0.05,0.0135
single_only,12000,0.4905,0.3835,0.1085,0.0175
max_combo,12000,0.3325,0.327,0.2115,0.129
random2,12000,0.7415,0.218,0.0375,0.003
single_only,12500,0.6185,0.27,0.0945,0.017
max_combo,12500,0.3575,0.29,0.206,0.1465
random2,12500,0.759,0.1935,0.039,0.0085
single_only,13000,0.611,0.293,0.083,0.013
max_combo,13000,0.365,0.3095,0.192,0.1335
random2,13000,0.758,0.195,0.037,0.01
single_only,13500,0.3435,0.476,0.1545,0.026
max_combo,13500,0.306,0.344,0.2235,0.1265
random2,13500,0.632,0.3085,0.05,0.0095
single_only,14000,0.2725,0.5175,0.1735,0.0365
max_combo,14000,0.2505,0.356,0.264,0.1295
random2,14000,0.552,0.3685,0.071,0.0085
single_only,14500,0.4905,0.366,0.1235,0.02
max_combo,14500,0.3475,0.3075,0.205,0.14
random2,14500,0.725,0.22,0.0435,0.0115
single_only,15000,0.543,0.317,0.113,0.027
max_combo,15000,0.3455,0.3075,0.2025,0.1445
random2,15000,0.7415,0.2145,0.038,0.006
single_only,15500,0.4945,0.3595,0.1165,0.0295
max_combo,15500,0.3385,0.315,0.192,0.1545
