opponent,episode,p0,p1,p2,p3
single_only,10000,0.604,0.195,0.1285,0.0725
max_combo,10000,0.1515,0.1965,0.289,0.363
random2,10000,0.4135,0.281,0.1625,0.143
single_only,20000,0.4915,0.3405,0.13,0.038
max_combo,20000,0.227,0.234,0.269,0.27
random2,20000,0.5125,0.2645,0.1485,0.0745
single_only,30000,0.7375,0.173,0.071,0.0185
max_combo,30000,0.379,0.263,0.2005,0.1575
random2,30000,0.732,0.175,0.0575,0.0355
single_only,40000,0.814,0.139,0.0365,0.0105
max_combo,40000,0.424,0.264,0.175,0.137
random2,40000,0.7825,0.1535,0.047,0.017
single_only,50000,0.8315,0.126,0.0295,0.013
max_combo,50000,0.4575,0.284,0.1535,0.105
random2,50000,0.7765,0.1525,0.048,0.023
single_only,60000,0.85,0.1045,0.0335,0.012
max_combo,60000,0.4475,0.299,0.1435,0.11
random2,60000,0.788,0.124,0.0445,0.0435
single_only,70000,0.8335,0.111,0.0445,0.011
max_combo,70000,0.47,0.2775,0.143,0.1095
random2,70000,0.7745,0.1395,0.0425,0.0435
single_only,80000,0.846,0.113,0.0305,0.0105
max_combo,80000,0.5075,0.2805,0.1385,0.0735
random2,80000,0.8125,0.118,0.0415,0.028
single_only,90000,0.8715,0.0955,0.0245,0.0085
max_combo,90000,0.5135,0.28,0.1285,0.078
random2,90000,0.778,0.1155,0.0465,0.06
single_only,100000,0.8615,0.1,0.0305,0.008
max_combo,100000,0.519,0.2725,0.125,0.0835
random2,100000,0.791,0.1145,0.054,0.0405
single_only,110000,0.862,0.0995,0.029,0.0095
max_combo,110000,0.552,0.2665,0.1285,0.053
random2,110000,0.843,0.1055,0.0355,0.016
single_only,120000,0.835,0.115,0.037,0.013
max_combo,120000,0.5105,0.2685,0.1235,0.0975
random2,120000,0.796,0.121,0.0445,0.0385
single_only,130000,0.8425,0.115,0.0375,0.005
max_combo,130000,0.543,0.262,0.126,0.069
random2,130000,0.776,0.137,0.0555,0.0315
single_only,140000,0.8425,0.1185,0.029,0.01
max_combo,140000,0.5745,0.252,0.111,0.0625
random2,140000,0.797,0.122,0.047,0.034
single_only,150000,0.799,0.1505,0.0415,0.009
max_combo,150000,0.5525,0.2545,0.129,0.064
random2,150000,0.803,0.1125,0.048,0.0365
single_only,160000,0.833,0.1275,0.0325,0.007
max_combo,160000,0.577,0.249,0.1085,0.0655
random2,160000,0.843,0.1095,0.0315,0.016
single_only,170000,0.844,0.1245,0.0265,0.005
max_combo,170000,0.573,0.265,0.104,0.058
random2,170000,0.8595,0.0985,0.026,0.016
single_only,180000,0.8365,0.118,0.04,0.0055
max_combo,180000,0.586,0.2615,0.098,0.0545
random2,180000,0.8475,0.111,0.027,0.0145
single_only,190000,0.838,0.125,0.03,0.007
max_combo,190000,0.584,0.262,0.101,0.053
random2,190000,0.8415,0.1,0.038,0.0205
single_only,200000,0.8555,0.109,0.027,0.0085
max_combo,200000,0.583,0.2455,0.1005,0.071
random2,200000,0.817,0.1045,0.0395,0.039
single_only,210000,0.8625,0.096,0.0335,0.008
max_combo,210000,0.579,0.2625,0.0965,0.062
random2,210000,0.802,0.1175,0.046,0.0345
single_only,220000,0.8645,0.102,0.026,0.0075
max_combo,220000,0.5895,0.25,0.102,0.0585
random2,220000,0.8565,0.1005,0.029,0.014
single_only,230000,0.8495,0.116,0.029,0.0055
max_combo,230000,0.597,0.239,0.105,0.059
random2,230000,0.8645,0.0935,0.03,0.012
single_only,240000,0.8635,0.1005,0.03,0.006
max_combo,240000,0.616,0.2395,0.1005,0.044
random2,240000,0.8605,0.1025,0.026,0.011
single_only,250000,0.8875,0.08,0.0285,0.004
max_combo,250000,0.5705,0.249,0.1185,0.062
random2,250000,0.809,0.137,0.038,0.016
single_only,260000,0.867,0.092,0.0305,0.0105
max_combo,260000,0.5445,0.2705,0.115,0.07
random2,260000,0.7965,0.1255,0.054,0.024
single_only,270000,0.8345,0.1365,0.021,0.008
max_combo,270000,0.597,0.248,0.098,0.057
random2,270000,0.8385,0.0965,0.037,0.028
single_only,280000,0.8715,0.0945,0.025,0.009
max_combo,280000,0.594,0.2535,0.1065,0.046
random2,280000,0.854,0.102,0.029,0.015
single_only,290000,0.854,0.114,0.026,0.006
max_combo,290000,0.586,0.248,0.1055,0.0605
random2,290000,0.86,0.0925,0.0295,0.018
single_only,300000,0.857,0.1175,0.0215,0.004
max_combo,300000,0.5965,0.2375,0.108,0.058
random2,300000,0.878,0.0945,0.0175,0.01
single_only,310000,0.8335,0.134,0.0275,0.005
max_combo,310000,0.5865,0.2415,0.1125,0.0595
random2,310000,0.8435,0.1145,0.023,0.019
single_only,320000,0.8555,0.1135,0.027,0.004
max_combo,320000,0.6075,0.254,0.0915,0.047
random2,320000,0.863,0.105,0.023,0.009
single_only,330000,0.8415,0.1225,0.029,0.007
max_combo,330000,0.5825,0.2485,0.1065,0.0625
random2,330000,0.827,0.1095,0.0395,0.024
single_only,340000,0.849,0.1145,0.0295,0.007
max_combo,340000,0.5925,0.238,0.1025,0.067
random2,340000,0.8095,0.1175,0.042,0.031
single_only,350000,0.8445,0.11,0.038,0.0075
max_combo,350000,0.596,0.253,0.099,0.052
random2,350000,0.8075,0.1305,0.0475,0.0145
single_only,360000,0.8415,0.1245,0.0295,0.0045
max_combo,360000,0.604,0.2575,0.087,0.0515
random2,360000,0.8355,0.11,0.033,0.0215
single_only,370000,0.837,0.115,0.037,0.011
max_combo,370000,0.585,0.2445,0.1065,0.064
random2,370000,0.841,0.0915,0.0335,0.034
single_only,380000,0.844,0.1195,0.03,0.0065
max_combo,380000,0.619,0.2365,0.086,0.0585
random2,380000,0.8345,0.112,0.0325,0.021
single_only,390000,0.8575,0.11,0.0265,0.006
max_combo,390000,0.611,0.235,0.095,0.059
random2,390000,0.8355,0.099,0.0435,0.022
single_only,400000,0.86,0.1095,0.024,0.0065
max_combo,400000,0.587,0.254,0.1135,0.0455
random2,400000,0.84,0.108,0.0295,0.0225
single_only,410000,0.8665,0.1085,0.022,0.003
max_combo,410000,0.5805,0.252,0.1035,0.064
random2,410000,0.823,0.0965,0.0435,0.037
single_only,420000,0.8285,0.1375,0.0245,0.0095
max_combo,420000,0.617,0.248,0.0905,0.0445
random2,420000,0.8535,0.0965,0.028,0.022
single_only,430000,0.872,0.102,0.0225,0.0035
max_combo,430000,0.6095,0.2375,0.1045,0.0485
random2,430000,0.8525,0.094,0.032,0.0215
single_only,440000,0.8165,0.1295,0.0385,0.0155
max_combo,440000,0.579,0.2485,0.1135,0.059
random2,440000,0.81,0.1235,0.0475,0.019
single_only,450000,0.875,0.095,0.023,0.007
max_combo,450000,0.596,0.2425,0.093,0.0685
random2,450000,0.862,0.0875,0.033,0.0175
single_only,460000,0.8715,0.1055,0.0175,0.0055
max_combo,460000,0.5945,0.247,0.104,0.0545
random2,460000,0.862,0.1055,0.0225,0.01
single_only,470000,0.8275,0.135,0.031,0.0065
max_combo,470000,0.592,0.252,0.0935,0.0625
random2,470000,0.861,0.0955,0.025,0.0185
single_only,480000,0.8425,0.1085,0.0345,0.0145
max_combo,480000,0.5625,0.255,0.112,0.0705
random2,480000,0.816,0.1205,0.0395,0.024
single_only,490000,0.8595,0.108,0.027,0.0055
max_combo,490000,0.6195,0.243,0.0875,0.05
random2,490000,0.867,0.096,0.017,0.02
single_only,500000,0.8535,0.1125,0.027,0.007
max_combo,500000,0.6085,0.2495,0.0965,0.0455
random2,500000,0.858,0.0935,0.0345,0.014
