opponent,episode,p0,p1,p2,p3
single_only,2000,0.5755,0.104,0.191,0.1295
max_combo,2000,0.336,0.2305,0.213,0.2205
random2,2000,0.387,0.244,0.217,0.152
single_only,4000,0.653,0.1195,0.161,0.0665
max_combo,4000,0.3765,0.2505,0.2075,0.1655
random2,4000,0.4235,0.266,0.203,0.1075
single_only,6000,0.638,0.137,0.155,0.07
max_combo,6000,0.374,0.2435,0.2015,0.181
random2,6000,0.4125,0.3075,0.178,0.102
single_only,8000,0.634,0.1365,0.1585,0.071
max_combo,8000,0.3805,0.2365,0.2245,0.1585
random2,8000,0.407,0.3135,0.1765,0.103
single_only,10000,0.624,0.1455,0.162,0.0685
max_combo,10000,0.3915,0.241,0.208,0.1595
random2,10000,0.4335,0.2855,0.179,0.102
single_only,12000,0.6025,0.1575,0.1535,0.0865
max_combo,12000,0.382,0.2465,0.218,0.1535
random2,12000,0.406,0.302,0.1965,0.0955
single_only,14000,0.649,0.1255,0.1475,0.078
max_combo,14000,0.3535,0.26,0.215,0.1715
random2,14000,0.4385,0.287,0.1875,0.087
single_only,16000,0.6025,0.134,0.168,0.0955
max_combo,16000,0.386,0.2585,0.207,0.1485
random2,16000,0.432,0.2935,0.1865,0.088
single_only,18000,0.64,0.132,0.1505,0.0775
max_combo,18000,0.3785,0.258,0.2,0.1635
random2,18000,0.429,0.293,0.184,0.094
single_only,20000,0.649,0.1325,0.1455,0.073
max_combo,20000,0.3785,0.2645,0.2165,0.1405
random2,20000,0.424,0.3,0.1695,0.1065
single_only,22000,0.6205,0.142,0.1535,0.084
max_combo,22000,0.3725,0.256,0.2175,0.154
random2,22000,0.411,0.2925,0.198,0.0985
single_only,24000,0.6285,0.1255,0.165,0.081
max_combo,24000,0.3905,0.2475,0.216,0.146
random2,24000,0.433,0.2825,0.1925,0.092
single_only,26000,0.6515,0.1195,0.1425,0.0865
max_combo,26000,0.3885,0.244,0.209,0.1585
random2,26000,0.4565,0.2685,0.184,0.091
single_only,28000,0.6255,0.1525,0.14,0.082
max_combo,28000,0.3605,0.2755,0.229,0.135
random2,28000,0.42,0.3005,0.1835,0.096
single_only,30000,0.6215,0.1435,0.1635,0.0715
max_combo,30000,0.3985,0.247,0.207,0.1475
random2,30000,0.4315,0.3025,0.1765,0.0895
single_only,32000,0.6325,0.133,0.158,0.0765
max_combo,32000,0.39,0.2555,0.218,0.1365
random2,32000,0.424,0.2845,0.194,0.0975
single_only,34000,0.633,0.1315,0.1615,0.074
max_combo,34000,0.3945,0.2515,0.206,0.148
random2,34000,0.4405,0.2675,0.2,0.092
single_only,36000,0.6055,0.1345,0.1635,0.0965
max_combo,36000,0.3925,0.263,0.215,0.1295
random2,36000,0.423,0.306,0.19,0.081
single_only,38000,0.646,0.1415,0.132,0.0805
max_combo,38000,0.378,0.264,0.2095,0.1485
random2,38000,0.439,0.292,0.1835,0.0855
single_only,40000,0.646,0.1445,0.1385,0.071
max_combo,40000,0.393,0.256,0.2125,0.1385
random2,40000,0.4095,0.317,0.1785,0.095
single_only,42000,0.648,0.13,0.15,0.072
max_combo,42000,0.401,0.2465,0.201,0.1515
random2,42000,0.434,0.282,0.191,0.093
single_only,44000,0.628,0.1295,0.1675,0.075
max_combo,44000,0.385,0.274,0.204,0.137
