episode,wall_s,steps,p0_transitions,train_calls,epsilon
1,0.001476,76,18,18,1.0
2,0.00195,93,23,23,1.0
3,0.001477,73,22,22,1.0
4,0.029881,77,20,20,0.9046104802746175
5,0.02817,76,22,22,0.810157377815473
6,0.027905,74,20,20,0.7328768546436799
7,0.026218,84,23,23,0.653073201944699
8,0.023523,62,21,21,0.5878229785513479
9,0.020559,70,18,18,0.5371084840724134
10,0.024095,86,21,21,0.483444593917636
11,0.02485,88,22,22,0.43296668905325736
12,0.019727,75,17,17,0.3976004408064698
13,0.023221,69,20,20,0.3596735257153405
14,0.032394,77,24,24,0.31890579420988907
15,0.034507,83,26,26,0.2799384215094006
16,0.026767,80,20,20,0.2532352299289372
17,0.029228,69,22,22,0.22679417751985861
18,0.029106,72,22,22,0.2031139149609751
19,0.027794,77,18,18,0.18559023879528855
20,0.020049,66,14,14,0.1730128104744653
21,0.024104,79,20,20,0.15650920157696743
22,0.029855,82,24,24,0.138769433003975
23,0.026378,78,22,22,0.1242800989098765
24,0.0248,72,20,20,0.11242507996344034
25,0.02407,66,20,20,0.10170090558064004
26,0.034888,72,21,21,0.1
27,0.031513,67,19,19,0.1
28,0.024465,78,19,19,0.1
29,0.022195,69,19,19,0.1
30,0.030561,81,22,22,0.1
31,0.028342,73,23,23,0.1
32,0.027383,64,22,22,0.1
33,0.027935,79,21,21,0.1
34,0.024018,62,18,18,0.1
35,0.029714,81,22,22,0.1
36,0.0271,73,21,21,0.1
37,0.030737,88,22,22,0.1
38,0.028604,67,19,19,0.1
39,0.032009,72,21,21,0.1
40,0.031287,74,22,22,0.1
41,0.030038,76,23,23,0.1
42,0.020656,68,14,14,0.1
43,0.027522,69,21,21,0.1
44,0.025692,73,18,18,0.1
45,0.025241,72,18,18,0.1
46,0.026348,70,21,21,0.1
47,0.026766,69,21,21,0.1
48,0.020675,70,16,16,0.1
49,0.023484,75,18,18,0.1
50,0.020073,74,16,16,0.1
51,0.027732,73,23,23,0.1
52,0.017083,69,15,15,0.1
53,0.024855,87,22,22,0.1
54,0.023568,74,21,21,0.1
55,0.022496,84,20,20,0.1
56,0.015908,64,14,14,0.1
57,0.0245,72,22,22,0.1
58,0.027912,76,25,25,0.1
59,0.027101,79,24,24,0.1
60,0.019499,65,17,17,0.1
61,0.020621,78,18,18,0.1
62,0.019722,70,17,17,0.1
63,0.019739,72,17,17,0.1
64,0.02219,68,19,19,0.1
65,0.022936,77,20,20,0.1
66,0.025604,77,22,22,0.1
67,0.026751,79,23,23,0.1
68,0.018109,61,15,15,0.1
69,0.017792,72,15,15,0.1
70,0.026138,74,22,22,0.1
