episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon
1,115.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
2,108.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9716065690000207
3,115.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9386529185605702
4,98.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9114542229596021
5,120.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8792207203776994
6,101.0,2.0,0.0,0.0,1.5,0.0,0.0,0.852976011178974
7,118.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8233044942789164
8,125.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7929978314562441
9,108.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7677127394864991
10,108.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7432338740290566
11,126.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7156599285065296
12,122.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6899365265458621
13,109.0,3.0,0.0,0.0,1.5,0.0,0.0,0.667737209288044
14,109.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6462521746747186
15,106.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6260216905433096
16,102.0,3.0,0.0,0.0,1.5,0.0,0.0,0.607152763456798
17,106.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5881462597608749
18,112.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5687099880160335
19,100.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5518995837040492
20,109.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5341417270292592
21,109.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5169552450809477
22,133.0,1.0,0.0,0.0,1.5,0.0,0.0,0.496731837442016
23,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.47974038689337634
24,101.0,2.0,0.0,0.0,1.5,0.0,0.0,0.4654201523344227
25,120.0,2.0,0.0,0.0,1.5,0.0,0.0,0.4489606074620239
26,107.0,0.0,0.0,0.0,1.5,0.0,0.0,0.43477572959597527
27,103.0,3.0,0.0,0.0,1.5,0.0,0.0,0.4215446479073275
28,125.0,1.0,0.0,0.0,1.5,0.0,0.0,0.406027167318303
29,102.0,2.0,0.0,0.0,1.5,0.0,0.0,0.3937890977258215
30,104.0,3.0,0.0,0.0,1.5,0.0,0.0,0.3816907783670976
31,110.0,0.0,0.0,0.0,1.5,0.0,0.0,0.36929871751085347
32,100.0,3.0,0.0,0.0,1.5,0.0,0.0,0.35838267790530337
33,104.0,3.0,0.0,0.0,1.5,0.0,0.0,0.3473721443101047
34,121.0,0.0,0.0,0.0,1.5,0.0,0.0,0.3349868311893505
35,122.0,1.0,0.0,0.0,1.5,0.0,0.0,0.3229461948941252
36,120.0,3.0,0.0,0.0,1.5,0.0,0.0,0.311525229644621
37,130.0,1.0,0.0,0.0,1.5,0.0,0.0,0.2996078574659852
38,120.0,1.0,0.0,0.0,1.5,0.0,0.0,0.28901225057326685
39,111.0,1.0,0.0,0.0,1.5,0.0,0.0,0.27954522344516275
40,117.0,2.0,0.0,0.0,1.5,0.0,0.0,0.26990196883712503
41,114.0,1.0,0.0,0.0,1.5,0.0,0.0,0.2608260431216423
42,107.0,0.0,0.0,0.0,1.5,0.0,0.0,0.25258526318578084
43,119.0,1.0,0.0,0.0,1.5,0.0,0.0,0.24372572413545238
44,106.0,0.0,0.0,0.0,1.5,0.0,0.0,0.23609605635596642
45,119.0,0.0,0.0,0.0,1.5,0.0,0.0,0.22781488347781736
46,112.0,1.0,0.0,0.0,1.5,0.0,0.0,0.22028636160199283
47,119.0,3.0,0.0,0.0,1.5,0.0,0.0,0.21255972071149806
48,94.0,1.0,0.0,0.0,1.5,0.0,0.0,0.2066483913845767
49,131.0,1.0,0.0,0.0,1.5,0.0,0.0,0.19868345115288372
50,100.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1928105999380986
51,103.0,0.0,0.0,0.0,1.5,0.0,0.0,0.18694299366534556
52,95.0,1.0,0.0,0.0,1.5,0.0,0.0,0.18168954753804037
53,107.0,0.0,0.0,0.0,1.5,0.0,0.0,0.17594907944678867
54,94.0,3.0,0.0,0.0,1.5,0.0,0.0,0.17105589954470235
55,104.0,0.0,0.0,0.0,1.5,0.0,0.0,0.1658005765486186
56,118.0,3.0,0.0,0.0,1.5,0.0,0.0,0.160033058418417
57,113.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1546980763809987
58,89.0,0.0,0.0,0.0,1.5,0.0,0.0,0.150621688236045
59,109.0,0.0,0.0,0.0,1.5,0.0,0.0,0.14577530235211428
60,93.0,2.0,0.0,0.0,1.5,0.0,0.0,0.14176379050233462
61,90.0,2.0,0.0,0.0,1.5,0.0,0.0,0.13798682016700065
62,123.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1329871674798347
63,104.0,0.0,0.0,0.0,1.5,0.0,0.0,0.12890142403981833
64,115.0,0.0,0.0,0.0,1.5,0.0,0.0,0.12452951816301129
65,129.0,3.0,0.0,0.0,1.5,0.0,0.0,0.11980159210929525
66,108.0,1.0,0.0,0.0,1.5,0.0,0.0,0.115981664545253
67,130.0,1.0,0.0,0.0,1.5,0.0,0.0,0.11154479545487399
68,109.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1079557431181928
69,134.0,0.0,0.0,0.0,1.5,0.0,0.0,0.10370136996430186
70,117.0,3.0,0.0,0.0,1.5,0.0,0.0,0.10012406429102406
71,117.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0966701621550811
72,106.0,3.0,0.0,0.0,1.5,0.0,0.0,0.09364396857601354
73,110.0,0.0,0.0,0.0,1.5,0.0,0.0,0.09060370189108434
74,138.0,0.0,0.0,0.0,1.5,0.0,0.0,0.08692875374619805
75,102.0,3.0,0.0,0.0,1.5,0.0,0.0,0.08430863316421817
76,137.0,1.0,0.0,0.0,1.5,0.0,0.0,0.08091329130172654
77,112.0,0.0,0.0,0.0,1.5,0.0,0.0,0.07823937696254635
78,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.07556308282472463
79,120.0,1.0,0.0,0.0,1.5,0.0,0.0,0.07289080070240543
80,111.0,1.0,0.0,0.0,1.5,0.0,0.0,0.07050315385951157
81,98.0,0.0,0.0,0.0,1.5,0.0,0.0,0.06846023279378508
82,102.0,1.0,0.0,0.0,1.5,0.0,0.0,0.06639677211754168
83,112.0,2.0,0.0,0.0,1.5,0.0,0.0,0.06420258030820922
84,112.0,3.0,0.0,0.0,1.5,0.0,0.0,0.06208089921803667
85,121.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05986744777056833
86,106.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05799333809701866
87,151.0,3.0,0.0,0.0,1.5,0.0,0.0,0.0554244785469573
88,106.0,2.0,0.0,0.0,1.5,0.0,0.0,0.053689452998609756
89,115.0,1.0,0.0,0.0,1.5,0.0,0.0,0.051868486032297025
90,125.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
91,108.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
92,73.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
93,104.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
94,108.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
95,117.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
96,87.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
97,103.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
98,106.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
99,109.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
100,107.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
101,107.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
102,108.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
103,119.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
104,84.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
105,91.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
106,101.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
107,115.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
108,102.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
109,99.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
110,112.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
111,93.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
112,111.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
113,110.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
114,91.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
115,110.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
116,115.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
117,112.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
118,81.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
119,95.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
120,98.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
121,97.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
122,107.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
123,98.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
124,94.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
125,97.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
126,97.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
127,89.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
128,107.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
129,110.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
130,111.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
131,100.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
132,111.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
133,104.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
134,113.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
135,96.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
136,97.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
137,96.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
138,113.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
139,98.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
140,107.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
141,87.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
142,100.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
143,85.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
144,89.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
145,96.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
146,96.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
147,109.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
148,120.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
149,99.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
150,103.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
151,91.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
152,86.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
153,91.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
154,96.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
155,94.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
156,105.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
157,95.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
158,105.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
159,94.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
