episode,reward_mean,reward_std,return_mean,adv_mean_raw,adv_std_raw,policy_loss,value_loss,entropy,approx_kl,clip_frac,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,ep_length
1,0.0,0.0,-0.027434051036834717,0.061061400920152664,0.1144993007183075,-2.9802322387695312e-08,0.016838574782013893,0.27476030588150024,0.0,0.0,0.040750216925516725,0.0,0.0,0.0,30.0
2,0.0,0.0,-0.02432302199304104,0.08305580168962479,0.061718087643384933,2.0590695726241393e-07,0.010707390494644642,0.27884605526924133,1.0837208463954084e-08,0.0,0.0031513019930571318,0.0,0.0,0.0,28.0
3,0.0,0.0,-0.004395282361656427,-0.014536546543240547,0.07945603877305984,1.3245476715439963e-08,0.0065245735459029675,0.2692282497882843,6.622738357719982e-09,0.0,0.0024903130251914263,0.0,0.0,0.0,27.0
4,0.0,0.0,0.005899546667933464,-0.04193941503763199,0.03732211887836456,2.3841858265427618e-08,0.0031518563628196716,0.27811092138290405,0.0,0.0,0.002235099906101823,0.0,0.0,0.0,27.0
5,1.0,1.4142135381698608,2.8324453830718994,2.743623733520508,0.059573784470558167,-1.341104507446289e-06,7.531020641326904,0.4593014717102051,0.0,0.0,0.001972224097698927,3.0,0.0,0.0,24.0
6,1.0,1.4142135381698608,2.827030897140503,2.801060914993286,0.12233275920152664,1.4901161193847656e-08,7.860908508300781,0.5893760323524475,0.0,0.0,0.0027605430223047733,3.0,0.0,0.0,27.0
7,0.25,0.6614378094673157,1.6455166339874268,1.57969069480896,0.1615937203168869,-6.51925802230835e-07,2.521535634994507,0.4882518947124481,1.4901161193847656e-08,0.0,0.002520740032196045,2.0,0.0,0.0,31.0
8,0.0,0.0,0.0342683382332325,-0.14858433604240417,0.05378083884716034,-2.81466370211092e-08,0.024969682097434998,0.30148422718048096,0.0,0.0,0.003095099003985524,0.0,0.0,0.0,23.0
9,0.0,0.0,0.031884074211120605,-0.1482972651720047,0.07346660643815994,1.059638137235197e-07,0.027389423921704292,0.5777775049209595,0.0,0.0,0.0030158699955791235,0.0,0.0,0.0,25.0
10,0.125,0.33071890473365784,0.8513768911361694,0.652205228805542,0.05180707573890686,7.525086402893066e-07,0.4280555546283722,0.4764082431793213,1.4901161193847656e-08,0.0,0.0030415529618039727,1.0,0.0,0.0,30.0
