episode,wall_s,steps,p0_transitions,train_calls,epsilon
1,0.002555,83,27,27,1.0
2,0.002083,76,24,24,1.0
3,0.027494,76,22,22,0.9511101304657719
4,0.05209,69,22,22,0.851801859600347
5,0.050727,73,23,23,0.7590483508202912
6,0.04632,76,20,20,0.6866430931872001
7,0.077127,83,22,22,0.6149486215357263
8,0.209565,74,20,20,0.5562889678716474
9,0.109924,67,21,21,0.500708706245853
10,0.081521,76,27,27,0.43732904629000013
11,0.054727,74,16,16,0.4036245882390106
12,0.070392,84,22,22,0.3614809303671764
13,0.052323,73,19,19,0.32864265128599696
14,0.060675,78,21,21,0.29580711868545667
15,0.045664,62,13,13,0.27714603575484437
16,0.056167,73,23,23,0.24696734223472733
17,0.049755,76,17,17,0.22679417751985861
18,0.049522,68,18,18,0.20722748400265262
19,0.057188,79,22,22,0.18559023879528855
20,0.06861,68,20,20,0.1678868750508869
21,0.058756,72,23,23,0.14960551470448571
22,0.02588,70,9,9,0.14300635237083656
23,0.049048,70,18,18,0.13066846301911936
24,0.043626,64,18,18,0.11939502647758558
25,0.040163,59,20,20,0.10800599224428936
26,0.041586,66,19,19,0.1
27,0.044219,70,18,18,0.1
28,0.036865,69,17,17,0.1
29,0.05328,92,25,25,0.1
30,0.027663,69,12,12,0.1
31,0.044148,73,19,19,0.1
32,0.04138,74,20,20,0.1
33,0.033234,64,16,16,0.1
34,0.043367,76,19,19,0.1
35,0.045085,72,19,19,0.1
36,0.046159,78,22,22,0.1
37,0.07937,77,21,21,0.1
38,0.039242,70,20,20,0.1
39,0.041803,74,21,21,0.1
40,0.034589,63,15,15,0.1
41,0.038762,69,19,19,0.1
42,0.034831,81,16,16,0.1
43,0.034663,72,16,16,0.1
44,0.04648,73,20,20,0.1
45,0.048748,70,21,21,0.1
46,0.051864,80,23,23,0.1
47,0.038508,67,17,17,0.1
48,0.034907,75,16,16,0.1
49,0.033786,62,15,15,0.1
50,0.043852,77,21,21,0.1
51,0.047452,77,22,22,0.1
52,0.03074,66,13,13,0.1
53,0.047211,77,21,21,0.1
54,0.029083,73,14,14,0.1
55,0.049374,69,18,18,0.1
56,0.044057,73,18,18,0.1
57,0.062385,74,19,19,0.1
58,0.029809,71,15,15,0.1
59,0.053958,75,23,23,0.1
60,0.130221,75,21,21,0.1
61,0.036161,74,18,18,0.1
62,0.037718,74,19,19,0.1
