episode,wall_s,steps,p0_transitions,p1_transitions,p2_transitions,p3_transitions,p0_train_calls,p1_train_calls,p2_train_calls,p3_train_calls,eps_p0,eps_p1,eps_p2,eps_p3
1,0.002778,104,26,28,25,25,26,28,25,25,1.0,1.0,1.0,1.0
2,0.003044,112,30,24,27,31,30,24,27,31,1.0,1.0,1.0,1.0
3,0.173121,123,23,34,30,36,23,34,30,36,0.9229311239742362,0.8911090557802088,0.9091562615825302,0.8647077305675338
4,0.148359,116,34,32,22,28,34,32,22,28,0.778312557068642,0.7590483508202912,0.8142285204175609,0.7514768435208588
5,0.157253,115,30,25,29,31,30,25,29,31,0.6696478204705644,0.6696478204705644,0.7040696960536299,0.6433260027715241
6,0.123098,99,27,28,19,25,27,28,19,25,0.5848838636585911,0.5819594443402982,0.6401093727576664,0.567555222460375
7,0.115391,102,21,22,29,30,21,22,29,30,0.5264466124450268,0.5211953074858876,0.5535075230322891,0.4883155414435353
8,0.139142,110,27,29,30,24,27,29,30,24,0.4598090507939749,0.4506816115185697,0.47622912292284103,0.43296668905325736
9,0.105779,72,22,18,17,15,22,18,17,15,0.4117990041127769,0.4117990041127769,0.43732904629000013,0.4016064652978155
10,0.132109,80,24,21,22,13,24,21,22,13,0.36512303261753626,0.3706551064126331,0.39166620452737816,0.37627099809304654
11,0.114133,84,25,20,22,17,25,20,22,17,0.322118930542046,0.3352984938281715,0.3507711574848344,0.3455358541129786
12,0.141375,93,28,25,19,21,28,25,19,21,0.2799384215094006,0.29580711868545667,0.31890579420988907,0.31101247816653554
13,0.124907,79,24,16,17,22,24,16,17,22,0.24820838415550486,0.2730095965279488,0.29285644267656924,0.27853872940185365
14,0.151217,95,20,22,28,25,20,22,28,25,0.22453190559909803,0.24450384299593592,0.25450776877280124,0.2457325055235537
15,0.161235,85,22,20,20,23,22,20,20,23,0.2010878536592394,0.2211807388415433,0.23023039494318503,0.2189744609715989
16,0.124645,91,24,21,25,21,24,21,25,21,0.17829525136613786,0.19908200231898848,0.2031139149609751,0.19709615934585656
17,0.102121,78,22,19,21,16,22,19,21,16,0.15967890763313974,0.18099664897669618,0.182820281282489,0.18190617987607657
18,0.123995,83,22,20,21,20,22,20,21,20,0.14300635237083656,0.16373146555890544,0.16455423674261854,0.16455423674261854
19,0.100661,80,25,19,22,14,25,19,22,14,0.1261630989318213,0.14885748713096328,0.1473726336968319,0.1534024157688821
20,0.121615,86,16,25,22,23,16,25,22,23,0.11643985070121858,0.1313250884614265,0.13198501352907185,0.13669828187021155
21,0.115658,77,22,19,15,21,22,19,15,21,0.1042820154910064,0.11939502647758558,0.12242520289863423,0.12304040492325048
22,0.109544,76,21,22,19,14,21,22,19,14,0.1,0.10692863247165257,0.11130363979080501,0.11470197137452155
23,0.096143,78,19,22,17,20,19,22,17,20,0.1,0.1,0.10221196540767843,0.10376060541355137
24,0.091763,69,14,14,22,19,14,14,22,19,0.1,0.1,0.1,0.1
25,0.106831,77,15,16,25,21,15,16,25,21,0.1,0.1,0.1,0.1
26,0.128592,83,22,23,18,20,22,23,18,20,0.1,0.1,0.1,0.1
27,0.0976,63,16,12,18,17,16,12,18,17,0.1,0.1,0.1,0.1
28,0.097524,77,20,19,18,20,20,19,18,20,0.1,0.1,0.1,0.1
29,0.111489,84,23,19,21,21,23,19,21,21,0.1,0.1,0.1,0.1
30,0.095394,69,20,19,13,17,20,19,13,17,0.1,0.1,0.1,0.1
31,0.091253,71,20,18,18,15,20,18,18,15,0.1,0.1,0.1,0.1
32,0.119647,81,20,14,24,23,20,14,24,23,0.1,0.1,0.1,0.1
33,0.100403,67,21,13,19,14,21,13,19,14,0.1,0.1,0.1,0.1
34,0.119407,76,20,16,18,22,20,16,18,22,0.1,0.1,0.1,0.1
35,0.086147,62,14,17,15,16,14,17,15,16,0.1,0.1,0.1,0.1
36,0.094222,67,17,12,23,15,17,12,23,15,0.1,0.1,0.1,0.1
37,0.1078,72,22,17,19,14,22,17,19,14,0.1,0.1,0.1,0.1
38,0.0879,65,10,19,20,16,10,19,20,16,0.1,0.1,0.1,0.1
39,0.105821,79,23,17,19,20,23,17,19,20,0.1,0.1,0.1,0.1
40,0.098372,73,19,21,18,15,19,21,18,15,0.1,0.1,0.1,0.1
41,0.110535,73,16,18,19,20,16,18,19,20,0.1,0.1,0.1,0.1
42,0.114323,75,18,21,17,19,18,21,17,19,0.1,0.1,0.1,0.1
43,0.102367,75,22,20,16,17,22,20,16,17,0.1,0.1,0.1,0.1
44,0.102033,71,15,19,15,22,15,19,15,22,0.1,0.1,0.1,0.1
45,0.099566,75,17,22,21,15,17,22,21,15,0.1,0.1,0.1,0.1
46,0.105418,76,20,23,16,17,20,23,16,17,0.1,0.1,0.1,0.1
47,0.120046,87,23,16,25,23,23,16,25,23,0.1,0.1,0.1,0.1
48,0.131516,84,20,16,23,25,20,16,23,25,0.1,0.1,0.1,0.1
49,0.108043,71,18,13,20,20,18,13,20,20,0.1,0.1,0.1,0.1
50,0.129147,86,22,24,20,20,22,24,20,20,0.1,0.1,0.1,0.1
51,0.089192,66,16,11,18,21,16,11,18,21,0.1,0.1,0.1,0.1
52,0.092657,69,20,18,19,12,20,18,19,12,0.1,0.1,0.1,0.1
53,0.102989,77,18,22,14,23,18,22,14,23,0.1,0.1,0.1,0.1
54,0.091922,68,15,14,20,19,15,14,20,19,0.1,0.1,0.1,0.1
