episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon
71,44.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5150972738441698
72,35.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5097162451204614
73,34.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5045427928307437
74,32.0,1.0,0.0,0.0,1.5,0.0,0.0,0.4997216373881848
75,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.49509507898943966
76,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.49139520276941356
77,36.0,0.0,0.0,0.0,1.5,0.0,0.0,0.48611590219034456
78,24.0,0.0,0.0,0.0,1.5,0.0,0.0,0.48262791629011315
79,27.0,2.0,0.0,0.0,1.5,0.0,0.0,0.47873383833701294
80,33.0,1.0,0.0,0.0,1.5,0.0,0.0,0.47401705240463726
81,29.0,3.0,0.0,0.0,1.5,0.0,0.0,0.4699103779572939
82,34.0,1.0,0.0,0.0,1.5,0.0,0.0,0.46514094213083573
83,26.0,1.0,0.0,0.0,1.5,0.0,0.0,0.4615264155581308
84,31.0,3.0,0.0,0.0,1.5,0.0,0.0,0.45725347887821566
85,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.4531560490192271
86,25.0,0.0,0.0,0.0,1.5,0.0,0.0,0.44976958577029047
87,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.44547181535884917
88,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.44147996050830296
89,21.0,0.0,0.0,0.0,1.5,0.0,0.0,0.43870696489618966
90,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.4349062014564122
91,30.0,3.0,0.0,0.0,1.5,0.0,0.0,0.43100902464306434
92,24.0,1.0,0.0,0.0,1.5,0.0,0.0,0.42791644241307836
93,29.0,1.0,0.0,0.0,1.5,0.0,0.0,0.424209163295711
94,37.0,2.0,0.0,0.0,1.5,0.0,0.0,0.4195257799120248
95,22.0,0.0,0.0,0.0,1.5,0.0,0.0,0.41676561428651887
96,17.0,2.0,0.0,0.0,1.5,0.0,0.0,0.41464520322098825
97,33.0,0.0,0.0,0.0,1.5,0.0,0.0,0.41055985870413986
98,26.0,3.0,0.0,0.0,1.5,0.0,0.0,0.407369471910464
99,38.0,1.0,0.0,0.0,1.5,0.0,0.0,0.40275114165288445
100,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.39926188358996506
101,33.0,2.0,0.0,0.0,1.5,0.0,0.0,0.3953281051831726
102,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.39155054999264655
103,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.3880418814117553
104,42.0,1.0,0.0,0.0,1.5,0.0,0.0,0.38318250314490776
105,24.0,2.0,0.0,0.0,1.5,0.0,0.0,0.3804330864684266
106,28.0,3.0,0.0,0.0,1.5,0.0,0.0,0.3772503572886296
107,30.0,3.0,0.0,0.0,1.5,0.0,0.0,0.37386983215394776
108,33.0,3.0,0.0,0.0,1.5,0.0,0.0,0.37018623215823987
109,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.3674198074946399
110,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.36412737351752555
111,24.0,0.0,0.0,0.0,1.5,0.0,0.0,0.3615146814846281
112,37.0,2.0,0.0,0.0,1.5,0.0,0.0,0.3575234620610076
113,25.0,1.0,0.0,0.0,1.5,0.0,0.0,0.3548516670634064
114,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.35219983855546755
115,36.0,0.0,0.0,0.0,1.5,0.0,0.0,0.3484159823005533
116,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.34529384082941683
117,27.0,1.0,0.0,0.0,1.5,0.0,0.0,0.34250784133056716
118,26.0,1.0,0.0,0.0,1.5,0.0,0.0,0.33984627451991883
119,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.3369019964511959
120,37.0,3.0,0.0,0.0,1.5,0.0,0.0,0.33318250769745983
121,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.3300978137119056
122,35.0,2.0,0.0,0.0,1.5,0.0,0.0,0.32664940521235974
123,33.0,1.0,0.0,0.0,1.5,0.0,0.0,0.32343105046919685
124,30.0,3.0,0.0,0.0,1.5,0.0,0.0,0.3205327979577719
125,24.0,1.0,0.0,0.0,1.5,0.0,0.0,0.3182329063582565
126,26.0,2.0,0.0,0.0,1.5,0.0,0.0,0.31575997569970893
127,29.0,1.0,0.0,0.0,1.5,0.0,0.0,0.31302437068904204
128,26.0,0.0,0.0,0.0,1.5,0.0,0.0,0.3105919146240552
129,30.0,3.0,0.0,0.0,1.5,0.0,0.0,0.3078087130876487
130,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.3048674488907238
131,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.30195428992509443
132,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.29906896763140217
133,35.0,3.0,0.0,0.0,1.5,0.0,0.0,0.29594470589112126
134,34.0,2.0,0.0,0.0,1.5,0.0,0.0,0.29294096443500883
135,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.2904030532625678
136,34.0,2.0,0.0,0.0,1.5,0.0,0.0,0.2874555577585013
137,31.0,3.0,0.0,0.0,1.5,0.0,0.0,0.2847942162725402
138,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.28215751420757385
139,25.0,3.0,0.0,0.0,1.5,0.0,0.0,0.28004893361079414
140,24.0,2.0,0.0,0.0,1.5,0.0,0.0,0.27803952242426855
141,36.0,3.0,0.0,0.0,1.5,0.0,0.0,0.2750524069549559
142,30.0,3.0,0.0,0.0,1.5,0.0,0.0,0.2725876735038102
143,39.0,0.0,0.0,0.0,1.5,0.0,0.0,0.26941650951516194
144,26.0,3.0,0.0,0.0,1.5,0.0,0.0,0.2673229222933902
145,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.2653252015216952
146,30.0,3.0,0.0,0.0,1.5,0.0,0.0,0.26294763316349634
147,22.0,3.0,0.0,0.0,1.5,0.0,0.0,0.26121763454811153
148,34.0,3.0,0.0,0.0,1.5,0.0,0.0,0.2585663614476275
149,22.0,2.0,0.0,0.0,1.5,0.0,0.0,0.25686518832084254
150,29.0,1.0,0.0,0.0,1.5,0.0,0.0,0.25463982174396943
151,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.25235800464011493
152,33.0,1.0,0.0,0.0,1.5,0.0,0.0,0.2498716153546953
153,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.24748396872605266
154,36.0,3.0,0.0,0.0,1.5,0.0,0.0,0.24482512661273462
155,33.0,1.0,0.0,0.0,1.5,0.0,0.0,0.24241295596461307
156,31.0,2.0,0.0,0.0,1.5,0.0,0.0,0.24016863109758413
157,32.0,1.0,0.0,0.0,1.5,0.0,0.0,0.23787370127319463
158,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.23567140205673862
159,39.0,0.0,0.0,0.0,1.5,0.0,0.0,0.2329297055825357
160,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.23118900745161997
161,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.22897988236377215
162,27.0,1.0,0.0,0.0,1.5,0.0,0.0,0.2271323607399292
163,29.0,0.0,0.0,0.0,1.5,0.0,0.0,0.22516458625316002
164,25.0,3.0,0.0,0.0,1.5,0.0,0.0,0.223481917340412
165,27.0,1.0,0.0,0.0,1.5,0.0,0.0,0.22167875598596454
166,24.0,3.0,0.0,0.0,1.5,0.0,0.0,0.22008816334792097
167,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.21811596225209953
168,34.0,0.0,0.0,0.0,1.5,0.0,0.0,0.21590215695328963
169,34.0,0.0,0.0,0.0,1.5,0.0,0.0,0.21371082105034814
170,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.21166870866130794
171,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.20970902237090258
172,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.2081418538452555
173,24.0,2.0,0.0,0.0,1.5,0.0,0.0,0.2066483913845767
