opponent,episode,p0,p1,p2,p3
single_only,5000,0.677,0.096,0.1505,0.0765
max_combo,5000,0.3775,0.238,0.2035,0.181
random2,5000,0.4185,0.2695,0.197,0.115
single_only,10000,0.609,0.1375,0.1675,0.086
max_combo,10000,0.3625,0.244,0.225,0.1685
random2,10000,0.421,0.276,0.205,0.098
single_only,15000,0.1775,0.2215,0.272,0.329
max_combo,15000,0.1015,0.1635,0.2375,0.4975
random2,15000,0.133,0.261,0.2805,0.3255
single_only,20000,0.1425,0.1885,0.2205,0.4485
max_combo,20000,0.0535,0.127,0.203,0.6165
random2,20000,0.0695,0.211,0.2705,0.449
single_only,25000,0.3295,0.2,0.2025,0.268
max_combo,25000,0.1525,0.179,0.224,0.4445
random2,25000,0.1585,0.269,0.2395,0.333
single_only,30000,0.272,0.157,0.258,0.313
max_combo,30000,0.115,0.172,0.2345,0.4785
random2,30000,0.138,0.206,0.2935,0.3625
single_only,35000,0.1655,0.156,0.186,0.4925
max_combo,35000,0.098,0.126,0.19,0.586
random2,35000,0.171,0.176,0.2175,0.4355
single_only,40000,0.3555,0.1095,0.1945,0.3405
max_combo,40000,0.157,0.169,0.206,0.468
random2,40000,0.1595,0.174,0.245,0.4215
single_only,45000,0.308,0.155,0.2135,0.3235
max_combo,45000,0.168,0.204,0.2295,0.3985
random2,45000,0.209,0.236,0.268,0.287
single_only,50000,0.094,0.1355,0.2555,0.515
max_combo,50000,0.081,0.0935,0.1905,0.635
random2,50000,0.0865,0.159,0.281,0.4735
single_only,55000,0.0845,0.159,0.314,0.4425
max_combo,55000,0.044,0.1355,0.2735,0.547
random2,55000,0.0665,0.209,0.3,0.4245
single_only,60000,0.032,0.115,0.2835,0.5695
max_combo,60000,0.038,0.0765,0.2035,0.682
random2,60000,0.0265,0.0965,0.304,0.573
single_only,65000,0.046,0.1195,0.2605,0.574
max_combo,65000,0.052,0.0975,0.1955,0.655
random2,65000,0.0705,0.1635,0.31,0.456
single_only,70000,0.2175,0.217,0.234,0.3315
max_combo,70000,0.154,0.1735,0.2355,0.437
random2,70000,0.2075,0.243,0.2295,0.32
single_only,75000,0.372,0.082,0.1815,0.3645
max_combo,75000,0.1755,0.1335,0.186,0.505
random2,75000,0.224,0.157,0.2215,0.3975
single_only,80000,0.0565,0.1935,0.2345,0.5155
max_combo,80000,0.057,0.13,0.2265,0.5865
random2,80000,0.0795,0.2005,0.271,0.449
single_only,85000,0.24,0.2395,0.244,0.2765
max_combo,85000,0.129,0.161,0.2605,0.4495
random2,85000,0.203,0.25,0.2485,0.2985
single_only,90000,0.317,0.14,0.1525,0.3905
max_combo,90000,0.138,0.1585,0.1945,0.509
random2,90000,0.2335,0.191,0.1935,0.382
single_only,95000,0.07,0.1795,0.247,0.5035
max_combo,95000,0.0955,0.1465,0.231,0.527
random2,95000,0.1035,0.205,0.253,0.4385
single_only,100000,0.2565,0.087,0.2255,0.431
max_combo,100000,0.0915,0.1105,0.22,0.578
random2,100000,0.1485,0.138,0.2465,0.467
