episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
50,157,0.07486265490297228,0.01080189598724246,0.0,0.0,0.0,3.9227956529939547
100,136,14.387572612031363,0.01228334300685674,12.208334280992858,2.099362375913188,0.002769012004137039,22.053914555930533
150,114,0.0625119109172374,0.012136488920077682,0.0,0.0,0.0,25.450800472986884
200,158,14.127011392032728,0.010860998998396099,11.739871789002791,2.31617109302897,0.0017616479890421033,43.219072118983604
