episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon_p0
1,111.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
2,108.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
3,105.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
4,130.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
5,114.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9976025184885671
6,114.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9898503288069713
7,120.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9806860261040145
8,89.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9736493934487319
9,115.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9657935141903946
10,101.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9571390777225308
11,97.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9511271571369375
12,104.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9431699623912897
13,134.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9344378391761489
14,112.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9263422823236934
15,104.0,1.0,0.0,0.0,1.5,0.0,0.0,0.918868099963192
16,119.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9098148353294014
17,97.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9013915229235262
18,129.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8941186554866206
19,124.0,1.0,0.0,0.0,1.5,0.0,0.0,0.885309237897248
20,99.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8789569541615861
21,113.0,3.0,0.0,0.0,1.5,0.0,0.0,0.872650249424687
22,101.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8653495978478647
23,101.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8586251218174988
24,108.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8516973146103469
25,115.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8445719567169815
26,135.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8362507042687323
27,105.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8292545737722786
28,106.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8250355103128834
29,112.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8181332068949091
30,111.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8105587078609364
31,118.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8032953241898039
32,134.0,1.0,0.0,0.0,1.5,0.0,0.0,0.7951421407783804
33,132.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7884899273312422
34,115.0,1.0,0.0,0.0,1.5,0.0,0.0,0.7809555168539312
35,102.0,1.0,0.0,0.0,1.5,0.0,0.0,0.7744219896712982
