episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
1,23,0.012872768915258348,0.005405448959209025,0.0,0.0,0.0,0.012878676992841065
2,17,0.0062201760010793805,0.00230984203517437,0.0,0.0,0.0,0.019121159915812314
3,19,0.004534770036116242,0.002100678044371307,0.0,0.0,0.0,0.02368930191732943
4,25,0.007194382953457534,0.002199240028858185,0.0,0.0,0.0,0.030914758914150298
5,17,0.00500399200245738,0.002126172068528831,0.0,0.0,0.0,0.035952781909145415
6,23,0.006665749941021204,0.0022600970696657896,0.0,0.0,0.0,0.042662923922762275
7,20,0.007346041966229677,0.003150742966681719,0.0,0.0,0.0,0.05004402797203511
8,21,0.007334063993766904,0.0022865579230710864,0.0,0.0,0.0,0.057414139970205724
9,26,0.007426097989082336,0.0022721519926562905,0.0,0.0,0.0,0.06488632690161467
10,23,0.006444566999562085,0.0021502720192074776,0.0,0.0,0.0,0.0713662599446252
11,20,0.005543698091059923,0.0022026579827070236,0.0,0.0,0.0,0.07694494898896664
12,18,0.008550142985768616,0.002901241066865623,0.0,0.0,0.0,0.08553274895530194
13,26,0.008265916025266051,0.002618073020130396,0.0,0.0,0.0,0.09383668296504766
14,23,0.006933809025213122,0.002452732063829899,0.0,0.0,0.0,0.10080516489688307
15,24,0.00576438894495368,0.002454519970342517,0.0,0.0,0.0,0.10661581892054528
16,25,0.00469711993355304,0.0023228880017995834,0.0,0.0,0.0,0.11135620798449963
17,24,0.007606185041368008,0.0024095310363918543,0.0,0.0,0.0,0.1190075259655714
18,15,0.005996345076709986,0.0023940210230648518,0.0,0.0,0.0,0.12504820199683309
19,16,0.0059966458939015865,0.002369116060435772,0.0,0.0,0.0,0.13108970399480313
20,20,3.330647202092223,0.0023145730374380946,1.0570010129595175,2.2666040220065042,0.0019420660100877285,3.4617822349537164
21,21,0.006645544897764921,0.0023988840403035283,0.0,0.0,0.0,3.4684787079459056
22,23,0.010167215019464493,0.004596198094077408,0.0,0.0,0.0,3.4786949770059437
23,22,0.010002061957493424,0.0031532120192423463,0.0,0.0,0.0,3.4887398349819705
24,23,0.008253253996372223,0.0028376439586281776,0.0,0.0,0.0,3.497032926999964
25,18,0.006301447981968522,0.0025346119655296206,0.0,0.0,0.0,3.5033695549936965
26,14,0.005280288984067738,0.002407544059678912,0.0,0.0,0.0,3.5086848048958927
27,17,0.006423481972888112,0.002370376023463905,0.0,0.0,0.0,3.5151430539553985
