opponent,episode,p0,p1,p2,p3
single_only,10000,0.726,0.2155,0.0455,0.013
max_combo,10000,0.3625,0.3055,0.199,0.133
random2,10000,0.753,0.191,0.043,0.013
single_only,20000,0.5425,0.355,0.0845,0.018
max_combo,20000,0.336,0.3425,0.1905,0.131
random2,20000,0.743,0.2015,0.042,0.0135
single_only,30000,0.745,0.216,0.0345,0.0045
max_combo,30000,0.3905,0.309,0.194,0.1065
random2,30000,0.7825,0.178,0.0315,0.008
single_only,40000,0.761,0.189,0.042,0.008
max_combo,40000,0.4045,0.315,0.1675,0.113
random2,40000,0.792,0.1685,0.03,0.0095
single_only,50000,0.7265,0.1925,0.068,0.013
max_combo,50000,0.426,0.282,0.171,0.121
random2,50000,0.7935,0.1565,0.0345,0.0155
single_only,60000,0.8015,0.1565,0.0295,0.0125
max_combo,60000,0.4375,0.276,0.1565,0.13
random2,60000,0.7955,0.152,0.0355,0.017
single_only,70000,0.588,0.309,0.0805,0.0225
max_combo,70000,0.414,0.3075,0.17,0.1085
random2,70000,0.789,0.164,0.0385,0.0085
single_only,80000,0.8,0.1685,0.0255,0.006
max_combo,80000,0.458,0.265,0.1615,0.1155
random2,80000,0.8065,0.152,0.0315,0.01
single_only,90000,0.7705,0.194,0.0305,0.005
max_combo,90000,0.443,0.3105,0.163,0.0835
random2,90000,0.805,0.159,0.0285,0.0075
single_only,100000,0.7235,0.203,0.0585,0.015
max_combo,100000,0.4215,0.2965,0.165,0.117
random2,100000,0.807,0.1455,0.0355,0.012
single_only,110000,0.8185,0.1475,0.03,0.004
max_combo,110000,0.456,0.293,0.1595,0.0915
random2,110000,0.8285,0.13,0.0285,0.013
single_only,120000,0.8065,0.161,0.026,0.0065
max_combo,120000,0.43,0.3205,0.16,0.0895
random2,120000,0.8065,0.15,0.0325,0.011
single_only,130000,0.774,0.156,0.0555,0.0145
max_combo,130000,0.4395,0.293,0.1715,0.096
random2,130000,0.8055,0.157,0.0265,0.011
single_only,140000,0.6965,0.2585,0.041,0.004
max_combo,140000,0.4315,0.3235,0.167,0.078
random2,140000,0.7965,0.17,0.028,0.0055
single_only,150000,0.776,0.197,0.02,0.007
max_combo,150000,0.446,0.3195,0.1495,0.085
random2,150000,0.817,0.1555,0.021,0.0065
single_only,160000,0.6625,0.2865,0.043,0.008
max_combo,160000,0.4315,0.344,0.157,0.0675
random2,160000,0.805,0.1745,0.018,0.0025
single_only,170000,0.8055,0.1495,0.0365,0.0085
max_combo,170000,0.446,0.291,0.158,0.105
random2,170000,0.837,0.1215,0.0325,0.009
single_only,180000,0.795,0.1715,0.031,0.0025
max_combo,180000,0.4535,0.314,0.1605,0.072
random2,180000,0.8405,0.1365,0.0175,0.0055
