episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
1,17,0.012834921013563871,0.006344759953208268,0.0,0.0,0.0,0.012841882999055088
2,16,0.005236904951743782,0.002782142022624612,0.0,0.0,0.0,0.018142163986340165
3,20,0.00830699794460088,0.003308925894089043,0.0,0.0,0.0,0.026506141992285848
4,18,0.006259458954446018,0.0027911399956792593,0.0,0.0,0.0,0.03282557800412178
5,17,0.007257731049321592,0.0028496059821918607,0.0,0.0,0.0,0.040140300989151
6,18,0.007297820062376559,0.0029367529787123203,0.0,0.0,0.0,0.047505559981800616
7,17,0.005805941065773368,0.0025059460895136,0.0,0.0,0.0,0.053368684952147305
8,22,0.007712678983807564,0.003150532953441143,0.0,0.0,0.0,0.06113436899613589
9,25,0.008625054033473134,0.0029934439808130264,0.0,0.0,0.0,0.06982704694382846
10,13,0.005574629991315305,0.0026812358992174268,0.0,0.0,0.0,0.07545994699466974
11,24,0.006681155995465815,0.0024683860829100013,0.0,0.0,0.0,0.08221322391182184
12,23,0.007631000014953315,0.002456003916449845,0.0,0.0,0.0,0.0899000329663977
13,18,0.004099278012290597,0.0023979450343176723,0.0,0.0,0.0,0.09405934100504965
14,21,0.00679819006472826,0.0021661189384758472,0.0,0.0,0.0,0.10090918198693544
15,20,0.005147791001945734,0.0023804049706086516,0.0,0.0,0.0,0.10611727298237383
16,19,0.004136734991334379,0.0023505830904468894,0.0,0.0,0.0,0.11031651694793254
17,16,0.004748508101329207,0.0019949430134147406,0.0,0.0,0.0,0.115121143986471
18,24,0.006443492951802909,0.0020216910634189844,0.0,0.0,0.0,0.1216091678943485
19,16,0.005453599966131151,0.002368966001085937,0.0,0.0,0.0,0.12710928497835994
20,19,5.186983083025552,0.0020166939357295632,2.757027576910332,2.421647583018057,0.0026552689960226417,5.314148604986258
21,21,0.059336201986297965,0.055425805039703846,0.0,0.0,0.0,5.373536511906423
22,15,0.0071495159063488245,0.0028502990026026964,0.0,0.0,0.0,5.380750304902904
23,20,0.006374955992214382,0.002561997971497476,0.0,0.0,0.0,5.387187996995635
24,21,0.008262600982561707,0.003078832058236003,0.0,0.0,0.0,5.395501098944806
25,15,0.005269697052426636,0.002489655977115035,0.0,0.0,0.0,5.400823061005212
26,25,0.007509940071031451,0.0025471820263192058,0.0,0.0,0.0,5.408382304944098
27,24,0.007926193065941334,0.002503705909475684,0.0,0.0,0.0,5.416359523893334
28,26,0.007775614038109779,0.0024282759986817837,0.0,0.0,0.0,5.424183636903763
29,24,0.007811065996065736,0.0024214290315285325,0.0,0.0,0.0,5.432042773929425
30,24,0.0067703890381380916,0.0023938450030982494,0.0,0.0,0.0,5.438860391965136
31,19,0.00504181208088994,0.0023583590518683195,0.0,0.0,0.0,5.443951812922023
32,28,0.005920211086049676,0.002393385977484286,0.0,0.0,0.0,5.449921010993421
33,25,0.006816928973421454,0.0024280468933284283,0.0,0.0,0.0,5.456787484930828
34,21,0.007113954983651638,0.002363226958550513,0.0,0.0,0.0,5.463949869968928
35,17,0.006246027071028948,0.002483182935975492,0.0,0.0,0.0,5.470256995991804
36,19,0.005192648968659341,0.0024686090182513,0.0,0.0,0.0,5.475499238935299
37,15,0.003943891962990165,0.0023901000386103988,0.0,0.0,0.0,5.479489789926447
38,18,0.0067260629730299115,0.002515785046853125,0.0,0.0,0.0,5.486261249985546
39,22,0.007214731071144342,0.00244964100420475,0.0,0.0,0.0,5.493524232995696
