episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon_p0
1,111.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
2,104.0,1.0,0.0,0.0,1.5,0.0,0.0,1.0
3,115.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
4,133.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
5,114.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9952107848947318
6,109.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9865887180738979
7,114.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9780413490330633
8,105.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9695680306236436
9,107.0,2.0,0.0,0.0,1.5,0.0,0.0,0.962033691903255
10,105.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9531269231661361
11,131.0,2.0,0.0,0.0,1.5,0.0,0.0,0.944019324923992
12,103.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9355600060820768
13,102.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9268983379055863
14,115.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9194196690168318
15,96.0,1.0,0.0,0.0,1.5,0.0,0.0,0.912001341684492
16,104.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9076335710828719
17,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8989606842767308
18,111.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8930461958275532
19,108.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8874368513409019
20,125.0,2.0,0.0,0.0,1.5,0.0,0.0,0.879748490294512
21,120.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8723884543498597
22,97.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8645710168308287
23,126.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8568236310520051
24,119.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8504205349360908
25,104.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8433058586686669
26,124.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8367526805693326
27,99.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8300013509101429
28,95.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8247879996597896
29,117.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8186243078034035
30,126.0,1.0,0.0,0.0,1.5,0.0,0.0,0.81080194844547
31,120.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8030543355925469
32,128.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7944267275185891
33,117.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7884899273312422
34,108.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7840076490009072
35,85.0,1.0,0.0,0.0,1.5,0.0,0.0,0.7786158106442449
36,129.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7697886765429481
37,106.0,3.0,0.0,0.0,1.5,0.0,0.0,0.765412708018551
38,111.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7594648235783098
39,120.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7528851556764415
40,110.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7472587982309514
41,123.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7416744869034723
42,113.0,1.0,0.0,0.0,1.5,0.0,0.0,0.7350283719395274
43,116.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7290978037285655
44,121.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7243008858945638
45,122.0,1.0,0.0,0.0,1.5,0.0,0.0,0.7175951119273443
46,109.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7120188094229414
47,122.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7056384377808309
48,97.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7018376913289522
49,124.0,0.0,0.0,0.0,1.5,0.0,0.0,0.6949227463549955
50,104.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6897295455878983
51,104.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6847805881085326
52,109.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6800711618094823
53,111.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6743816400301795
54,117.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6685390952634455
55,125.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6625483435745705
56,99.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6568083172635245
57,112.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6509226846000178
58,113.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6454770209714934
59,123.0,0.0,0.0,0.0,1.5,0.0,0.0,0.638925641445977
60,97.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6368203466664241
61,83.0,1.0,0.0,0.0,1.5,0.0,0.0,0.632630545432135
62,122.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6273379150889934
63,106.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6224629850220618
64,117.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6178112805437415
65,105.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6144835932938211
66,104.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6104407511781288
67,105.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6058788895986745
68,123.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6009903625437731
69,99.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5966781277428083
70,144.0,3.0,0.0,0.0,1.5,0.0,0.0,0.591153919870433
71,88.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5874408017846272
72,111.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5821767686108924
73,107.0,3.0,0.0,0.0,1.5,0.0,0.0,0.577826125525464
74,118.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5743690318362245
75,103.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5699057134308391
76,98.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5670061594857838
77,114.0,3.0,0.0,0.0,1.5,0.0,0.0,0.562431276619708
78,122.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5572241353797128
79,109.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5515684936247894
80,115.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5461340950025648
81,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5409155141370724
82,103.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5373566949180554
83,100.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5328611321142218
84,101.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5291964981089678
85,117.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5239825224133839
86,104.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5189756107586444
87,132.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5135540664985572
88,98.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5109412172422287
89,119.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5060589216959689
90,106.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5022771119996643
91,103.0,3.0,0.0,0.0,1.5,0.0,0.0,0.4995717208969684
92,108.0,2.0,0.0,0.0,1.5,0.0,0.0,0.4958383904544261
93,106.0,3.0,0.0,0.0,1.5,0.0,0.0,0.49287182370571114
94,107.0,0.0,0.0,0.0,1.5,0.0,0.0,0.4884552193048865
95,114.0,1.0,0.0,0.0,1.5,0.0,0.0,0.4840781919167763
96,106.0,3.0,0.0,0.0,1.5,0.0,0.0,0.48118198562141007
97,116.0,3.0,0.0,0.0,1.5,0.0,0.0,0.477729401631192
98,111.0,1.0,0.0,0.0,1.5,0.0,0.0,0.47344848785977006
99,113.0,0.0,0.0,0.0,1.5,0.0,0.0,0.46892445385026593
100,118.0,0.0,0.0,0.0,1.5,0.0,0.0,0.4637474016189933
101,109.0,0.0,0.0,0.0,1.5,0.0,0.0,0.4593160662772596
102,115.0,2.0,0.0,0.0,1.5,0.0,0.0,0.45574680376679555
103,107.0,1.0,0.0,0.0,1.5,0.0,0.0,0.45166287516230713
