opponent,episode,p0,p1,p2,p3
single_only,500,0.4355,0.1325,0.241,0.191
max_combo,500,0.2385,0.154,0.2425,0.365
random2,500,0.2295,0.23,0.275,0.2655
v_table,500,0.167,0.119,0.1925,0.5215
single_only,1000,0.431,0.147,0.2095,0.2125
max_combo,1000,0.246,0.202,0.2375,0.3145
random2,1000,0.276,0.2655,0.247,0.2115
v_table,1000,0.179,0.182,0.1935,0.4455
single_only,1500,0.611,0.097,0.165,0.127
max_combo,1500,0.319,0.2025,0.212,0.2665
random2,1500,0.359,0.253,0.224,0.164
v_table,1500,0.2405,0.171,0.193,0.3955
single_only,2000,0.579,0.1265,0.177,0.1175
max_combo,2000,0.354,0.21,0.2225,0.2135
random2,2000,0.3775,0.239,0.2225,0.161
v_table,2000,0.2505,0.18,0.1985,0.371
single_only,2500,0.617,0.128,0.1575,0.0975
max_combo,2500,0.3535,0.23,0.209,0.2075
random2,2500,0.375,0.264,0.225,0.136
v_table,2500,0.2185,0.208,0.19,0.3835
single_only,3000,0.643,0.1185,0.16,0.0785
max_combo,3000,0.331,0.2325,0.2365,0.2
random2,3000,0.378,0.275,0.2155,0.1315
v_table,3000,0.245,0.2215,0.1995,0.334
single_only,3500,0.637,0.106,0.1515,0.1055
max_combo,3500,0.333,0.2395,0.232,0.1955
random2,3500,0.384,0.2845,0.209,0.1225
v_table,3500,0.233,0.21,0.1935,0.3635
single_only,4000,0.6365,0.1065,0.175,0.082
max_combo,4000,0.3425,0.2535,0.225,0.179
random2,4000,0.4185,0.2615,0.2245,0.0955
v_table,4000,0.2405,0.2345,0.208,0.317
single_only,4500,0.644,0.118,0.15,0.088
max_combo,4500,0.361,0.2465,0.211,0.1815
random2,4500,0.4015,0.2875,0.2095,0.1015
v_table,4500,0.217,0.234,0.2285,0.3205
single_only,5000,0.642,0.1235,0.15,0.0845
max_combo,5000,0.3745,0.2315,0.2115,0.1825
random2,5000,0.3965,0.288,0.2055,0.11
v_table,5000,0.248,0.2235,0.234,0.2945
single_only,5500,0.6325,0.14,0.152,0.0755
max_combo,5500,0.337,0.2645,0.232,0.1665
random2,5500,0.405,0.306,0.197,0.092
v_table,5500,0.2295,0.2485,0.2125,0.3095
single_only,6000,0.639,0.1335,0.148,0.0795
max_combo,6000,0.3825,0.246,0.21,0.1615
random2,6000,0.405,0.3,0.1915,0.1035
v_table,6000,0.2395,0.249,0.208,0.3035
single_only,6500,0.641,0.117,0.1625,0.0795
max_combo,6500,0.385,0.2335,0.2165,0.165
random2,6500,0.415,0.275,0.2035,0.1065
v_table,6500,0.229,0.23,0.2225,0.3185
single_only,7000,0.6475,0.1235,0.1495,0.0795
max_combo,7000,0.369,0.2535,0.225,0.1525
random2,7000,0.4195,0.2765,0.1965,0.1075
v_table,7000,0.24,0.226,0.218,0.316
single_only,7500,0.6485,0.1115,0.1535,0.0865
max_combo,7500,0.3765,0.2415,0.2245,0.1575
random2,7500,0.428,0.282,0.193,0.097
v_table,7500,0.252,0.23,0.21,0.308
single_only,8000,0.638,0.1305,0.1495,0.082
max_combo,8000,0.3665,0.249,0.215,0.1695
random2,8000,0.431,0.2695,0.208,0.0915
v_table,8000,0.222,0.2175,0.2505,0.31
single_only,8500,0.638,0.1135,0.1625,0.086
max_combo,8500,0.377,0.244,0.2145,0.1645
random2,8500,0.4195,0.282,0.1965,0.102
v_table,8500,0.2465,0.2215,0.225,0.307
single_only,9000,0.642,0.124,0.155,0.079
max_combo,9000,0.348,0.2625,0.217,0.1725
random2,9000,0.4325,0.2825,0.2005,0.0845
v_table,9000,0.2625,0.211,0.2025,0.324
single_only,9500,0.632,0.126,0.1685,0.0735
max_combo,9500,0.38,0.232,0.218,0.17
random2,9500,0.4455,0.275,0.1905,0.089
v_table,9500,0.2535,0.2315,0.2175,0.2975
single_only,10000,0.641,0.133,0.144,0.082
max_combo,10000,0.391,0.2325,0.204,0.1725
random2,10000,0.4415,0.2795,0.194,0.085
v_table,10000,0.2525,0.235,0.2255,0.287
single_only,10500,0.6315,0.138,0.151,0.0795
max_combo,10500,0.355,0.246,0.2245,0.1745
random2,10500,0.42,0.2965,0.1865,0.097
v_table,10500,0.2615,0.2315,0.2065,0.3005
single_only,11000,0.619,0.124,0.176,0.081
max_combo,11000,0.389,0.2375,0.1985,0.175
random2,11000,0.412,0.2785,0.201,0.1085
v_table,11000,0.2435,0.2255,0.2175,0.3135
single_only,11500,0.6405,0.119,0.1615,0.079
max_combo,11500,0.3725,0.241,0.216,0.1705
random2,11500,0.4245,0.294,0.1855,0.096
v_table,11500,0.251,0.2305,0.219,0.2995
single_only,12000,0.622,0.1385,0.1565,0.083
max_combo,12000,0.362,0.254,0.218,0.166
random2,12000,0.4435,0.2935,0.174,0.089
v_table,12000,0.2575,0.2325,0.219,0.291
single_only,12500,0.622,0.135,0.1665,0.0765
max_combo,12500,0.364,0.2525,0.2215,0.162
random2,12500,0.448,0.2895,0.1855,0.077
v_table,12500,0.2425,0.231,0.226,0.3005
single_only,13000,0.63,0.123,0.1635,0.0835
max_combo,13000,0.3535,0.236,0.2225,0.188
random2,13000,0.4095,0.31,0.187,0.0935
v_table,13000,0.2335,0.217,0.25,0.2995
single_only,13500,0.6205,0.144,0.151,0.0845
max_combo,13500,0.373,0.2445,0.2145,0.168
random2,13500,0.406,0.307,0.198,0.089
v_table,13500,0.225,0.2315,0.235,0.3085
single_only,14000,0.6605,0.1225,0.143,0.074
max_combo,14000,0.372,0.251,0.2105,0.1665
random2,14000,0.439,0.279,0.1935,0.0885
v_table,14000,0.2555,0.2175,0.223,0.304
single_only,14500,0.6425,0.126,0.156,0.0755
max_combo,14500,0.3885,0.2345,0.2185,0.1585
random2,14500,0.4255,0.289,0.1925,0.093
v_table,14500,0.2375,0.2275,0.2415,0.2935
single_only,15000,0.619,0.1335,0.16,0.0875
max_combo,15000,0.3595,0.2655,0.2165,0.1585
random2,15000,0.4445,0.2875,0.172,0.096
v_table,15000,0.2475,0.23,0.2265,0.296
single_only,15500,0.6505,0.1305,0.148,0.071
max_combo,15500,0.378,0.235,0.223,0.164
random2,15500,0.451,0.28,0.1845,0.0845
v_table,15500,0.245,0.22,0.236,0.299
single_only,16000,0.636,0.1415,0.155,0.0675
max_combo,16000,0.359,0.255,0.218,0.168
random2,16000,0.409,0.282,0.2015,0.1075
v_table,16000,0.229,0.2335,0.231,0.3065
single_only,16500,0.6205,0.132,0.1715,0.076
max_combo,16500,0.372,0.246,0.2275,0.1545
random2,16500,0.4405,0.27,0.198,0.0915
v_table,16500,0.245,0.2255,0.223,0.3065
single_only,17000,0.621,0.1485,0.161,0.0695
max_combo,17000,0.3495,0.263,0.2225,0.165
random2,17000,0.4345,0.268,0.1995,0.098
v_table,17000,0.226,0.2395,0.2285,0.306
single_only,17500,0.6515,0.109,0.1595,0.08
max_combo,17500,0.359,0.265,0.2225,0.1535
random2,17500,0.4285,0.2885,0.1865,0.0965
v_table,17500,0.226,0.25,0.231,0.293
single_only,18000,0.6495,0.123,0.151,0.0765
max_combo,18000,0.3545,0.247,0.2245,0.174
random2,18000,0.427,0.2905,0.198,0.0845
v_table,18000,0.2425,0.226,0.2315,0.3
single_only,18500,0.619,0.139,0.155,0.087
max_combo,18500,0.3725,0.255,0.2095,0.163
random2,18500,0.424,0.278,0.2005,0.0975
v_table,18500,0.226,0.233,0.224,0.317
single_only,19000,0.613,0.138,0.1715,0.0775
max_combo,19000,0.3675,0.2335,0.224,0.175
random2,19000,0.432,0.284,0.1935,0.0905
v_table,19000,0.2545,0.239,0.2285,0.278
single_only,19500,0.6445,0.1445,0.133,0.078
max_combo,19500,0.376,0.2545,0.211,0.1585
random2,19500,0.3935,0.311,0.189,0.1065
v_table,19500,0.239,0.206,0.2525,0.3025
single_only,20000,0.633,0.1375,0.1575,0.072
max_combo,20000,0.366,0.2375,0.2195,0.177
random2,20000,0.4325,0.2845,0.187,0.096
v_table,20000,0.2455,0.224,0.2195,0.311
