opponent,episode,p0,p1,p2,p3
single_only,500,0.339,0.284,0.21,0.167
max_combo,500,0.0705,0.143,0.2495,0.537
random2,500,0.3575,0.2965,0.215,0.131
single_only,1000,0.728,0.1,0.0765,0.0955
max_combo,1000,0.1385,0.1505,0.236,0.475
random2,1000,0.4405,0.2515,0.1675,0.1405
single_only,1500,0.738,0.0915,0.081,0.0895
max_combo,1500,0.114,0.158,0.2525,0.4755
random2,1500,0.419,0.262,0.181,0.138
single_only,2000,0.838,0.0725,0.056,0.0335
max_combo,2000,0.106,0.1535,0.231,0.5095
random2,2000,0.403,0.2715,0.1765,0.149
single_only,2500,0.862,0.064,0.0415,0.0325
max_combo,2500,0.12,0.1625,0.246,0.4715
random2,2500,0.4445,0.271,0.1825,0.102
single_only,3000,0.845,0.074,0.054,0.027
max_combo,3000,0.1315,0.159,0.247,0.4625
random2,3000,0.4385,0.266,0.1745,0.121
single_only,3500,0.8255,0.076,0.0595,0.039
max_combo,3500,0.1105,0.139,0.2635,0.487
random2,3500,0.4315,0.2745,0.1615,0.1325
single_only,4000,0.8365,0.078,0.0575,0.028
max_combo,4000,0.1225,0.1475,0.257,0.473
random2,4000,0.4345,0.2625,0.1805,0.1225
single_only,4500,0.868,0.059,0.0495,0.0235
max_combo,4500,0.1245,0.159,0.252,0.4645
random2,4500,0.4595,0.263,0.168,0.1095
single_only,5000,0.8885,0.0565,0.0325,0.0225
max_combo,5000,0.1145,0.162,0.2645,0.459
random2,5000,0.4095,0.267,0.189,0.1345
single_only,5500,0.8735,0.0585,0.0445,0.0235
max_combo,5500,0.1535,0.1805,0.249,0.417
random2,5500,0.482,0.249,0.1575,0.1115
single_only,6000,0.8735,0.06,0.043,0.0235
max_combo,6000,0.1395,0.172,0.247,0.4415
random2,6000,0.475,0.26,0.171,0.094
single_only,6500,0.883,0.0555,0.039,0.0225
max_combo,6500,0.142,0.1755,0.265,0.4175
random2,6500,0.4565,0.2765,0.1675,0.0995
single_only,7000,0.888,0.052,0.0365,0.0235
max_combo,7000,0.1585,0.158,0.2345,0.449
random2,7000,0.443,0.2885,0.1555,0.113
single_only,7500,0.8595,0.064,0.05,0.0265
max_combo,7500,0.144,0.167,0.251,0.438
random2,7500,0.47,0.2545,0.169,0.1065
single_only,8000,0.8875,0.0555,0.037,0.02
max_combo,8000,0.1555,0.162,0.263,0.4195
random2,8000,0.4435,0.2725,0.168,0.116
single_only,8500,0.876,0.057,0.0425,0.0245
max_combo,8500,0.126,0.165,0.26,0.449
random2,8500,0.4455,0.279,0.1625,0.113
single_only,9000,0.8835,0.056,0.036,0.0245
max_combo,9000,0.1315,0.164,0.2605,0.444
random2,9000,0.443,0.267,0.186,0.104
single_only,9500,0.8935,0.043,0.0355,0.028
max_combo,9500,0.148,0.1715,0.252,0.4285
random2,9500,0.4675,0.269,0.159,0.1045
single_only,10000,0.9215,0.0355,0.026,0.017
max_combo,10000,0.1515,0.18,0.2605,0.408
random2,10000,0.448,0.297,0.146,0.109
single_only,10500,0.8335,0.067,0.0455,0.054
max_combo,10500,0.1485,0.155,0.243,0.4535
random2,10500,0.436,0.2775,0.182,0.1045
single_only,11000,0.8755,0.0575,0.04,0.027
max_combo,11000,0.1495,0.175,0.2355,0.44
random2,11000,0.4665,0.2735,0.157,0.103
single_only,11500,0.8905,0.0485,0.0355,0.0255
max_combo,11500,0.162,0.1735,0.2615,0.403
random2,11500,0.4675,0.2595,0.1825,0.0905
single_only,12000,0.859,0.056,0.0445,0.0405
max_combo,12000,0.1515,0.1745,0.251,0.423
random2,12000,0.44,0.2875,0.165,0.1075
single_only,12500,0.854,0.0655,0.047,0.0335
max_combo,12500,0.1405,0.163,0.2615,0.435
random2,12500,0.4535,0.265,0.169,0.1125
single_only,13000,0.869,0.063,0.043,0.025
max_combo,13000,0.1375,0.174,0.242,0.4465
random2,13000,0.443,0.27,0.179,0.108
single_only,13500,0.89,0.0445,0.039,0.0265
max_combo,13500,0.159,0.171,0.2485,0.4215
random2,13500,0.4445,0.2735,0.166,0.116
single_only,14000,0.875,0.0575,0.0415,0.026
max_combo,14000,0.152,0.1795,0.2555,0.413
random2,14000,0.4605,0.2695,0.1775,0.0925
single_only,14500,0.8825,0.067,0.033,0.0175
max_combo,14500,0.1595,0.2085,0.257,0.375
random2,14500,0.481,0.268,0.153,0.098
single_only,15000,0.9125,0.046,0.025,0.0165
max_combo,15000,0.174,0.184,0.2525,0.3895
random2,15000,0.4995,0.2605,0.1495,0.0905
single_only,15500,0.9085,0.043,0.0325,0.016
max_combo,15500,0.179,0.2015,0.256,0.3635
random2,15500,0.487,0.284,0.1495,0.0795
single_only,16000,0.887,0.058,0.0335,0.0215
max_combo,16000,0.168,0.1985,0.261,0.3725
random2,16000,0.4765,0.286,0.151,0.0865
single_only,16500,0.8765,0.0595,0.0465,0.0175
max_combo,16500,0.1765,0.2055,0.254,0.364
random2,16500,0.5075,0.262,0.1365,0.094
single_only,17000,0.8845,0.066,0.032,0.0175
max_combo,17000,0.1625,0.1965,0.2475,0.3935
random2,17000,0.497,0.272,0.15,0.081
single_only,17500,0.8835,0.0575,0.039,0.02
max_combo,17500,0.1695,0.167,0.2535,0.41
random2,17500,0.4875,0.2615,0.159,0.092
single_only,18000,0.878,0.056,0.036,0.03
max_combo,18000,0.171,0.1805,0.2565,0.392
random2,18000,0.504,0.237,0.1655,0.0935
single_only,18500,0.8735,0.069,0.035,0.0225
max_combo,18500,0.18,0.1805,0.255,0.3845
random2,18500,0.49,0.265,0.154,0.091
single_only,19000,0.906,0.05,0.0315,0.0125
max_combo,19000,0.173,0.189,0.258,0.38
random2,19000,0.504,0.2505,0.142,0.1035
single_only,19500,0.9035,0.0495,0.0305,0.0165
max_combo,19500,0.1755,0.1775,0.275,0.372
random2,19500,0.52,0.2615,0.15,0.0685
