opponent,episode,p0,p1,p2,p3
single_only,1000,0.628,0.204,0.114,0.054
max_combo,1000,0.132,0.194,0.302,0.372
random2,1000,0.536,0.244,0.142,0.078
single_only,2000,0.76,0.142,0.066,0.032
max_combo,2000,0.196,0.22,0.25,0.334
random2,2000,0.58,0.252,0.124,0.044
single_only,3000,0.89,0.072,0.024,0.014
max_combo,3000,0.246,0.234,0.248,0.272
random2,3000,0.672,0.194,0.098,0.036
single_only,4000,0.896,0.062,0.026,0.016
max_combo,4000,0.25,0.242,0.26,0.248
random2,4000,0.682,0.21,0.068,0.04
single_only,5000,0.858,0.1,0.026,0.016
max_combo,5000,0.246,0.22,0.29,0.244
random2,5000,0.672,0.218,0.074,0.036
single_only,6000,0.826,0.138,0.028,0.008
max_combo,6000,0.292,0.256,0.246,0.206
random2,6000,0.702,0.22,0.052,0.026
single_only,7000,0.79,0.154,0.044,0.012
max_combo,7000,0.312,0.284,0.25,0.154
random2,7000,0.746,0.18,0.06,0.014
single_only,8000,0.616,0.32,0.054,0.01
max_combo,8000,0.274,0.36,0.244,0.122
random2,8000,0.774,0.186,0.034,0.006
single_only,9000,0.872,0.072,0.036,0.02
max_combo,9000,0.312,0.272,0.204,0.212
random2,9000,0.702,0.19,0.064,0.044
single_only,10000,0.774,0.188,0.032,0.006
max_combo,10000,0.342,0.324,0.206,0.128
random2,10000,0.716,0.228,0.046,0.01
