[2025-09-09 22:59:11] New Training (k1a1)
[2025-09-09 22:59:11] Deck_Size: 64
[2025-09-09 22:59:11] Episodes: 20000
[2025-09-09 22:59:11] Path: /home/wasterix/Multiagent/OpenSpiel_neu/open_spiel/President/models/k1a1/model_17
[2025-09-09 22:59:17] [Population] Episode 62: Lineup -> ['single_only', 'max_combo', 'random2']
[2025-09-09 22:59:17] [Population] Episode 63: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:17] [Population] Episode 64: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:17] [Population] Episode 65: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:17] [Population] Episode 66: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:17] [Population] Episode 67: Lineup -> ['random2', 'single_only', 'max_combo']
[2025-09-09 22:59:17] [Population] Episode 68: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:17] [Population] Episode 69: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:17] [Population] Episode 70: Lineup -> ['random2', 'single_only', 'max_combo']
[2025-09-09 22:59:17] [Population] Episode 71: Lineup -> ['random2', 'random2', 'random2']
[2025-09-09 22:59:17] [Population] Episode 72: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:17] [Population] Episode 73: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:17] [Population] Episode 74: Lineup -> ['single_only', 'random2', 'max_combo']
[2025-09-09 22:59:17] [Population] Episode 75: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:17] [Population] Episode 76: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:17] [Population] Episode 77: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:17] [Population] Episode 78: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:17] [Population] Episode 79: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 80: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 81: Lineup -> ['single_only', 'single_only', 'random2']
[2025-09-09 22:59:18] [Population] Episode 82: Lineup -> ['single_only', 'single_only', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 83: Lineup -> ['single_only', 'single_only', 'random2']
[2025-09-09 22:59:18] [Population] Episode 84: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 85: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 86: Lineup -> ['max_combo', 'single_only', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 87: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 88: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 89: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 90: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 91: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 92: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:18] [Population] Episode 93: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 94: Lineup -> ['max_combo', 'max_combo', 'single_only']
