opponent,episode,p0,p1,p2,p3
single_only,500,0.4275,0.147,0.2295,0.196
max_combo,500,0.219,0.2055,0.2425,0.333
random2,500,0.22,0.257,0.272,0.251
v_table,500,0.151,0.135,0.2035,0.5105
single_only,1000,0.4165,0.1495,0.2485,0.1855
max_combo,1000,0.2925,0.2125,0.207,0.288
random2,1000,0.3175,0.262,0.2185,0.202
v_table,1000,0.214,0.1815,0.1975,0.407
single_only,1500,0.5865,0.0955,0.1775,0.1405
max_combo,1500,0.3555,0.204,0.21,0.2305
random2,1500,0.3915,0.2295,0.2065,0.1725
v_table,1500,0.2535,0.1925,0.179,0.375
single_only,2000,0.536,0.124,0.2125,0.1275
max_combo,2000,0.33,0.2235,0.222,0.2245
random2,2000,0.4005,0.2505,0.2135,0.1355
v_table,2000,0.229,0.218,0.179,0.374
single_only,2500,0.6115,0.121,0.1755,0.092
max_combo,2500,0.375,0.234,0.202,0.189
random2,2500,0.412,0.279,0.1965,0.1125
v_table,2500,0.237,0.1975,0.218,0.3475
single_only,3000,0.6235,0.135,0.1535,0.088
max_combo,3000,0.354,0.2445,0.194,0.2075
random2,3000,0.409,0.2725,0.1945,0.124
v_table,3000,0.26,0.227,0.1975,0.3155
single_only,3500,0.6605,0.106,0.147,0.0865
max_combo,3500,0.3615,0.253,0.1905,0.195
random2,3500,0.4235,0.2835,0.1895,0.1035
v_table,3500,0.2615,0.233,0.193,0.3125
single_only,4000,0.6415,0.1245,0.16,0.074
max_combo,4000,0.37,0.2425,0.208,0.1795
random2,4000,0.431,0.281,0.1955,0.0925
v_table,4000,0.249,0.2365,0.1965,0.318
single_only,4500,0.6515,0.121,0.1525,0.075
max_combo,4500,0.385,0.249,0.19,0.176
random2,4500,0.4095,0.3135,0.186,0.091
v_table,4500,0.249,0.2245,0.2015,0.325
single_only,5000,0.6425,0.1385,0.154,0.065
max_combo,5000,0.3775,0.2365,0.212,0.174
random2,5000,0.403,0.284,0.2065,0.1065
v_table,5000,0.2425,0.225,0.2015,0.331
single_only,5500,0.6325,0.143,0.162,0.0625
max_combo,5500,0.3735,0.2355,0.218,0.173
random2,5500,0.4475,0.2775,0.193,0.082
v_table,5500,0.228,0.23,0.215,0.327
single_only,6000,0.5975,0.1555,0.181,0.066
max_combo,6000,0.343,0.2495,0.2315,0.176
random2,6000,0.4215,0.3095,0.1815,0.0875
v_table,6000,0.241,0.2365,0.216,0.3065
single_only,6500,0.6155,0.1395,0.1725,0.0725
max_combo,6500,0.3675,0.256,0.203,0.1735
random2,6500,0.428,0.3065,0.191,0.0745
v_table,6500,0.2315,0.243,0.2065,0.319
single_only,7000,0.5655,0.173,0.187,0.0745
max_combo,7000,0.354,0.254,0.2175,0.1745
random2,7000,0.4065,0.2955,0.2005,0.0975
v_table,7000,0.2335,0.2315,0.232,0.303
single_only,7500,0.5975,0.155,0.163,0.0845
max_combo,7500,0.358,0.246,0.235,0.161
random2,7500,0.436,0.3045,0.182,0.0775
v_table,7500,0.231,0.238,0.2275,0.3035
single_only,8000,0.5785,0.1665,0.1785,0.0765
max_combo,8000,0.3545,0.2435,0.2235,0.1785
random2,8000,0.432,0.2945,0.1975,0.076
v_table,8000,0.24,0.2235,0.216,0.3205
single_only,8500,0.6145,0.1325,0.173,0.08
max_combo,8500,0.3735,0.249,0.218,0.1595
random2,8500,0.424,0.2985,0.189,0.0885
v_table,8500,0.246,0.242,0.221,0.291
single_only,9000,0.604,0.1395,0.1635,0.093
max_combo,9000,0.3545,0.2575,0.2265,0.1615
random2,9000,0.4365,0.302,0.185,0.0765
v_table,9000,0.2295,0.2435,0.23,0.297
single_only,9500,0.614,0.147,0.157,0.082
max_combo,9500,0.3575,0.254,0.22,0.1685
random2,9500,0.4215,0.306,0.19,0.0825
v_table,9500,0.241,0.2345,0.2235,0.301
single_only,10000,0.61,0.133,0.176,0.081
max_combo,10000,0.3725,0.257,0.2125,0.158
random2,10000,0.4275,0.2935,0.2005,0.0785
v_table,10000,0.224,0.251,0.231,0.294
single_only,10500,0.611,0.148,0.169,0.072
max_combo,10500,0.3805,0.2335,0.22,0.166
random2,10500,0.4365,0.299,0.186,0.0785
v_table,10500,0.249,0.241,0.2305,0.2795
