opponent,episode,p1,p2,p3,p4
single_only,500,0.376,0.228,0.236,0.16
max_combo,500,0.082,0.126,0.252,0.54
random2,500,0.304,0.252,0.24,0.204
single_only,1000,0.454,0.244,0.208,0.094
max_combo,1000,0.13,0.162,0.252,0.456
random2,1000,0.372,0.328,0.174,0.126
single_only,1500,0.488,0.276,0.146,0.09
max_combo,1500,0.13,0.202,0.274,0.394
random2,1500,0.464,0.276,0.168,0.092
single_only,2000,0.652,0.18,0.124,0.044
max_combo,2000,0.198,0.206,0.264,0.332
random2,2000,0.502,0.298,0.124,0.076
