episode,wall_s,steps,p0_transitions,p1_transitions,p2_transitions,p3_transitions,p0_train_calls,p1_train_calls,p2_train_calls,p3_train_calls,eps_p0,eps_p1,eps_p2,eps_p3
66,0.108964,74,17,16,21,20,17,16,21,20,0.1,0.1,0.1,0.1
67,0.126347,82,19,21,23,19,19,21,23,19,0.1,0.1,0.1,0.1
68,0.113469,79,21,15,23,20,21,15,23,20,0.1,0.1,0.1,0.1
69,0.106232,81,22,16,19,24,22,16,19,24,0.1,0.1,0.1,0.1
70,0.088909,60,16,19,15,10,16,19,15,10,0.1,0.1,0.1,0.1
71,0.123304,75,17,18,23,17,17,18,23,17,0.1,0.1,0.1,0.1
72,0.134894,84,22,17,24,21,22,17,24,21,0.1,0.1,0.1,0.1
73,0.115423,73,15,21,18,19,15,21,18,19,0.1,0.1,0.1,0.1
74,0.127036,83,21,23,19,20,21,23,19,20,0.1,0.1,0.1,0.1
75,0.094075,63,15,10,21,17,15,10,21,17,0.1,0.1,0.1,0.1
76,0.119883,78,17,22,19,20,17,22,19,20,0.1,0.1,0.1,0.1
77,0.091402,66,13,16,18,19,13,16,18,19,0.1,0.1,0.1,0.1
78,0.117589,82,22,19,20,21,22,19,20,21,0.1,0.1,0.1,0.1
79,0.103461,77,20,23,16,18,20,23,16,18,0.1,0.1,0.1,0.1
80,0.100805,77,13,24,23,17,13,24,23,17,0.1,0.1,0.1,0.1
81,0.095677,72,21,14,17,20,21,14,17,20,0.1,0.1,0.1,0.1
82,0.095352,73,16,21,22,14,16,21,22,14,0.1,0.1,0.1,0.1
83,0.100559,76,17,19,23,17,17,19,23,17,0.1,0.1,0.1,0.1
84,0.133744,86,26,18,20,22,26,18,20,22,0.1,0.1,0.1,0.1
85,0.10314,77,19,20,23,15,19,20,23,15,0.1,0.1,0.1,0.1
86,0.114877,85,25,20,26,14,25,20,26,14,0.1,0.1,0.1,0.1
87,0.098464,73,22,13,17,21,22,13,17,21,0.1,0.1,0.1,0.1
88,0.114435,71,17,19,21,14,17,19,21,14,0.1,0.1,0.1,0.1
89,0.114975,75,19,13,23,20,19,13,23,20,0.1,0.1,0.1,0.1
90,0.110851,68,20,21,13,14,20,21,13,14,0.1,0.1,0.1,0.1
91,0.108301,80,23,20,18,19,23,20,18,19,0.1,0.1,0.1,0.1
92,0.099801,75,19,20,22,14,19,20,22,14,0.1,0.1,0.1,0.1
93,0.095925,72,15,19,21,17,15,19,21,17,0.1,0.1,0.1,0.1
94,0.119407,83,23,19,22,19,23,19,22,19,0.1,0.1,0.1,0.1
95,0.095814,72,21,16,19,16,21,16,19,16,0.1,0.1,0.1,0.1
96,0.111079,73,15,21,18,19,15,21,18,19,0.1,0.1,0.1,0.1
97,0.111888,72,16,20,22,14,16,20,22,14,0.1,0.1,0.1,0.1
98,0.112039,83,20,22,23,18,20,22,23,18,0.1,0.1,0.1,0.1
99,0.096073,71,22,10,24,15,22,10,24,15,0.1,0.1,0.1,0.1
100,0.124704,80,16,19,21,24,16,19,21,24,0.1,0.1,0.1,0.1
101,0.114928,83,19,24,20,20,19,24,20,20,0.1,0.1,0.1,0.1
102,0.122614,84,24,22,16,22,24,22,16,22,0.1,0.1,0.1,0.1
103,0.117046,87,24,20,21,22,24,20,21,22,0.1,0.1,0.1,0.1
104,0.094544,69,18,15,16,20,18,15,16,20,0.1,0.1,0.1,0.1
105,0.103803,76,15,23,17,21,15,23,17,21,0.1,0.1,0.1,0.1
106,0.105671,74,11,22,23,18,11,22,23,18,0.1,0.1,0.1,0.1
