episode,reward_mean,reward_std,return_mean,adv_mean_raw,adv_std_raw,policy_loss,value_loss,entropy,approx_kl,clip_frac,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,ep_length
1,0.0,0.0,0.004427277483046055,-0.06144975498318672,0.10199479758739471,-9.760260866187309e-08,0.014179011806845665,0.42621245980262756,0.0,0.0,0.006823570001870394,0.0,0.0,0.0,30.0
2,0.0,0.0,0.00038582913111895323,-0.000864974339492619,0.06381767988204956,-2.6490953430879927e-08,0.00407344289124012,0.35261985659599304,0.0,0.0,0.0023681200109422207,0.0,0.0,0.0,23.0
3,0.0,0.0,-0.01074824295938015,0.05063863471150398,0.041409607976675034,-4.3213368883243675e-08,0.004279030952602625,0.603874146938324,0.0,0.0,0.002142044948413968,0.0,0.0,0.0,25.0
4,0.0,0.0,0.004030377604067326,-0.04379669204354286,0.054030824452638626,-4.7683716530855236e-08,0.004837482236325741,0.24782498180866241,1.1920929132713809e-08,0.0,0.002186718978919089,0.0,0.0,0.0,26.0
5,0.2857142984867096,0.6998541951179504,1.6704609394073486,1.7441425323486328,0.171478733420372,4.896095902040543e-07,3.0714378356933594,0.4026126265525818,0.0,0.0,0.002157132956199348,2.0,0.0,0.0,30.0
6,0.0,0.0,-0.0076014194637537,0.02580089494585991,0.03976227343082428,-1.0837208463954084e-08,0.002246722811833024,0.3719121813774109,0.0,0.0,0.0031726639717817307,0.0,0.0,0.0,29.0
7,0.0,0.0,0.002443985315039754,-0.014662901870906353,0.038487508893013,-2.4835268064293814e-08,0.0016962914960458875,0.22942914068698883,0.0,0.0,0.002165484009310603,0.0,0.0,0.0,24.0
8,0.0,0.0,-0.00600159727036953,0.02981160208582878,0.0486309714615345,5.364417887676609e-08,0.00325370323844254,0.3164944052696228,0.0,0.0,0.0020181071013212204,0.0,0.0,0.0,27.0
9,0.125,0.33071890473365784,0.8060669898986816,0.872721791267395,0.1055295541882515,-4.023313522338867e-07,0.7727798819541931,0.48161983489990234,0.0,0.0,0.002673633978702128,1.0,0.0,0.0,25.0
10,0.0,0.0,0.002949751215055585,-0.021031145006418228,0.030712353065609932,1.1920929132713809e-08,0.001385556417517364,0.2076713591814041,0.0,0.0,0.00212395703420043,0.0,0.0,0.0,31.0
11,0.0,0.0,-0.004569514188915491,0.007754283491522074,0.044118523597717285,-1.7029899268550253e-08,0.0020065726712346077,0.451325923204422,8.514949634275126e-09,0.0,0.0032965349964797497,0.0,0.0,0.0,21.0
12,0.0,0.0,-0.0015478632412850857,-0.011964713223278522,0.04265182092785835,1.1920929132713809e-08,0.001962334383279085,0.3559316098690033,0.0,0.0,0.002446745987981558,0.0,0.0,0.0,30.0
13,0.3333333432674408,0.7453559637069702,1.722238540649414,1.7224470376968384,0.2203761637210846,0.0,3.0153896808624268,0.22362883388996124,0.0,0.0,0.0019825929775834084,2.0,0.0,0.0,27.0
