opponent,episode,p0,p1,p2,p3
single_only,500,0.082,0.2945,0.3665,0.257
max_combo,500,0.0305,0.1085,0.275,0.586
random2,500,0.2165,0.349,0.2735,0.161
single_only,1000,0.624,0.1705,0.115,0.0905
max_combo,1000,0.12,0.1805,0.259,0.4405
random2,1000,0.3805,0.249,0.214,0.1565
single_only,1500,0.687,0.128,0.0965,0.0885
max_combo,1500,0.174,0.221,0.265,0.34
random2,1500,0.5425,0.2165,0.1315,0.1095
single_only,2000,0.726,0.12,0.083,0.071
max_combo,2000,0.166,0.2265,0.264,0.3435
random2,2000,0.5245,0.2485,0.1315,0.0955
single_only,2500,0.8275,0.0705,0.0505,0.0515
max_combo,2500,0.167,0.1915,0.2665,0.375
random2,2500,0.5365,0.2325,0.132,0.099
single_only,3000,0.8735,0.0585,0.04,0.028
max_combo,3000,0.1845,0.191,0.2605,0.364
random2,3000,0.576,0.2335,0.1095,0.081
single_only,3500,0.8545,0.095,0.036,0.0145
max_combo,3500,0.217,0.2575,0.268,0.2575
random2,3500,0.651,0.2145,0.084,0.0505
single_only,4000,0.8485,0.0605,0.0465,0.0445
max_combo,4000,0.2145,0.2255,0.2655,0.2945
random2,4000,0.6285,0.2215,0.081,0.069
single_only,4500,0.792,0.1505,0.0455,0.012
max_combo,4500,0.2025,0.2425,0.2765,0.2785
random2,4500,0.62,0.26,0.0785,0.0415
single_only,5000,0.8185,0.1255,0.0375,0.0185
max_combo,5000,0.218,0.243,0.2705,0.2685
random2,5000,0.642,0.229,0.096,0.033
single_only,5500,0.556,0.3335,0.095,0.0155
max_combo,5500,0.217,0.254,0.272,0.257
random2,5500,0.641,0.2635,0.0755,0.02
single_only,6000,0.657,0.254,0.0785,0.0105
max_combo,6000,0.2265,0.246,0.281,0.2465
random2,6000,0.6465,0.253,0.0745,0.026
single_only,6500,0.4975,0.3605,0.1235,0.0185
max_combo,6500,0.2005,0.2765,0.2975,0.2255
random2,6500,0.6475,0.258,0.077,0.0175
single_only,7000,0.475,0.3805,0.128,0.0165
max_combo,7000,0.2085,0.275,0.2955,0.221
random2,7000,0.6355,0.2885,0.0665,0.0095
single_only,7500,0.657,0.2675,0.0645,0.011
max_combo,7500,0.209,0.2775,0.3055,0.208
random2,7500,0.697,0.2245,0.0635,0.015
single_only,8000,0.532,0.3465,0.1,0.0215
max_combo,8000,0.1685,0.295,0.3115,0.225
random2,8000,0.6505,0.277,0.063,0.0095
single_only,8500,0.4025,0.446,0.1285,0.023
max_combo,8500,0.1465,0.2795,0.3465,0.2275
random2,8500,0.611,0.305,0.0695,0.0145
single_only,9000,0.8695,0.085,0.033,0.0125
max_combo,9000,0.2555,0.266,0.2445,0.234
random2,9000,0.7085,0.197,0.065,0.0295
single_only,9500,0.8185,0.134,0.034,0.0135
max_combo,9500,0.24,0.2875,0.256,0.2165
random2,9500,0.7105,0.2095,0.06,0.02
single_only,10000,0.771,0.1785,0.0435,0.007
max_combo,10000,0.214,0.3045,0.262,0.2195
random2,10000,0.7185,0.223,0.046,0.0125
single_only,10500,0.59,0.284,0.104,0.022
max_combo,10500,0.1915,0.308,0.2935,0.207
random2,10500,0.7165,0.2235,0.053,0.007
single_only,11000,0.7395,0.18,0.0645,0.016
max_combo,11000,0.2625,0.2725,0.2665,0.1985
random2,11000,0.7055,0.208,0.0635,0.023
single_only,11500,0.807,0.1365,0.04,0.0165
max_combo,11500,0.2705,0.2585,0.2505,0.2205
random2,11500,0.684,0.219,0.072,0.025
single_only,12000,0.8135,0.134,0.041,0.0115
max_combo,12000,0.2745,0.2445,0.267,0.214
random2,12000,0.6965,0.2145,0.071,0.018
single_only,12500,0.736,0.1955,0.057,0.0115
max_combo,12500,0.2815,0.2895,0.2425,0.1865
random2,12500,0.7505,0.19,0.0435,0.016
single_only,13000,0.6935,0.2245,0.065,0.017
max_combo,13000,0.2685,0.3085,0.2435,0.1795
random2,13000,0.732,0.209,0.051,0.008
single_only,13500,0.8255,0.1265,0.04,0.008
max_combo,13500,0.286,0.288,0.2515,0.1745
random2,13500,0.7495,0.193,0.0475,0.01
single_only,14000,0.849,0.115,0.03,0.006
max_combo,14000,0.2605,0.262,0.26,0.2175
random2,14000,0.719,0.201,0.058,0.022
single_only,14500,0.5555,0.335,0.0915,0.018
max_combo,14500,0.256,0.3015,0.274,0.1685
random2,14500,0.6955,0.2475,0.043,0.014
single_only,15000,0.654,0.276,0.0635,0.0065
max_combo,15000,0.2445,0.271,0.263,0.2215
random2,15000,0.7,0.218,0.0645,0.0175
single_only,15500,0.7145,0.217,0.0585,0.01
max_combo,15500,0.248,0.2665,0.2635,0.222
random2,15500,0.677,0.2265,0.077,0.0195
single_only,16000,0.705,0.222,0.061,0.012
max_combo,16000,0.2665,0.2525,0.2465,0.2345
random2,16000,0.692,0.22,0.0675,0.0205
single_only,16500,0.723,0.2055,0.0605,0.011
max_combo,16500,0.285,0.276,0.2495,0.1895
random2,16500,0.717,0.208,0.0505,0.0245
single_only,17000,0.6305,0.276,0.076,0.0175
max_combo,17000,0.2615,0.2885,0.2575,0.1925
random2,17000,0.721,0.213,0.0535,0.0125
single_only,17500,0.654,0.2515,0.0835,0.011
max_combo,17500,0.2555,0.288,0.2625,0.194
random2,17500,0.705,0.2335,0.051,0.0105
single_only,18000,0.591,0.2915,0.099,0.0185
max_combo,18000,0.2605,0.299,0.257,0.1835
random2,18000,0.6985,0.2445,0.047,0.01
single_only,18500,0.6575,0.2575,0.0745,0.0105
max_combo,18500,0.263,0.301,0.2515,0.1845
random2,18500,0.7335,0.212,0.0435,0.011
single_only,19000,0.8135,0.1175,0.056,0.013
max_combo,19000,0.2805,0.2615,0.2405,0.2175
random2,19000,0.7085,0.2015,0.0635,0.0265
single_only,19500,0.5445,0.331,0.106,0.0185
max_combo,19500,0.2565,0.286,0.2605,0.197
random2,19500,0.709,0.2195,0.057,0.0145
single_only,20000,0.692,0.216,0.0685,0.0235
max_combo,20000,0.2755,0.284,0.2375,0.203
random2,20000,0.7275,0.2105,0.049,0.013
