opponent,episode,p0,p1,p2,p3
single_only,5000,0.6505,0.1215,0.147,0.081
max_combo,5000,0.373,0.2295,0.2285,0.169
random2,5000,0.397,0.302,0.1925,0.1085
single_only,10000,0.6275,0.1395,0.1555,0.0775
max_combo,10000,0.355,0.2405,0.2355,0.169
random2,10000,0.389,0.3005,0.2085,0.102
single_only,15000,0.62,0.132,0.165,0.083
max_combo,15000,0.3815,0.235,0.2205,0.163
random2,15000,0.408,0.2925,0.2025,0.097
single_only,20000,0.6235,0.127,0.1695,0.08
max_combo,20000,0.3955,0.2445,0.2005,0.1595
random2,20000,0.41,0.292,0.2095,0.0885
single_only,25000,0.6455,0.123,0.148,0.0835
max_combo,25000,0.376,0.2385,0.227,0.1585
random2,25000,0.421,0.2785,0.199,0.1015
single_only,30000,0.6435,0.12,0.1695,0.067
max_combo,30000,0.386,0.2455,0.208,0.1605
random2,30000,0.419,0.279,0.206,0.096
single_only,35000,0.6005,0.1335,0.182,0.084
max_combo,35000,0.3635,0.254,0.208,0.1745
random2,35000,0.419,0.2785,0.205,0.0975
single_only,40000,0.631,0.139,0.148,0.082
max_combo,40000,0.3645,0.2505,0.2135,0.1715
random2,40000,0.3915,0.292,0.2215,0.095
single_only,45000,0.639,0.1245,0.147,0.0895
max_combo,45000,0.3925,0.2225,0.205,0.18
random2,45000,0.4085,0.275,0.2245,0.092
single_only,50000,0.6155,0.137,0.1585,0.089
max_combo,50000,0.403,0.232,0.2115,0.1535
random2,50000,0.4265,0.282,0.192,0.0995
single_only,55000,0.639,0.132,0.152,0.077
max_combo,55000,0.3865,0.2415,0.2185,0.1535
random2,55000,0.4115,0.2795,0.2225,0.0865
single_only,60000,0.614,0.139,0.1725,0.0745
max_combo,60000,0.373,0.2365,0.2225,0.168
random2,60000,0.4135,0.2845,0.2035,0.0985
single_only,65000,0.6295,0.1415,0.1515,0.0775
max_combo,65000,0.397,0.232,0.2025,0.1685
random2,65000,0.412,0.296,0.2,0.092
single_only,70000,0.6135,0.1285,0.1745,0.0835
max_combo,70000,0.378,0.239,0.212,0.171
random2,70000,0.4285,0.2635,0.2095,0.0985
single_only,75000,0.636,0.1345,0.142,0.0875
max_combo,75000,0.3495,0.2585,0.2115,0.1805
random2,75000,0.402,0.288,0.201,0.109
single_only,80000,0.643,0.1375,0.1375,0.082
max_combo,80000,0.382,0.2485,0.2175,0.152
random2,80000,0.4155,0.27,0.2095,0.105
single_only,85000,0.652,0.118,0.145,0.085
max_combo,85000,0.3865,0.2495,0.207,0.157
random2,85000,0.403,0.295,0.198,0.104
single_only,90000,0.628,0.133,0.1605,0.0785
max_combo,90000,0.3865,0.242,0.21,0.1615
random2,90000,0.3965,0.287,0.2215,0.095
single_only,95000,0.637,0.131,0.1665,0.0655
max_combo,95000,0.365,0.2485,0.2275,0.159
random2,95000,0.4365,0.2715,0.199,0.093
single_only,100000,0.641,0.1355,0.1525,0.071
max_combo,100000,0.39,0.253,0.217,0.14
random2,100000,0.4215,0.281,0.199,0.0985
