opponent,episode,p1,p2,p3,p4
single_only,5000,0.545,0.3515,0.09,0.0135
max_combo,5000,0.312,0.281,0.2335,0.1735
random2,5000,0.7165,0.21,0.0555,0.018
single_only,10000,0.4795,0.4115,0.0975,0.0115
max_combo,10000,0.295,0.378,0.2215,0.1055
random2,10000,0.703,0.254,0.037,0.006
