opponent,episode,p0,p1,p2,p3
single_only,5000,0.577,0.1435,0.1775,0.102
max_combo,5000,0.338,0.222,0.2255,0.2145
random2,5000,0.365,0.2755,0.215,0.1445
single_only,10000,0.5745,0.139,0.18,0.1065
max_combo,10000,0.3305,0.227,0.224,0.2185
random2,10000,0.376,0.273,0.222,0.129
single_only,15000,0.615,0.1395,0.1495,0.096
max_combo,15000,0.3545,0.239,0.1905,0.216
random2,15000,0.404,0.281,0.1815,0.1335
single_only,20000,0.609,0.123,0.1695,0.0985
max_combo,20000,0.3745,0.215,0.2195,0.191
random2,20000,0.3845,0.2965,0.1925,0.1265
single_only,25000,0.621,0.137,0.14,0.102
max_combo,25000,0.37,0.226,0.2065,0.1975
random2,25000,0.3895,0.2775,0.1915,0.1415
single_only,30000,0.575,0.1545,0.178,0.0925
max_combo,30000,0.3615,0.228,0.208,0.2025
random2,30000,0.406,0.276,0.191,0.127
single_only,35000,0.5945,0.1255,0.1785,0.1015
max_combo,35000,0.368,0.213,0.2135,0.2055
random2,35000,0.384,0.2865,0.208,0.1215
single_only,40000,0.58,0.1585,0.1715,0.09
max_combo,40000,0.348,0.2275,0.228,0.1965
random2,40000,0.392,0.2955,0.1975,0.115
single_only,45000,0.5925,0.147,0.1705,0.09
max_combo,45000,0.3665,0.2325,0.2155,0.1855
random2,45000,0.376,0.3045,0.203,0.1165
single_only,50000,0.631,0.1155,0.165,0.0885
max_combo,50000,0.341,0.231,0.2145,0.2135
random2,50000,0.3895,0.295,0.184,0.1315
single_only,55000,0.6415,0.1215,0.163,0.074
max_combo,55000,0.357,0.23,0.2275,0.1855
random2,55000,0.388,0.286,0.203,0.123
single_only,60000,0.6015,0.1325,0.1715,0.0945
max_combo,60000,0.3685,0.2335,0.227,0.171
random2,60000,0.3925,0.3025,0.188,0.117
single_only,65000,0.5945,0.132,0.1775,0.096
max_combo,65000,0.363,0.2275,0.2215,0.188
random2,65000,0.4115,0.298,0.1875,0.103
single_only,70000,0.6065,0.1325,0.171,0.09
max_combo,70000,0.375,0.2435,0.208,0.1735
random2,70000,0.403,0.2875,0.2065,0.103
single_only,75000,0.615,0.1355,0.1625,0.087
max_combo,75000,0.3615,0.232,0.234,0.1725
random2,75000,0.409,0.289,0.1945,0.1075
single_only,80000,0.605,0.1395,0.1645,0.091
max_combo,80000,0.374,0.2295,0.238,0.1585
random2,80000,0.4,0.283,0.2075,0.1095
single_only,85000,0.6065,0.132,0.1715,0.09
max_combo,85000,0.3555,0.242,0.237,0.1655
random2,85000,0.4095,0.2795,0.21,0.101
single_only,90000,0.597,0.1365,0.1715,0.095
max_combo,90000,0.3645,0.249,0.235,0.1515
random2,90000,0.405,0.28,0.2125,0.1025
single_only,95000,0.615,0.127,0.1715,0.0865
max_combo,95000,0.365,0.24,0.234,0.161
random2,95000,0.405,0.2845,0.202,0.1085
single_only,100000,0.6005,0.1465,0.1655,0.0875
max_combo,100000,0.347,0.234,0.238,0.181
random2,100000,0.4035,0.303,0.1915,0.102
