episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
500,17,5.61620220693294,0.002372810966335237,3.2321382469963282,2.3757624990539625,0.0025877630105242133,9.070241637993604
1000,27,5.814396149944514,0.0026794630102813244,3.1240194180281833,2.6813460539560765,0.0018407549941912293,17.943297542980872
1500,28,6.164726388989948,0.0036579370498657227,3.288609929033555,2.865880526951514,0.0015119870658963919,27.49439841497224
2000,23,6.433375129941851,0.0027922139270231128,3.554055747925304,2.869714066036977,0.0013077259063720703,37.094395740074106
