opponent,episode,p0,p1,p2,p3
single_only,2000,0.035,0.123,0.292,0.55
max_combo,2000,0.0705,0.073,0.1805,0.676
random2,2000,0.049,0.1255,0.335,0.4905
single_only,4000,0.0135,0.065,0.2325,0.689
max_combo,4000,0.0635,0.049,0.1385,0.749
random2,4000,0.047,0.0695,0.245,0.6385
single_only,6000,0.02,0.0765,0.3385,0.565
max_combo,6000,0.045,0.0635,0.196,0.6955
random2,6000,0.0385,0.0815,0.307,0.573
single_only,8000,0.087,0.1005,0.3205,0.492
max_combo,8000,0.0595,0.0665,0.227,0.647
random2,8000,0.0565,0.1145,0.324,0.505
single_only,10000,0.082,0.1065,0.288,0.5235
max_combo,10000,0.036,0.079,0.1815,0.7035
random2,10000,0.051,0.1125,0.3,0.5365
single_only,12000,0.212,0.1715,0.2785,0.338
max_combo,12000,0.2075,0.1955,0.259,0.338
random2,12000,0.196,0.244,0.276,0.284
single_only,14000,0.258,0.1735,0.26,0.3085
max_combo,14000,0.218,0.175,0.2275,0.3795
random2,14000,0.219,0.2155,0.263,0.3025
single_only,16000,0.3045,0.1595,0.247,0.289
max_combo,16000,0.2275,0.1585,0.228,0.386
random2,16000,0.214,0.228,0.2565,0.3015
single_only,18000,0.337,0.1335,0.234,0.2955
max_combo,18000,0.2575,0.1675,0.1835,0.3915
random2,18000,0.266,0.1815,0.23,0.3225
single_only,20000,0.2315,0.1445,0.3135,0.3105
max_combo,20000,0.205,0.139,0.2305,0.4255
random2,20000,0.2285,0.2005,0.274,0.297
single_only,22000,0.51,0.147,0.192,0.151
max_combo,22000,0.263,0.2115,0.2185,0.307
random2,22000,0.2835,0.259,0.2335,0.224
single_only,24000,0.5425,0.143,0.1855,0.129
max_combo,24000,0.2865,0.22,0.2125,0.281
random2,24000,0.3055,0.2585,0.2415,0.1945
single_only,26000,0.5635,0.1075,0.1845,0.1445
max_combo,26000,0.2855,0.234,0.235,0.2455
random2,26000,0.2975,0.262,0.2525,0.188
single_only,28000,0.5585,0.132,0.1945,0.115
max_combo,28000,0.3,0.2325,0.234,0.2335
random2,28000,0.2835,0.2915,0.26,0.165
single_only,30000,0.555,0.1395,0.1895,0.116
max_combo,30000,0.312,0.238,0.2295,0.2205
random2,30000,0.3005,0.296,0.239,0.1645
single_only,32000,0.4935,0.133,0.2145,0.159
max_combo,32000,0.3025,0.202,0.2535,0.242
random2,32000,0.3125,0.2915,0.239,0.157
single_only,34000,0.589,0.1215,0.1745,0.115
max_combo,34000,0.3475,0.2435,0.2095,0.1995
random2,34000,0.3905,0.2595,0.219,0.131
single_only,36000,0.634,0.105,0.17,0.091
max_combo,36000,0.3495,0.216,0.233,0.2015
random2,36000,0.414,0.244,0.2045,0.1375
single_only,38000,0.5935,0.1455,0.173,0.088
max_combo,38000,0.3725,0.235,0.212,0.1805
random2,38000,0.3955,0.268,0.2165,0.12
single_only,40000,0.627,0.1135,0.1675,0.092
max_combo,40000,0.366,0.244,0.2045,0.1855
random2,40000,0.413,0.271,0.2155,0.1005
single_only,42000,0.5805,0.146,0.182,0.0915
max_combo,42000,0.3665,0.236,0.201,0.1965
random2,42000,0.4,0.2685,0.218,0.1135
single_only,44000,0.625,0.115,0.159,0.101
max_combo,44000,0.37,0.2275,0.213,0.1895
random2,44000,0.4215,0.2765,0.187,0.115
single_only,46000,0.656,0.1165,0.1575,0.07
max_combo,46000,0.374,0.261,0.1965,0.1685
random2,46000,0.408,0.273,0.2065,0.1125
single_only,48000,0.6195,0.125,0.1665,0.089
max_combo,48000,0.367,0.264,0.209,0.16
random2,48000,0.3935,0.2825,0.1905,0.1335
single_only,50000,0.631,0.1245,0.165,0.0795
max_combo,50000,0.36,0.259,0.2125,0.1685
random2,50000,0.3965,0.275,0.198,0.1305
single_only,52000,0.6195,0.1255,0.1695,0.0855
max_combo,52000,0.3715,0.24,0.234,0.1545
random2,52000,0.402,0.283,0.194,0.121
single_only,54000,0.6465,0.1235,0.1505,0.0795
max_combo,54000,0.364,0.2635,0.207,0.1655
random2,54000,0.4025,0.279,0.2075,0.111
single_only,56000,0.625,0.1315,0.156,0.0875
max_combo,56000,0.378,0.252,0.2195,0.1505
random2,56000,0.401,0.299,0.192,0.108
single_only,58000,0.6445,0.1025,0.16,0.093
max_combo,58000,0.385,0.2225,0.219,0.1735
random2,58000,0.3825,0.27,0.221,0.1265
single_only,60000,0.621,0.131,0.1585,0.0895
max_combo,60000,0.3535,0.267,0.206,0.1735
random2,60000,0.423,0.287,0.1895,0.1005
single_only,62000,0.64,0.133,0.1485,0.0785
max_combo,62000,0.384,0.2455,0.21,0.1605
random2,62000,0.4485,0.266,0.1835,0.102
single_only,64000,0.6505,0.115,0.1475,0.087
max_combo,64000,0.3705,0.2625,0.205,0.162
random2,64000,0.445,0.2685,0.181,0.1055
single_only,66000,0.6275,0.1345,0.157,0.081
max_combo,66000,0.375,0.2555,0.224,0.1455
random2,66000,0.4215,0.301,0.186,0.0915
single_only,68000,0.636,0.125,0.158,0.081
max_combo,68000,0.387,0.2505,0.208,0.1545
random2,68000,0.398,0.2835,0.2,0.1185
single_only,70000,0.6535,0.13,0.139,0.0775
max_combo,70000,0.372,0.2475,0.217,0.1635
random2,70000,0.423,0.2675,0.199,0.1105
single_only,72000,0.6295,0.1255,0.1575,0.0875
max_combo,72000,0.3915,0.238,0.2145,0.156
random2,72000,0.422,0.263,0.2145,0.1005
single_only,74000,0.63,0.119,0.156,0.095
max_combo,74000,0.3785,0.244,0.218,0.1595
random2,74000,0.413,0.2825,0.2,0.1045
single_only,76000,0.635,0.121,0.159,0.085
max_combo,76000,0.384,0.2585,0.1835,0.174
random2,76000,0.443,0.279,0.1805,0.0975
single_only,78000,0.636,0.126,0.1585,0.0795
max_combo,78000,0.3845,0.2515,0.2095,0.1545
random2,78000,0.439,0.2765,0.1865,0.098
single_only,80000,0.663,0.1075,0.1495,0.08
max_combo,80000,0.379,0.237,0.2275,0.1565
random2,80000,0.437,0.273,0.1815,0.1085
single_only,82000,0.6465,0.1215,0.146,0.086
max_combo,82000,0.364,0.257,0.2115,0.1675
random2,82000,0.4025,0.285,0.206,0.1065
single_only,84000,0.64,0.1195,0.153,0.0875
max_combo,84000,0.378,0.231,0.2245,0.1665
random2,84000,0.419,0.301,0.1895,0.0905
single_only,86000,0.633,0.13,0.1545,0.0825
max_combo,86000,0.3615,0.2555,0.212,0.171
random2,86000,0.4255,0.266,0.199,0.1095
single_only,88000,0.657,0.122,0.1435,0.0775
max_combo,88000,0.3955,0.238,0.2055,0.161
random2,88000,0.4395,0.265,0.188,0.1075
single_only,90000,0.5745,0.149,0.1845,0.092
max_combo,90000,0.3795,0.2585,0.2105,0.1515
random2,90000,0.4305,0.2895,0.2035,0.0765
single_only,92000,0.598,0.148,0.1645,0.0895
max_combo,92000,0.361,0.2445,0.2225,0.172
random2,92000,0.434,0.283,0.1985,0.0845
single_only,94000,0.6025,0.1365,0.151,0.11
max_combo,94000,0.3905,0.255,0.1925,0.162
random2,94000,0.4235,0.2925,0.1765,0.1075
single_only,96000,0.6375,0.112,0.1565,0.094
max_combo,96000,0.385,0.2435,0.215,0.1565
random2,96000,0.416,0.2875,0.1845,0.112
single_only,98000,0.645,0.117,0.154,0.084
max_combo,98000,0.3865,0.2425,0.2015,0.1695
random2,98000,0.4335,0.2815,0.194,0.091
single_only,100000,0.639,0.1315,0.153,0.0765
max_combo,100000,0.381,0.2375,0.215,0.1665
random2,100000,0.423,0.293,0.1915,0.0925
