episode,reward_mean,reward_std,return_mean,adv_mean_raw,adv_std_raw,policy_loss,value_loss,entropy,approx_kl,clip_frac,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,ep_length
1,0.04545454680919647,0.20829889178276062,0.4509878158569336,0.5910198092460632,0.5764801502227783,1.341104507446289e-07,0.681633710861206,0.8607531189918518,1.8965113923741228e-08,0.0,0.00710282800719142,1.0,0.0,0.0,72.0
2,0.05263157933950424,0.2232968807220459,0.5572525858879089,0.591368556022644,0.4425249397754669,-8.156425224115083e-08,0.5455451607704163,0.637251079082489,2.509669272399151e-08,0.0,0.0033308810088783503,1.0,0.0,0.0,72.0
3,0.095238097012043,0.42591771483421326,1.1891403198242188,0.9758106470108032,0.6334280371665955,5.108969602929392e-08,1.3534374237060547,0.5279812812805176,9.934107758624577e-09,0.0,0.0025340820429846644,2.0,0.0,0.0,84.0
4,0.0,0.0,0.0561441071331501,-0.22761474549770355,0.25244778394699097,9.934107758624577e-09,0.11553835868835449,0.5231192111968994,1.1175870895385742e-08,0.0,0.002832795027643442,0.0,0.0,0.0,83.0
5,0.0,0.0,0.09525690972805023,-0.2601654529571533,0.18546684086322784,1.50203703697116e-07,0.10208403319120407,0.6092653870582581,4.76837147544984e-09,0.0,0.0036476360401138663,0.0,0.0,0.0,82.0
6,0.0,0.0,0.1355936974287033,-0.35714977979660034,0.18279583752155304,-2.5915062096260044e-08,0.16097025573253632,0.5172123908996582,7.774518806513697e-09,0.0,0.002463051932863891,0.0,0.0,0.0,74.0
7,0.0,0.0,0.11359456181526184,-0.20893654227256775,0.06578640639781952,-9.16994569166718e-09,0.04798232018947601,0.6452296376228333,2.292486422916795e-09,0.0,0.004007514915429056,0.0,0.0,0.0,82.0
8,0.09090909361839294,0.41659778356552124,1.245869517326355,0.8934994339942932,0.4422333538532257,4.334883385581634e-08,0.9939115047454834,0.8737632632255554,1.0837208463954084e-08,0.0,0.003269404056482017,2.0,0.0,0.0,85.0
9,0.0,0.0,0.1407090574502945,-0.24631640315055847,0.13772104680538177,4.12647551684131e-08,0.07963885366916656,0.636032223701477,1.7193647394719846e-08,0.0,0.003946515033021569,0.0,0.0,0.0,74.0
10,0.0,0.0,0.09932029247283936,-0.17326246201992035,0.09718968719244003,-4.967053612858763e-08,0.03946571797132492,0.8361698985099792,2.2351741790771484e-08,0.0,0.005633151042275131,0.0,0.0,0.0,67.0
11,0.1666666716337204,0.6871842741966248,1.9242578744888306,1.7752090692520142,0.5473465323448181,-1.3576612900578766e-07,3.450955390930176,0.7229158282279968,2.9802322387695312e-08,0.0,0.00264239392708987,3.0,0.0,0.0,83.0
12,0.0,0.0,0.10145112127065659,-0.15918923914432526,0.09502765536308289,5.960464477539063e-08,0.03437146916985512,0.7102577090263367,2.2351741790771484e-08,0.0,0.002800883026793599,0.0,0.0,0.0,80.0
