episode,ep_length,ep_env_return,ep_shaping_return,ep_final_bonus
1,131.0,3.0,0.0,0.0
2,107.0,3.0,0.0,0.0
3,125.0,3.0,0.0,0.0
4,119.0,2.0,0.0,0.0
5,136.0,3.0,0.0,0.0
6,107.0,3.0,0.0,0.0
7,111.0,2.0,0.0,0.0
8,131.0,2.0,0.0,0.0
9,100.0,3.0,0.0,0.0
10,98.0,3.0,0.0,0.0
11,116.0,1.0,0.0,0.0
12,107.0,0.0,0.0,0.0
13,123.0,2.0,0.0,0.0
14,125.0,0.0,0.0,0.0
15,99.0,1.0,0.0,0.0
16,107.0,1.0,0.0,0.0
17,128.0,1.0,0.0,0.0
18,84.0,3.0,0.0,0.0
19,113.0,2.0,0.0,0.0
20,90.0,2.0,0.0,0.0
21,120.0,0.0,0.0,0.0
22,104.0,3.0,0.0,0.0
23,98.0,1.0,0.0,0.0
24,93.0,3.0,0.0,0.0
25,105.0,3.0,0.0,0.0
26,101.0,3.0,0.0,0.0
27,109.0,0.0,0.0,0.0
28,98.0,3.0,0.0,0.0
29,100.0,0.0,0.0,0.0
30,111.0,2.0,0.0,0.0
31,123.0,1.0,0.0,0.0
32,102.0,2.0,0.0,0.0
33,81.0,3.0,0.0,0.0
34,100.0,3.0,0.0,0.0
35,112.0,2.0,0.0,0.0
36,113.0,3.0,0.0,0.0
37,93.0,2.0,0.0,0.0
38,106.0,3.0,0.0,0.0
39,110.0,1.0,0.0,0.0
40,137.0,0.0,0.0,0.0
41,103.0,0.0,0.0,0.0
42,117.0,0.0,0.0,0.0
43,121.0,3.0,0.0,0.0
44,112.0,3.0,0.0,0.0
45,121.0,3.0,0.0,0.0
46,118.0,3.0,0.0,0.0
47,147.0,0.0,0.0,0.0
48,101.0,2.0,0.0,0.0
49,116.0,0.0,0.0,0.0
50,102.0,1.0,0.0,0.0
51,95.0,2.0,0.0,0.0
52,120.0,1.0,0.0,0.0
53,110.0,3.0,0.0,0.0
54,108.0,0.0,0.0,0.0
55,139.0,0.0,0.0,0.0
56,97.0,2.0,0.0,0.0
57,115.0,1.0,0.0,0.0
58,108.0,3.0,0.0,0.0
59,117.0,0.0,0.0,0.0
60,114.0,3.0,0.0,0.0
61,112.0,3.0,0.0,0.0
62,109.0,0.0,0.0,0.0
63,118.0,0.0,0.0,0.0
64,111.0,2.0,0.0,0.0
65,117.0,2.0,0.0,0.0
66,108.0,2.0,0.0,0.0
67,125.0,1.0,0.0,0.0
68,100.0,3.0,0.0,0.0
69,115.0,2.0,0.0,0.0
70,121.0,0.0,0.0,0.0
71,130.0,3.0,0.0,0.0
72,122.0,3.0,0.0,0.0
73,128.0,3.0,0.0,0.0
74,114.0,3.0,0.0,0.0
75,102.0,1.0,0.0,0.0
76,120.0,3.0,0.0,0.0
77,137.0,2.0,0.0,0.0
78,102.0,3.0,0.0,0.0
79,117.0,0.0,0.0,0.0
80,102.0,3.0,0.0,0.0
81,110.0,1.0,0.0,0.0
82,114.0,2.0,0.0,0.0
83,95.0,3.0,0.0,0.0
84,108.0,2.0,0.0,0.0
85,98.0,1.0,0.0,0.0
86,121.0,0.0,0.0,0.0
87,110.0,0.0,0.0,0.0
88,128.0,0.0,0.0,0.0
89,108.0,3.0,0.0,0.0
90,111.0,2.0,0.0,0.0
91,115.0,0.0,0.0,0.0
92,105.0,1.0,0.0,0.0
93,116.0,2.0,0.0,0.0
94,105.0,2.0,0.0,0.0
95,92.0,1.0,0.0,0.0
96,113.0,3.0,0.0,0.0
97,115.0,2.0,0.0,0.0
98,125.0,1.0,0.0,0.0
99,115.0,3.0,0.0,0.0
100,101.0,3.0,0.0,0.0
101,123.0,0.0,0.0,0.0
102,115.0,2.0,0.0,0.0
103,112.0,1.0,0.0,0.0
104,112.0,2.0,0.0,0.0
105,111.0,0.0,0.0,0.0
106,102.0,2.0,0.0,0.0
107,121.0,3.0,0.0,0.0
108,90.0,3.0,0.0,0.0
109,135.0,0.0,0.0,0.0
110,110.0,2.0,0.0,0.0
111,95.0,3.0,0.0,0.0
112,91.0,2.0,0.0,0.0
113,132.0,3.0,0.0,0.0
114,141.0,1.0,0.0,0.0
115,104.0,0.0,0.0,0.0
116,115.0,3.0,0.0,0.0
117,107.0,2.0,0.0,0.0
118,114.0,1.0,0.0,0.0
119,129.0,0.0,0.0,0.0
120,126.0,0.0,0.0,0.0
121,103.0,1.0,0.0,0.0
122,116.0,1.0,0.0,0.0
123,138.0,0.0,0.0,0.0
124,117.0,3.0,0.0,0.0
125,115.0,3.0,0.0,0.0
126,109.0,3.0,0.0,0.0
127,100.0,3.0,0.0,0.0
128,86.0,3.0,0.0,0.0
129,113.0,3.0,0.0,0.0
130,125.0,3.0,0.0,0.0
131,108.0,1.0,0.0,0.0
132,141.0,3.0,0.0,0.0
133,131.0,2.0,0.0,0.0
134,135.0,1.0,0.0,0.0
135,110.0,1.0,0.0,0.0
136,114.0,0.0,0.0,0.0
137,112.0,3.0,0.0,0.0
138,128.0,0.0,0.0,0.0
139,95.0,3.0,0.0,0.0
140,124.0,2.0,0.0,0.0
141,100.0,2.0,0.0,0.0
142,102.0,3.0,0.0,0.0
143,134.0,1.0,0.0,0.0
144,118.0,0.0,0.0,0.0
145,95.0,1.0,0.0,0.0
146,107.0,0.0,0.0,0.0
147,86.0,3.0,0.0,0.0
148,130.0,0.0,0.0,0.0
149,125.0,0.0,0.0,0.0
150,89.0,3.0,0.0,0.0
151,104.0,0.0,0.0,0.0
152,113.0,3.0,0.0,0.0
153,106.0,0.0,0.0,0.0
154,129.0,1.0,0.0,0.0
155,115.0,1.0,0.0,0.0
156,115.0,1.0,0.0,0.0
157,97.0,3.0,0.0,0.0
158,118.0,1.0,0.0,0.0
159,104.0,0.0,0.0,0.0
160,106.0,2.0,0.0,0.0
161,146.0,0.0,0.0,0.0
162,108.0,1.0,0.0,0.0
163,129.0,1.0,0.0,0.0
164,114.0,3.0,0.0,0.0
165,126.0,1.0,0.0,0.0
166,118.0,3.0,0.0,0.0
167,100.0,3.0,0.0,0.0
168,130.0,3.0,0.0,0.0
169,106.0,1.0,0.0,0.0
170,108.0,2.0,0.0,0.0
171,96.0,2.0,0.0,0.0
172,111.0,3.0,0.0,0.0
173,113.0,3.0,0.0,0.0
174,132.0,3.0,0.0,0.0
175,122.0,3.0,0.0,0.0
176,110.0,1.0,0.0,0.0
177,105.0,2.0,0.0,0.0
178,118.0,3.0,0.0,0.0
179,124.0,3.0,0.0,0.0
180,116.0,0.0,0.0,0.0
181,103.0,1.0,0.0,0.0
182,116.0,3.0,0.0,0.0
183,129.0,0.0,0.0,0.0
184,121.0,3.0,0.0,0.0
185,113.0,3.0,0.0,0.0
186,107.0,3.0,0.0,0.0
187,116.0,3.0,0.0,0.0
188,114.0,3.0,0.0,0.0
189,110.0,2.0,0.0,0.0
190,136.0,0.0,0.0,0.0
191,127.0,0.0,0.0,0.0
192,125.0,1.0,0.0,0.0
193,122.0,0.0,0.0,0.0
194,102.0,3.0,0.0,0.0
195,116.0,3.0,0.0,0.0
196,126.0,0.0,0.0,0.0
197,85.0,1.0,0.0,0.0
198,109.0,1.0,0.0,0.0
199,107.0,0.0,0.0,0.0
200,91.0,3.0,0.0,0.0
