episode,ep_length,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,epsilon
1,86.0,1.3966811820864677e-05,0.0,0.0,0.0,1.0
2,75.0,9.502051398158073e-06,1.0,0.0,0.0,1.0
3,74.0,1.1462485417723656e-05,0.0,0.0,0.0,1.0
4,76.0,9.832670912146568e-06,1.0,0.0,0.0,1.0
5,80.0,1.199101097881794e-05,0.0,0.0,0.0,1.0
6,72.0,0.024419832276180387,0.0,0.0,0.0,0.9958081801801036
7,73.0,0.03193112229928374,0.0,0.0,0.0,0.9889597307439081
8,73.0,0.024104643845930696,2.0,0.0,0.0,0.9839281228459688
9,89.0,0.03029696992598474,2.0,0.0,0.0,0.9774546122473649
10,79.0,0.04044507723301649,1.0,0.0,0.0,0.9710236925032121
11,71.0,0.03544506314210594,1.0,0.0,0.0,0.9652141250032966
12,66.0,0.038254740415140986,0.0,0.0,0.0,0.9582885065580943
13,67.0,0.01944162487052381,3.0,0.0,0.0,0.954271533803125
14,82.0,0.034036403289064765,0.0,0.0,0.0,0.9477087434206747
15,71.0,0.02914527617394924,0.0,0.0,0.0,0.9417560560460514
16,71.0,0.030601594364270568,0.0,0.0,0.0,0.9352793380802522
17,74.0,0.027933295350521803,1.0,0.0,0.0,0.9294047214892509
18,71.0,0.01968565583229065,3.0,0.0,0.0,0.9252311717097
19,76.0,0.028640515636652708,1.0,0.0,0.0,0.9191438431161267
20,90.0,0.04367327969521284,0.0,0.0,0.0,0.9117277412819866
21,78.0,0.03968477132730186,0.0,0.0,0.0,0.904914343346397
22,87.0,0.0380324877332896,1.0,0.0,0.0,0.8984213887726265
23,73.0,0.03163385461084545,0.0,0.0,0.0,0.8925104484842143
24,84.0,0.03411020990461111,1.0,0.0,0.0,0.8858406625691297
25,71.0,0.02849596389569342,0.0,0.0,0.0,0.8802765770158295
26,77.0,0.031150555703788996,0.0,0.0,0.0,0.874222670502961
27,87.0,0.035384370014071465,0.0,0.0,0.0,0.8674292434214438
28,80.0,0.03195250779390335,0.0,0.0,0.0,0.861463691589991
29,70.0,0.037744030356407166,0.0,0.0,0.0,0.8557959052869736
30,65.0,0.03048563562333584,0.0,0.0,0.0,0.8509310169624767
31,69.0,0.022513594245538116,2.0,0.0,0.0,0.846601668564914
32,104.0,0.035314278211444616,2.0,0.0,0.0,0.840022879319861
33,95.0,0.033897798508405685,0.0,0.0,0.0,0.8334952126623694
34,73.0,0.0364903153385967,0.0,0.0,0.0,0.8277630345854666
35,75.0,0.04031289229169488,0.0,0.0,0.0,0.8215771101086357
36,66.0,0.03685404290445149,0.0,0.0,0.0,0.8159268961331919
37,79.0,0.03491801745258272,1.0,0.0,0.0,0.8105587078609364
38,74.0,0.03650853340514004,0.0,0.0,0.0,0.8049842704980603
39,85.0,0.03951909439638257,0.0,0.0,0.0,0.7989685731374848
40,73.0,0.0484537782613188,0.0,0.0,0.0,0.7927599321068073
41,68.0,0.02504122839309275,1.0,0.0,0.0,0.7887265452948307
42,75.0,0.030235105426982045,0.0,0.0,0.0,0.783772446706207
43,81.0,0.03806240763515234,0.0,0.0,0.0,0.7779152666199114
44,72.0,0.032414008397608995,1.0,0.0,0.0,0.7727971664189399
45,85.0,0.028932832647114992,2.0,0.0,0.0,0.7681735744955747
46,79.0,0.03227854473516345,0.0,0.0,0.0,0.7628906314671263
47,74.0,0.030751162208616734,0.0,0.0,0.0,0.7578713821198331
48,70.0,0.030209370190277696,1.0,0.0,0.0,0.7533370901301816
49,74.0,0.03427111427299678,0.0,0.0,0.0,0.7481561817254786
50,85.0,0.036544458009302616,1.0,0.0,0.0,0.7427880005956878
51,81.0,0.03910554014146328,0.0,0.0,0.0,0.7376796412096739
52,81.0,0.03825269779190421,0.0,0.0,0.0,0.7328262613083731
53,70.0,0.03473581979051232,1.0,0.0,0.0,0.7284418125419313
54,82.0,0.04881121311336756,0.0,0.0,0.0,0.7223476185955436
55,71.0,0.029870188795030117,2.0,0.0,0.0,0.7186724740271707
56,80.0,0.03704928350634873,0.0,0.0,0.0,0.7135158448261997
57,79.0,0.03211394278332591,1.0,0.0,0.0,0.7086087981856182
58,82.0,0.03486953140236437,0.0,0.0,0.0,0.7033133207046874
59,86.0,0.034836133010685444,0.0,0.0,0.0,0.698057416655279
60,79.0,0.032093582674860954,0.0,0.0,0.0,0.6932566819187352
61,75.0,0.03288211696781218,0.0,0.0,0.0,0.6884889631683566
62,80.0,0.040901368483901024,0.0,0.0,0.0,0.683548907134033
63,81.0,0.03384530916810036,2.0,0.0,0.0,0.6792554435802962
64,75.0,0.041231910698115826,0.0,0.0,0.0,0.673977071740509
65,74.0,0.03159039071761072,1.0,0.0,0.0,0.6699447135994033
66,79.0,0.03590011945925653,0.0,0.0,0.0,0.6655369788235947
67,91.0,0.05262893787585199,1.0,0.0,0.0,0.6605633797191086
68,72.0,0.01606520009227097,3.0,0.0,0.0,0.6587819973217338
69,84.0,0.043572112219408154,0.0,0.0,0.0,0.6538588786128041
70,68.0,0.03839187044650316,0.0,0.0,0.0,0.6491673008654675
71,77.0,0.03213198808953166,0.0,0.0,0.0,0.6448962659139869
72,71.0,0.029324362985789776,1.0,0.0,0.0,0.6410378962200276
73,77.0,0.03806342207826674,0.0,0.0,0.0,0.6368203466664241
