opponent,episode,p0,p1,p2,p3
single_only,2000,0.62,0.215,0.12,0.045
max_combo,2000,0.24,0.28,0.24,0.24
random2,2000,0.57,0.26,0.145,0.025
single_only,4000,0.595,0.23,0.12,0.055
max_combo,4000,0.335,0.35,0.165,0.15
random2,4000,0.715,0.205,0.05,0.03
single_only,6000,0.645,0.245,0.075,0.035
max_combo,6000,0.44,0.27,0.175,0.115
random2,6000,0.785,0.18,0.025,0.01
single_only,8000,0.65,0.28,0.06,0.01
max_combo,8000,0.5,0.315,0.11,0.075
random2,8000,0.7,0.24,0.06,0.0
single_only,10000,0.635,0.235,0.105,0.025
max_combo,10000,0.47,0.315,0.145,0.07
random2,10000,0.8,0.165,0.035,0.0
