opponent,episode,p0,p1,p2,p3
single_only,10000,0.7255,0.22,0.047,0.0075
max_combo,10000,0.52,0.304,0.1245,0.0515
random2,10000,0.7755,0.1845,0.0315,0.0085
single_only,20000,0.8335,0.136,0.024,0.0065
max_combo,20000,0.6205,0.2495,0.0855,0.0445
random2,20000,0.847,0.132,0.017,0.004
single_only,30000,0.819,0.148,0.0295,0.0035
max_combo,30000,0.6095,0.261,0.091,0.0385
random2,30000,0.8545,0.117,0.023,0.0055
single_only,40000,0.7615,0.183,0.0485,0.007
max_combo,40000,0.6195,0.258,0.087,0.0355
random2,40000,0.877,0.093,0.021,0.009
single_only,50000,0.777,0.197,0.022,0.004
max_combo,50000,0.622,0.2615,0.0835,0.033
random2,50000,0.856,0.1205,0.015,0.0085
single_only,60000,0.825,0.1505,0.02,0.0045
max_combo,60000,0.6505,0.238,0.071,0.0405
random2,60000,0.865,0.1125,0.0165,0.006
single_only,70000,0.796,0.1595,0.034,0.0105
max_combo,70000,0.636,0.236,0.0825,0.0455
random2,70000,0.855,0.124,0.015,0.006
single_only,80000,0.7335,0.2275,0.034,0.005
max_combo,80000,0.6345,0.2455,0.0765,0.0435
random2,80000,0.8235,0.1505,0.0215,0.0045
single_only,90000,0.7825,0.176,0.034,0.0075
max_combo,90000,0.6535,0.225,0.085,0.0365
random2,90000,0.8355,0.1255,0.0255,0.0135
single_only,100000,0.759,0.1845,0.044,0.0125
max_combo,100000,0.639,0.2375,0.0835,0.04
random2,100000,0.8425,0.1295,0.0195,0.0085
single_only,110000,0.8005,0.1615,0.029,0.009
max_combo,110000,0.638,0.227,0.0905,0.0445
random2,110000,0.848,0.124,0.017,0.011
single_only,120000,0.7915,0.1675,0.0335,0.0075
max_combo,120000,0.654,0.227,0.0795,0.0395
random2,120000,0.8515,0.1195,0.0175,0.0115
single_only,130000,0.7715,0.1815,0.038,0.009
max_combo,130000,0.663,0.22,0.0775,0.0395
random2,130000,0.8575,0.117,0.019,0.0065
single_only,140000,0.7775,0.186,0.027,0.0095
max_combo,140000,0.631,0.247,0.0785,0.0435
random2,140000,0.8475,0.1345,0.0145,0.0035
single_only,150000,0.7935,0.1585,0.042,0.006
max_combo,150000,0.6295,0.2455,0.082,0.043
random2,150000,0.831,0.1295,0.0285,0.011
single_only,160000,0.8235,0.137,0.033,0.0065
max_combo,160000,0.642,0.2375,0.0775,0.043
random2,160000,0.867,0.107,0.0185,0.0075
single_only,170000,0.7375,0.212,0.039,0.0115
max_combo,170000,0.6385,0.256,0.0685,0.037
random2,170000,0.837,0.127,0.0245,0.0115
single_only,180000,0.734,0.201,0.0565,0.0085
max_combo,180000,0.63,0.2345,0.0945,0.041
random2,180000,0.854,0.1155,0.0185,0.012
single_only,190000,0.784,0.1695,0.036,0.0105
max_combo,190000,0.622,0.239,0.084,0.055
random2,190000,0.8365,0.1245,0.0245,0.0145
single_only,200000,0.7905,0.176,0.0285,0.005
max_combo,200000,0.651,0.234,0.082,0.033
random2,200000,0.8635,0.117,0.0175,0.002
single_only,210000,0.7555,0.218,0.024,0.0025
max_combo,210000,0.633,0.259,0.081,0.027
random2,210000,0.8285,0.141,0.025,0.0055
single_only,220000,0.7105,0.23,0.046,0.0135
max_combo,220000,0.6145,0.2465,0.0955,0.0435
random2,220000,0.8305,0.122,0.034,0.0135
single_only,230000,0.8005,0.1715,0.0245,0.0035
max_combo,230000,0.644,0.2495,0.077,0.0295
random2,230000,0.857,0.1175,0.019,0.0065
single_only,240000,0.752,0.1915,0.048,0.0085
max_combo,240000,0.6395,0.2255,0.087,0.048
random2,240000,0.83,0.1255,0.0295,0.015
single_only,250000,0.714,0.226,0.052,0.008
