opponent,episode,p0,p1,p2,p3
single_only,500,0.5015,0.1235,0.209,0.166
max_combo,500,0.266,0.2085,0.215,0.3105
random2,500,0.297,0.2475,0.244,0.2115
v_table,500,0.189,0.185,0.183,0.443
single_only,1000,0.554,0.124,0.2,0.122
max_combo,1000,0.272,0.233,0.226,0.269
random2,1000,0.323,0.266,0.2255,0.1855
v_table,1000,0.193,0.21,0.187,0.41
single_only,1500,0.543,0.139,0.179,0.139
max_combo,1500,0.2825,0.216,0.239,0.2625
random2,1500,0.324,0.286,0.208,0.182
v_table,1500,0.195,0.208,0.1805,0.4165
single_only,2000,0.549,0.1255,0.1825,0.143
max_combo,2000,0.286,0.2215,0.227,0.2655
random2,2000,0.313,0.284,0.219,0.184
v_table,2000,0.191,0.2065,0.1895,0.413
single_only,2500,0.5885,0.132,0.1635,0.116
max_combo,2500,0.286,0.239,0.2225,0.2525
random2,2500,0.3225,0.293,0.214,0.1705
v_table,2500,0.194,0.223,0.175,0.408
single_only,3000,0.5595,0.135,0.171,0.1345
max_combo,3000,0.3095,0.223,0.227,0.2405
random2,3000,0.311,0.2655,0.242,0.1815
v_table,3000,0.195,0.206,0.1775,0.4215
single_only,3500,0.5915,0.123,0.1595,0.126
max_combo,3500,0.306,0.2175,0.235,0.2415
random2,3500,0.3315,0.2595,0.245,0.164
v_table,3500,0.194,0.224,0.19,0.392
single_only,4000,0.534,0.172,0.162,0.132
max_combo,4000,0.279,0.2425,0.2285,0.25
random2,4000,0.3345,0.2635,0.2285,0.1735
v_table,4000,0.173,0.2265,0.193,0.4075
single_only,4500,0.577,0.1355,0.167,0.1205
max_combo,4500,0.2755,0.2425,0.2275,0.2545
random2,4500,0.3305,0.275,0.236,0.1585
v_table,4500,0.1705,0.2365,0.185,0.408
single_only,5000,0.5635,0.1445,0.1715,0.1205
max_combo,5000,0.293,0.232,0.222,0.253
random2,5000,0.3275,0.2805,0.2165,0.1755
v_table,5000,0.1775,0.2175,0.1865,0.4185
single_only,5500,0.586,0.1425,0.1605,0.111
max_combo,5500,0.2965,0.25,0.21,0.2435
random2,5500,0.3605,0.273,0.212,0.1545
v_table,5500,0.204,0.218,0.2105,0.3675
single_only,6000,0.5795,0.126,0.18,0.1145
max_combo,6000,0.295,0.2455,0.219,0.2405
random2,6000,0.3425,0.273,0.213,0.1715
v_table,6000,0.178,0.228,0.2155,0.3785
single_only,6500,0.493,0.2,0.1735,0.1335
max_combo,6500,0.2725,0.2665,0.228,0.233
random2,6500,0.342,0.293,0.22,0.145
v_table,6500,0.1555,0.2735,0.2,0.371
