opponent,episode,p0,p1,p2,p3
single_only,500,0.4205,0.1505,0.2435,0.1855
max_combo,500,0.224,0.209,0.2385,0.3285
random2,500,0.2585,0.2725,0.269,0.2
v_table,500,0.1345,0.1845,0.1765,0.5045
single_only,1000,0.528,0.1325,0.201,0.1385
max_combo,1000,0.2735,0.213,0.217,0.2965
random2,1000,0.3115,0.266,0.2265,0.196
v_table,1000,0.1755,0.203,0.1925,0.429
single_only,1500,0.5485,0.1305,0.175,0.146
max_combo,1500,0.2785,0.215,0.2215,0.285
random2,1500,0.284,0.2895,0.2405,0.186
v_table,1500,0.1775,0.1875,0.1835,0.4515
single_only,2000,0.5675,0.12,0.182,0.1305
max_combo,2000,0.299,0.2275,0.229,0.2445
random2,2000,0.3315,0.2785,0.2245,0.1655
v_table,2000,0.2,0.2175,0.1885,0.394
single_only,2500,0.541,0.1205,0.187,0.1515
max_combo,2500,0.289,0.224,0.226,0.261
random2,2500,0.3075,0.256,0.2475,0.189
v_table,2500,0.1875,0.2115,0.1765,0.4245
single_only,3000,0.5445,0.12,0.1775,0.158
max_combo,3000,0.2845,0.227,0.2085,0.28
random2,3000,0.2975,0.263,0.224,0.2155
v_table,3000,0.1805,0.21,0.1735,0.436
single_only,3500,0.5775,0.128,0.178,0.1165
max_combo,3500,0.2855,0.2405,0.2285,0.2455
random2,3500,0.3215,0.2745,0.2245,0.1795
v_table,3500,0.178,0.2275,0.1975,0.397
single_only,4000,0.547,0.1185,0.1835,0.151
max_combo,4000,0.2835,0.227,0.219,0.2705
random2,4000,0.312,0.278,0.238,0.172
v_table,4000,0.179,0.1985,0.183,0.4395
single_only,4500,0.5305,0.168,0.1785,0.123
max_combo,4500,0.2875,0.242,0.24,0.2305
random2,4500,0.3345,0.2925,0.2205,0.1525
v_table,4500,0.177,0.218,0.198,0.407
single_only,5000,0.5705,0.128,0.184,0.1175
max_combo,5000,0.2975,0.235,0.234,0.2335
random2,5000,0.341,0.273,0.2205,0.1655
v_table,5000,0.1785,0.213,0.2005,0.408
single_only,5500,0.563,0.124,0.177,0.136
max_combo,5500,0.31,0.217,0.207,0.266
random2,5500,0.3285,0.2745,0.2085,0.1885
v_table,5500,0.1965,0.21,0.1765,0.417
single_only,6000,0.601,0.1175,0.1755,0.106
max_combo,6000,0.3045,0.2435,0.2185,0.2335
random2,6000,0.345,0.284,0.2175,0.1535
v_table,6000,0.198,0.201,0.1975,0.4035
single_only,6500,0.601,0.1285,0.167,0.1035
max_combo,6500,0.3255,0.2305,0.208,0.236
random2,6500,0.342,0.274,0.236,0.148
v_table,6500,0.1825,0.2435,0.2055,0.3685
single_only,7000,0.538,0.172,0.1865,0.1035
max_combo,7000,0.296,0.245,0.2195,0.2395
random2,7000,0.3405,0.3135,0.2085,0.1375
v_table,7000,0.1705,0.234,0.2215,0.374
single_only,7500,0.608,0.1215,0.1685,0.102
max_combo,7500,0.328,0.239,0.2205,0.2125
random2,7500,0.362,0.2695,0.208,0.1605
v_table,7500,0.196,0.219,0.206,0.379
single_only,8000,0.6145,0.128,0.158,0.0995
max_combo,8000,0.314,0.241,0.205,0.24
random2,8000,0.363,0.253,0.231,0.153
v_table,8000,0.194,0.2345,0.195,0.3765
single_only,8500,0.5985,0.1345,0.1715,0.0955
max_combo,8500,0.312,0.234,0.213,0.241
random2,8500,0.3555,0.2605,0.2255,0.1585
v_table,8500,0.196,0.219,0.1835,0.4015
single_only,9000,0.566,0.1505,0.1725,0.111
max_combo,9000,0.332,0.2305,0.215,0.2225
random2,9000,0.359,0.2585,0.219,0.1635
v_table,9000,0.2085,0.213,0.2005,0.378
single_only,9500,0.562,0.15,0.189,0.099
max_combo,9500,0.3155,0.2355,0.2115,0.2375
random2,9500,0.343,0.2785,0.2165,0.162
v_table,9500,0.188,0.2205,0.1975,0.394
single_only,10000,0.5635,0.124,0.1895,0.123
max_combo,10000,0.3005,0.2345,0.2345,0.2305
random2,10000,0.342,0.2735,0.2505,0.134
v_table,10000,0.1945,0.212,0.217,0.3765
single_only,10500,0.574,0.1415,0.1835,0.101
max_combo,10500,0.3205,0.245,0.2095,0.225
random2,10500,0.3675,0.277,0.2155,0.14
v_table,10500,0.1975,0.206,0.2095,0.387
single_only,11000,0.571,0.1465,0.1635,0.119
max_combo,11000,0.2875,0.2445,0.229,0.239
random2,11000,0.3525,0.251,0.229,0.1675
v_table,11000,0.1885,0.23,0.193,0.3885
single_only,11500,0.5395,0.1465,0.1785,0.1355
max_combo,11500,0.3125,0.253,0.211,0.2235
random2,11500,0.341,0.2935,0.22,0.1455
v_table,11500,0.174,0.223,0.2055,0.3975
single_only,12000,0.5605,0.1365,0.178,0.125
max_combo,12000,0.3,0.2215,0.2395,0.239
random2,12000,0.367,0.2725,0.2265,0.134
v_table,12000,0.1935,0.221,0.218,0.3675
single_only,12500,0.5375,0.143,0.199,0.1205
max_combo,12500,0.2915,0.238,0.2365,0.234
random2,12500,0.3565,0.288,0.217,0.1385
v_table,12500,0.1765,0.2385,0.207,0.378
single_only,13000,0.5465,0.1535,0.1865,0.1135
max_combo,13000,0.305,0.2475,0.221,0.2265
random2,13000,0.369,0.266,0.2255,0.1395
v_table,13000,0.201,0.2225,0.1955,0.381
single_only,13500,0.5135,0.1605,0.201,0.125
max_combo,13500,0.2935,0.253,0.2165,0.237
random2,13500,0.33,0.284,0.214,0.172
v_table,13500,0.1795,0.2275,0.2205,0.3725
single_only,14000,0.5145,0.165,0.199,0.1215
max_combo,14000,0.313,0.232,0.2305,0.2245
random2,14000,0.3435,0.303,0.196,0.1575
v_table,14000,0.1835,0.2225,0.204,0.39
single_only,14500,0.536,0.1415,0.208,0.1145
max_combo,14500,0.3225,0.2425,0.2025,0.2325
random2,14500,0.375,0.2795,0.216,0.1295
v_table,14500,0.1835,0.246,0.2025,0.368
single_only,15000,0.5595,0.152,0.183,0.1055
max_combo,15000,0.3165,0.246,0.214,0.2235
random2,15000,0.3415,0.3035,0.219,0.136
v_table,15000,0.1895,0.233,0.229,0.3485
single_only,15500,0.5625,0.1485,0.1795,0.1095
max_combo,15500,0.332,0.217,0.2235,0.2275
random2,15500,0.3485,0.2835,0.219,0.149
v_table,15500,0.2065,0.2345,0.178,0.381
single_only,16000,0.559,0.1335,0.1855,0.122
max_combo,16000,0.324,0.223,0.215,0.238
random2,16000,0.363,0.2755,0.2145,0.147
v_table,16000,0.199,0.2485,0.193,0.3595
single_only,16500,0.581,0.124,0.1865,0.1085
max_combo,16500,0.304,0.2505,0.2335,0.212
random2,16500,0.363,0.276,0.2155,0.1455
v_table,16500,0.2,0.238,0.204,0.358
single_only,17000,0.564,0.1445,0.1825,0.109
max_combo,17000,0.294,0.2645,0.227,0.2145
random2,17000,0.3645,0.274,0.2255,0.136
v_table,17000,0.1845,0.244,0.1975,0.374
single_only,17500,0.5615,0.163,0.1655,0.11
max_combo,17500,0.3135,0.246,0.2285,0.212
random2,17500,0.3415,0.284,0.2265,0.148
v_table,17500,0.1875,0.239,0.2115,0.362
single_only,18000,0.529,0.15,0.1935,0.1275
max_combo,18000,0.2955,0.246,0.2155,0.243
random2,18000,0.3305,0.2995,0.224,0.146
v_table,18000,0.18,0.238,0.1995,0.3825
single_only,18500,0.494,0.186,0.1975,0.1225
max_combo,18500,0.3055,0.2535,0.224,0.217
random2,18500,0.335,0.3075,0.2305,0.127
v_table,18500,0.1725,0.225,0.2245,0.378
single_only,19000,0.539,0.147,0.1915,0.1225
max_combo,19000,0.295,0.2475,0.225,0.2325
random2,19000,0.343,0.295,0.2155,0.1465
v_table,19000,0.172,0.219,0.227,0.382
single_only,19500,0.5815,0.136,0.164,0.1185
max_combo,19500,0.3215,0.237,0.211,0.2305
random2,19500,0.3455,0.2775,0.2115,0.1655
v_table,19500,0.2175,0.208,0.1775,0.397
single_only,20000,0.55,0.166,0.172,0.112
max_combo,20000,0.2775,0.2665,0.2245,0.2315
random2,20000,0.3705,0.2715,0.2,0.158
v_table,20000,0.193,0.2275,0.1825,0.397
