episode,reward_mean,reward_std,return_mean,adv_mean_raw,adv_std_raw,policy_loss,value_loss,entropy,approx_kl,clip_frac,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,ep_length
1,0.0,0.0,0.0074372668750584126,-0.09906776249408722,0.11893775314092636,-8.127906347965563e-09,0.023960622027516365,0.35165438055992126,0.0,0.0,0.04304269410204142,0.0,0.0,0.0,27.0
2,0.0,0.0,0.005470780655741692,-0.05902346223592758,0.09533657878637314,-1.4901161193847656e-08,0.01257283054292202,0.258730947971344,0.0,0.0,0.0026936979265883565,0.0,0.0,0.0,22.0
3,0.1111111119389534,0.31426969170570374,0.7827093601226807,0.8074580430984497,0.18149325251579285,2.847777409442642e-07,0.6849281787872314,0.42942124605178833,0.0,0.0,0.002641730010509491,1.0,0.0,0.0,31.0
4,0.1666666716337204,0.3726779818534851,0.860802412033081,0.8640828728675842,0.12318047136068344,-1.9868215517249155e-08,0.761812686920166,0.34580424427986145,0.0,0.0,0.0027330369921401143,1.0,0.0,0.0,24.0
5,0.0,0.0,-0.002680017612874508,-0.006439307238906622,0.050741687417030334,1.3245476715439963e-08,0.002616181503981352,0.23094765841960907,1.3245476715439963e-08,0.0,0.0024474289966747165,0.0,0.0,0.0,28.0
6,1.5,1.5,2.9071433544158936,3.0335049629211426,0.11222207546234131,-1.043081283569336e-06,9.214746475219727,0.3457580804824829,2.9802322387695312e-08,0.0,0.0028767649782821536,3.0,0.0,0.0,20.0
7,0.5,0.8660253882408142,1.8234262466430664,1.9044095277786255,0.12187481671571732,4.6193599700927734e-07,3.6416287422180176,0.513264536857605,1.4901161193847656e-08,0.0,0.0020551240304484963,2.0,0.0,0.0,22.0
8,0.3333333432674408,0.7453559637069702,1.7317196130752563,1.636873722076416,0.2327001392841339,-2.4835267709022446e-07,2.7335050106048584,0.4111604392528534,2.9802322387695312e-08,0.0,0.001976361032575369,2.0,0.0,0.0,23.0
9,0.0,0.0,0.01486894953995943,-0.06529724597930908,0.05998921021819115,7.152557657263969e-08,0.007862436585128307,0.38462501764297485,0.0,0.0,0.002549138036556542,0.0,0.0,0.0,28.0
10,0.0,0.0,0.006167675834149122,-0.09612739831209183,0.0999273955821991,0.0,0.0192259568721056,0.30887699127197266,0.0,0.0,0.0020609779749065638,0.0,0.0,0.0,21.0
