opponent,episode,p0,p1,p2,p3
single_only,2000,0.4305,0.1455,0.229,0.195
max_combo,2000,0.2715,0.1835,0.2245,0.3205
random2,2000,0.2815,0.2485,0.248,0.222
single_only,4000,0.522,0.1865,0.202,0.0895
max_combo,4000,0.334,0.2575,0.2105,0.198
random2,4000,0.401,0.3085,0.1965,0.094
single_only,6000,0.565,0.162,0.182,0.091
max_combo,6000,0.378,0.2285,0.191,0.2025
random2,6000,0.424,0.2975,0.191,0.0875
single_only,8000,0.582,0.1425,0.1795,0.096
max_combo,8000,0.3605,0.2185,0.239,0.182
random2,8000,0.3935,0.3045,0.1995,0.1025
single_only,10000,0.6195,0.134,0.1665,0.08
max_combo,10000,0.3865,0.2375,0.205,0.171
random2,10000,0.4215,0.298,0.1945,0.086
single_only,12000,0.6035,0.1325,0.178,0.086
max_combo,12000,0.366,0.226,0.236,0.172
random2,12000,0.437,0.2825,0.1945,0.086
single_only,14000,0.611,0.135,0.1665,0.0875
max_combo,14000,0.347,0.252,0.222,0.179
random2,14000,0.417,0.3075,0.1935,0.082
single_only,16000,0.569,0.159,0.1805,0.0915
max_combo,16000,0.3575,0.243,0.2235,0.176
random2,16000,0.438,0.289,0.1815,0.0915
single_only,18000,0.625,0.124,0.1585,0.0925
max_combo,18000,0.3705,0.253,0.2075,0.169
random2,18000,0.423,0.296,0.19,0.091
single_only,20000,0.623,0.135,0.162,0.08
max_combo,20000,0.352,0.26,0.221,0.167
random2,20000,0.4395,0.275,0.2,0.0855
single_only,22000,0.6055,0.1455,0.16,0.089
max_combo,22000,0.344,0.249,0.2335,0.1735
random2,22000,0.421,0.284,0.196,0.099
single_only,24000,0.56,0.171,0.179,0.09
max_combo,24000,0.339,0.26,0.2435,0.1575
random2,24000,0.4175,0.306,0.19,0.0865
single_only,26000,0.593,0.1495,0.1645,0.093
max_combo,26000,0.373,0.2455,0.219,0.1625
random2,26000,0.4165,0.31,0.1835,0.09
single_only,28000,0.595,0.1425,0.17,0.0925
max_combo,28000,0.363,0.2405,0.2265,0.17
random2,28000,0.407,0.3095,0.202,0.0815
single_only,30000,0.5925,0.1535,0.174,0.08
max_combo,30000,0.3525,0.2625,0.2375,0.1475
random2,30000,0.4075,0.291,0.2055,0.096
single_only,32000,0.614,0.13,0.163,0.093
max_combo,32000,0.3725,0.2515,0.213,0.163
random2,32000,0.4545,0.2755,0.1845,0.0855
single_only,34000,0.5745,0.146,0.185,0.0945
max_combo,34000,0.343,0.2555,0.2215,0.18
random2,34000,0.4025,0.3055,0.197,0.095
single_only,36000,0.608,0.1315,0.168,0.0925
max_combo,36000,0.369,0.241,0.232,0.158
random2,36000,0.4405,0.2795,0.1915,0.0885
single_only,38000,0.6385,0.1285,0.1485,0.0845
max_combo,38000,0.3665,0.241,0.2225,0.17
random2,38000,0.412,0.286,0.2015,0.1005
single_only,40000,0.631,0.123,0.1575,0.0885
max_combo,40000,0.3815,0.2355,0.217,0.166
random2,40000,0.4225,0.295,0.196,0.0865
single_only,42000,0.5975,0.1625,0.156,0.084
max_combo,42000,0.3655,0.25,0.22,0.1645
random2,42000,0.417,0.285,0.2085,0.0895
single_only,44000,0.6015,0.1535,0.162,0.083
max_combo,44000,0.358,0.254,0.227,0.161
random2,44000,0.414,0.314,0.193,0.079
single_only,46000,0.5685,0.1605,0.1925,0.0785
max_combo,46000,0.375,0.2495,0.2125,0.163
random2,46000,0.42,0.3005,0.191,0.0885
single_only,48000,0.5935,0.1565,0.18,0.07
max_combo,48000,0.3605,0.2525,0.2075,0.1795
random2,48000,0.4325,0.2955,0.1765,0.0955
single_only,50000,0.5835,0.1445,0.174,0.098
max_combo,50000,0.363,0.2405,0.221,0.1755
random2,50000,0.4085,0.296,0.201,0.0945
single_only,52000,0.5895,0.1525,0.1825,0.0755
max_combo,52000,0.378,0.223,0.2265,0.1725
random2,52000,0.444,0.29,0.174,0.092
single_only,54000,0.6025,0.14,0.177,0.0805
max_combo,54000,0.376,0.2435,0.228,0.1525
random2,54000,0.4225,0.2965,0.1875,0.0935
single_only,56000,0.6055,0.135,0.167,0.0925
max_combo,56000,0.3705,0.2455,0.221,0.163
random2,56000,0.432,0.3005,0.177,0.0905
single_only,58000,0.586,0.134,0.1885,0.0915
max_combo,58000,0.3655,0.2625,0.214,0.158
random2,58000,0.4145,0.314,0.186,0.0855
single_only,60000,0.573,0.163,0.1735,0.0905
max_combo,60000,0.3415,0.2535,0.2445,0.1605
random2,60000,0.4215,0.292,0.197,0.0895
single_only,62000,0.5695,0.173,0.154,0.1035
max_combo,62000,0.3555,0.2495,0.233,0.162
random2,62000,0.4265,0.3125,0.186,0.075
single_only,64000,0.5855,0.158,0.174,0.0825
max_combo,64000,0.3825,0.2365,0.208,0.173
random2,64000,0.4055,0.31,0.1895,0.095
single_only,66000,0.586,0.151,0.1835,0.0795
max_combo,66000,0.3585,0.251,0.2325,0.158
random2,66000,0.433,0.282,0.1915,0.0935
single_only,68000,0.5875,0.151,0.171,0.0905
max_combo,68000,0.367,0.2475,0.219,0.1665
random2,68000,0.444,0.303,0.1685,0.0845
single_only,70000,0.6,0.1375,0.169,0.0935
max_combo,70000,0.346,0.258,0.2185,0.1775
random2,70000,0.427,0.298,0.1825,0.0925
single_only,72000,0.568,0.1705,0.168,0.0935
max_combo,72000,0.3555,0.26,0.2275,0.157
random2,72000,0.438,0.274,0.1905,0.0975
single_only,74000,0.5945,0.1485,0.1735,0.0835
max_combo,74000,0.3665,0.2475,0.2185,0.1675
random2,74000,0.4295,0.287,0.1975,0.086
single_only,76000,0.592,0.1545,0.1705,0.083
max_combo,76000,0.359,0.235,0.2305,0.1755
random2,76000,0.4255,0.2965,0.1905,0.0875
single_only,78000,0.6,0.149,0.17,0.081
max_combo,78000,0.3615,0.2555,0.216,0.167
random2,78000,0.425,0.2885,0.184,0.1025
single_only,80000,0.619,0.122,0.1755,0.0835
max_combo,80000,0.3775,0.2535,0.2185,0.1505
random2,80000,0.4245,0.2855,0.2045,0.0855
single_only,82000,0.5985,0.147,0.1705,0.084
max_combo,82000,0.3655,0.2635,0.226,0.145
random2,82000,0.417,0.3025,0.1915,0.089
single_only,84000,0.604,0.1445,0.161,0.0905
max_combo,84000,0.38,0.23,0.223,0.167
random2,84000,0.432,0.307,0.176,0.085
single_only,86000,0.602,0.1445,0.166,0.0875
max_combo,86000,0.357,0.2385,0.2335,0.171
random2,86000,0.4395,0.305,0.181,0.0745
single_only,88000,0.6165,0.1435,0.161,0.079
max_combo,88000,0.3705,0.2355,0.2265,0.1675
random2,88000,0.416,0.2985,0.1985,0.087
single_only,90000,0.6305,0.1385,0.154,0.077
max_combo,90000,0.3705,0.242,0.223,0.1645
random2,90000,0.4255,0.299,0.1795,0.096
single_only,92000,0.6245,0.1465,0.1595,0.0695
max_combo,92000,0.392,0.2305,0.216,0.1615
random2,92000,0.428,0.2775,0.186,0.1085
single_only,94000,0.611,0.157,0.16,0.072
max_combo,94000,0.351,0.2575,0.227,0.1645
random2,94000,0.427,0.291,0.184,0.098
single_only,96000,0.586,0.153,0.175,0.086
max_combo,96000,0.35,0.2455,0.235,0.1695
random2,96000,0.424,0.2805,0.1975,0.098
single_only,98000,0.6205,0.128,0.1595,0.092
max_combo,98000,0.3635,0.246,0.2345,0.156
random2,98000,0.4135,0.303,0.2035,0.08
single_only,100000,0.617,0.1545,0.157,0.0715
max_combo,100000,0.357,0.236,0.2375,0.1695
random2,100000,0.4335,0.2905,0.1945,0.0815
