episode,ep_length,ep_env_return,ep_shaping_return,ep_final_bonus
1,38.0,3.0,0.0,0.0
2,33.0,2.0,0.0,0.0
3,29.0,0.0,0.0,0.0
4,33.0,2.0,0.0,0.0
5,30.0,2.0,0.0,0.0
6,32.0,0.0,0.0,0.0
7,35.0,1.0,0.0,0.0
8,36.0,1.0,0.0,0.0
9,33.0,3.0,0.0,0.0
10,30.0,0.0,0.0,0.0
11,34.0,2.0,0.0,0.0
12,31.0,3.0,0.0,0.0
13,36.0,3.0,0.0,0.0
14,33.0,2.0,0.0,0.0
15,33.0,1.0,0.0,0.0
16,34.0,2.0,0.0,0.0
17,34.0,2.0,0.0,0.0
18,41.0,3.0,0.0,0.0
19,34.0,3.0,0.0,0.0
20,36.0,1.0,0.0,0.0
21,32.0,0.0,0.0,0.0
22,34.0,0.0,0.0,0.0
23,38.0,2.0,0.0,0.0
24,29.0,2.0,0.0,0.0
25,31.0,1.0,0.0,0.0
26,37.0,0.0,0.0,0.0
27,28.0,0.0,0.0,0.0
28,34.0,3.0,0.0,0.0
29,36.0,2.0,0.0,0.0
30,35.0,0.0,0.0,0.0
31,27.0,0.0,0.0,0.0
32,38.0,0.0,0.0,0.0
33,33.0,0.0,0.0,0.0
34,27.0,1.0,0.0,0.0
35,28.0,1.0,0.0,0.0
36,30.0,1.0,0.0,0.0
37,39.0,2.0,0.0,0.0
38,39.0,1.0,0.0,0.0
39,31.0,3.0,0.0,0.0
40,28.0,3.0,0.0,0.0
41,24.0,2.0,0.0,0.0
42,28.0,2.0,0.0,0.0
43,40.0,1.0,0.0,0.0
44,38.0,3.0,0.0,0.0
45,45.0,1.0,0.0,0.0
46,26.0,0.0,0.0,0.0
47,32.0,2.0,0.0,0.0
48,29.0,1.0,0.0,0.0
49,36.0,1.0,0.0,0.0
50,30.0,3.0,0.0,0.0
51,33.0,0.0,0.0,0.0
52,35.0,3.0,0.0,0.0
53,35.0,1.0,0.0,0.0
54,34.0,2.0,0.0,0.0
55,30.0,1.0,0.0,0.0
56,40.0,3.0,0.0,0.0
57,34.0,2.0,0.0,0.0
58,31.0,2.0,0.0,0.0
59,37.0,0.0,0.0,0.0
60,34.0,0.0,0.0,0.0
61,37.0,0.0,0.0,0.0
62,17.0,3.0,0.0,0.0
63,44.0,2.0,0.0,0.0
64,26.0,2.0,0.0,0.0
65,43.0,2.0,0.0,0.0
66,30.0,1.0,0.0,0.0
67,23.0,1.0,0.0,0.0
68,27.0,0.0,0.0,0.0
69,32.0,1.0,0.0,0.0
70,23.0,2.0,0.0,0.0
71,26.0,0.0,0.0,0.0
72,38.0,3.0,0.0,0.0
73,32.0,2.0,0.0,0.0
74,28.0,1.0,0.0,0.0
75,36.0,1.0,0.0,0.0
76,28.0,0.0,0.0,0.0
77,38.0,2.0,0.0,0.0
78,38.0,3.0,0.0,0.0
79,25.0,1.0,0.0,0.0
80,29.0,3.0,0.0,0.0
81,33.0,1.0,0.0,0.0
82,31.0,0.0,0.0,0.0
83,27.0,1.0,0.0,0.0
84,27.0,3.0,0.0,0.0
85,36.0,1.0,0.0,0.0
86,33.0,2.0,0.0,0.0
87,27.0,3.0,0.0,0.0
88,35.0,2.0,0.0,0.0
89,38.0,2.0,0.0,0.0
90,25.0,1.0,0.0,0.0
91,32.0,1.0,0.0,0.0
92,29.0,1.0,0.0,0.0
93,33.0,1.0,0.0,0.0
94,28.0,0.0,0.0,0.0
95,27.0,3.0,0.0,0.0
96,31.0,3.0,0.0,0.0
97,29.0,3.0,0.0,0.0
98,27.0,2.0,0.0,0.0
99,40.0,1.0,0.0,0.0
100,30.0,1.0,0.0,0.0
101,38.0,0.0,0.0,0.0
102,35.0,3.0,0.0,0.0
103,36.0,0.0,0.0,0.0
104,32.0,0.0,0.0,0.0
105,29.0,0.0,0.0,0.0
106,34.0,0.0,0.0,0.0
107,20.0,0.0,0.0,0.0
108,31.0,3.0,0.0,0.0
109,31.0,0.0,0.0,0.0
110,37.0,1.0,0.0,0.0
111,26.0,0.0,0.0,0.0
112,33.0,2.0,0.0,0.0
113,29.0,1.0,0.0,0.0
114,24.0,1.0,0.0,0.0
115,36.0,0.0,0.0,0.0
116,31.0,0.0,0.0,0.0
117,24.0,0.0,0.0,0.0
118,32.0,1.0,0.0,0.0
119,28.0,1.0,0.0,0.0
120,28.0,0.0,0.0,0.0
121,26.0,0.0,0.0,0.0
122,23.0,2.0,0.0,0.0
123,33.0,0.0,0.0,0.0
124,20.0,0.0,0.0,0.0
125,30.0,0.0,0.0,0.0
126,29.0,0.0,0.0,0.0
127,23.0,3.0,0.0,0.0
128,29.0,0.0,0.0,0.0
129,22.0,3.0,0.0,0.0
130,30.0,3.0,0.0,0.0
131,36.0,1.0,0.0,0.0
132,23.0,3.0,0.0,0.0
133,40.0,2.0,0.0,0.0
134,29.0,3.0,0.0,0.0
135,28.0,3.0,0.0,0.0
136,35.0,1.0,0.0,0.0
137,23.0,2.0,0.0,0.0
138,32.0,3.0,0.0,0.0
139,34.0,0.0,0.0,0.0
140,30.0,2.0,0.0,0.0
141,33.0,3.0,0.0,0.0
142,37.0,1.0,0.0,0.0
143,25.0,2.0,0.0,0.0
144,29.0,2.0,0.0,0.0
145,26.0,2.0,0.0,0.0
146,28.0,2.0,0.0,0.0
147,27.0,3.0,0.0,0.0
148,34.0,2.0,0.0,0.0
149,27.0,2.0,0.0,0.0
150,26.0,3.0,0.0,0.0
151,31.0,0.0,0.0,0.0
152,31.0,0.0,0.0,0.0
153,24.0,1.0,0.0,0.0
154,41.0,2.0,0.0,0.0
155,26.0,2.0,0.0,0.0
156,30.0,2.0,0.0,0.0
157,22.0,0.0,0.0,0.0
158,33.0,1.0,0.0,0.0
159,30.0,0.0,0.0,0.0
160,40.0,2.0,0.0,0.0
161,22.0,1.0,0.0,0.0
162,35.0,0.0,0.0,0.0
163,26.0,2.0,0.0,0.0
164,37.0,2.0,0.0,0.0
165,24.0,3.0,0.0,0.0
166,26.0,1.0,0.0,0.0
167,31.0,0.0,0.0,0.0
168,21.0,1.0,0.0,0.0
169,37.0,0.0,0.0,0.0
170,26.0,0.0,0.0,0.0
171,30.0,3.0,0.0,0.0
172,40.0,3.0,0.0,0.0
173,32.0,2.0,0.0,0.0
174,38.0,1.0,0.0,0.0
175,30.0,1.0,0.0,0.0
176,26.0,1.0,0.0,0.0
177,33.0,3.0,0.0,0.0
178,22.0,3.0,0.0,0.0
179,22.0,1.0,0.0,0.0
180,36.0,2.0,0.0,0.0
181,36.0,3.0,0.0,0.0
182,27.0,0.0,0.0,0.0
183,32.0,1.0,0.0,0.0
184,27.0,0.0,0.0,0.0
185,29.0,3.0,0.0,0.0
186,37.0,2.0,0.0,0.0
187,25.0,0.0,0.0,0.0
