opponent,episode,p0,p1,p2,p3
single_only,500,0.1185,0.27,0.3595,0.252
max_combo,500,0.03,0.0905,0.255,0.6245
random2,500,0.2495,0.3255,0.2775,0.1475
single_only,1000,0.5995,0.227,0.116,0.0575
max_combo,1000,0.158,0.1735,0.2445,0.424
random2,1000,0.5365,0.2585,0.1385,0.0665
single_only,1500,0.7175,0.159,0.0845,0.039
max_combo,1500,0.1865,0.184,0.259,0.3705
random2,1500,0.5935,0.252,0.113,0.0415
single_only,2000,0.8125,0.103,0.0595,0.025
max_combo,2000,0.213,0.2165,0.263,0.3075
random2,2000,0.602,0.2425,0.11,0.0455
single_only,2500,0.8115,0.118,0.053,0.0175
max_combo,2500,0.1995,0.208,0.2435,0.349
random2,2500,0.607,0.2355,0.113,0.0445
single_only,3000,0.806,0.114,0.061,0.019
max_combo,3000,0.209,0.2045,0.2575,0.329
random2,3000,0.6355,0.239,0.0885,0.037
single_only,3500,0.8115,0.104,0.0605,0.024
max_combo,3500,0.2525,0.2165,0.236,0.295
random2,3500,0.635,0.2435,0.0865,0.035
single_only,4000,0.867,0.0885,0.0305,0.014
max_combo,4000,0.2255,0.232,0.253,0.2895
random2,4000,0.631,0.24,0.0855,0.0435
single_only,4500,0.8655,0.077,0.0425,0.015
max_combo,4500,0.226,0.229,0.2545,0.2905
random2,4500,0.6505,0.225,0.0885,0.036
single_only,5000,0.842,0.1075,0.038,0.0125
max_combo,5000,0.233,0.219,0.2635,0.2845
random2,5000,0.673,0.2065,0.0925,0.028
single_only,5500,0.8125,0.1265,0.0445,0.0165
max_combo,5500,0.2175,0.239,0.2635,0.28
random2,5500,0.6505,0.2105,0.1045,0.0345
single_only,6000,0.784,0.1385,0.058,0.0195
max_combo,6000,0.235,0.217,0.2515,0.2965
random2,6000,0.6385,0.237,0.09,0.0345
single_only,6500,0.827,0.113,0.045,0.015
max_combo,6500,0.201,0.223,0.2535,0.3225
random2,6500,0.6385,0.226,0.099,0.0365
single_only,7000,0.825,0.109,0.052,0.014
max_combo,7000,0.206,0.213,0.273,0.308
random2,7000,0.64,0.2425,0.0895,0.028
single_only,7500,0.7845,0.1325,0.0625,0.0205
max_combo,7500,0.2285,0.217,0.2775,0.277
random2,7500,0.6405,0.23,0.095,0.0345
single_only,8000,0.7555,0.146,0.068,0.0305
max_combo,8000,0.231,0.2195,0.2495,0.3
random2,8000,0.64,0.2255,0.0985,0.036
single_only,8500,0.729,0.152,0.087,0.032
max_combo,8500,0.2395,0.238,0.2425,0.28
random2,8500,0.636,0.24,0.091,0.033
single_only,9000,0.796,0.122,0.057,0.025
max_combo,9000,0.2555,0.2225,0.238,0.284
random2,9000,0.637,0.2395,0.0955,0.028
single_only,9500,0.7935,0.1215,0.0595,0.0255
max_combo,9500,0.2335,0.2485,0.2455,0.2725
random2,9500,0.663,0.221,0.0835,0.0325
single_only,10000,0.762,0.1295,0.084,0.0245
max_combo,10000,0.2375,0.2415,0.2605,0.2605
random2,10000,0.642,0.238,0.092,0.028
single_only,10500,0.763,0.137,0.072,0.028
max_combo,10500,0.2265,0.2315,0.2525,0.2895
random2,10500,0.628,0.2435,0.1015,0.027
single_only,11000,0.78,0.1295,0.07,0.0205
max_combo,11000,0.251,0.2475,0.227,0.2745
random2,11000,0.6505,0.227,0.0845,0.038
single_only,11500,0.774,0.1385,0.0615,0.026
max_combo,11500,0.2265,0.2555,0.271,0.247
random2,11500,0.666,0.2155,0.086,0.0325
single_only,12000,0.795,0.1255,0.055,0.0245
max_combo,12000,0.2385,0.215,0.253,0.2935
random2,12000,0.6535,0.2135,0.0965,0.0365
single_only,12500,0.819,0.101,0.058,0.022
max_combo,12500,0.233,0.2315,0.2585,0.277
random2,12500,0.668,0.2185,0.0835,0.03
single_only,13000,0.8285,0.0965,0.052,0.023
max_combo,13000,0.24,0.225,0.256,0.279
random2,13000,0.646,0.243,0.0805,0.0305
single_only,13500,0.7885,0.1215,0.0625,0.0275
max_combo,13500,0.2345,0.2345,0.2675,0.2635
random2,13500,0.6545,0.224,0.083,0.0385
single_only,14000,0.7625,0.144,0.0685,0.025
max_combo,14000,0.257,0.2225,0.246,0.2745
random2,14000,0.668,0.2255,0.0765,0.03
single_only,14500,0.773,0.145,0.069,0.013
max_combo,14500,0.227,0.2345,0.2645,0.274
random2,14500,0.6735,0.22,0.074,0.0325
single_only,15000,0.8105,0.1235,0.053,0.013
max_combo,15000,0.2385,0.2395,0.2455,0.2765
random2,15000,0.6645,0.222,0.0845,0.029
single_only,15500,0.754,0.151,0.077,0.018
max_combo,15500,0.241,0.224,0.2445,0.2905
random2,15500,0.664,0.2195,0.0875,0.029
single_only,16000,0.822,0.1005,0.0605,0.017
max_combo,16000,0.2585,0.2315,0.2505,0.2595
