opponent,episode,p0,p1,p2,p3
single_only,10000,0.8465,0.103,0.036,0.0145
max_combo,10000,0.236,0.2585,0.2635,0.242
random2,10000,0.6575,0.211,0.0805,0.051
single_only,20000,0.862,0.083,0.0315,0.0235
max_combo,20000,0.3145,0.2715,0.229,0.185
random2,20000,0.6825,0.222,0.06,0.0355
single_only,30000,0.837,0.124,0.027,0.012
max_combo,30000,0.3135,0.2625,0.237,0.187
random2,30000,0.7155,0.1985,0.0625,0.0235
single_only,40000,0.863,0.1095,0.022,0.0055
max_combo,40000,0.36,0.2885,0.219,0.1325
random2,40000,0.776,0.177,0.0405,0.0065
single_only,50000,0.7365,0.2095,0.051,0.003
max_combo,50000,0.379,0.3325,0.1955,0.093
random2,50000,0.747,0.207,0.0405,0.0055
single_only,60000,0.8585,0.097,0.0375,0.007
max_combo,60000,0.3775,0.3105,0.191,0.121
random2,60000,0.7735,0.17,0.041,0.0155
single_only,70000,0.763,0.162,0.0655,0.0095
max_combo,70000,0.3555,0.3385,0.213,0.093
random2,70000,0.751,0.2,0.0405,0.0085
single_only,80000,0.692,0.246,0.053,0.009
max_combo,80000,0.3935,0.34,0.182,0.0845
random2,80000,0.7705,0.2005,0.025,0.004
single_only,90000,0.834,0.1115,0.049,0.0055
max_combo,90000,0.407,0.3155,0.2,0.0775
random2,90000,0.7455,0.2035,0.0425,0.0085
single_only,100000,0.8,0.138,0.057,0.005
max_combo,100000,0.3935,0.312,0.1965,0.098
random2,100000,0.778,0.182,0.0355,0.0045
single_only,110000,0.8505,0.1105,0.0345,0.0045
max_combo,110000,0.408,0.3105,0.1815,0.1
random2,110000,0.787,0.1745,0.033,0.0055
single_only,120000,0.742,0.1715,0.0715,0.015
max_combo,120000,0.411,0.3215,0.1755,0.092
random2,120000,0.751,0.1985,0.0415,0.009
single_only,130000,0.783,0.1455,0.0625,0.009
max_combo,130000,0.412,0.3235,0.188,0.0765
random2,130000,0.7895,0.1725,0.032,0.006
single_only,140000,0.787,0.1485,0.055,0.0095
max_combo,140000,0.44,0.3175,0.166,0.0765
random2,140000,0.7865,0.1785,0.029,0.006
single_only,150000,0.803,0.117,0.0685,0.0115
max_combo,150000,0.422,0.316,0.18,0.082
random2,150000,0.7775,0.174,0.0415,0.007
single_only,160000,0.7315,0.1605,0.1,0.008
max_combo,160000,0.41,0.3145,0.1865,0.089
random2,160000,0.7515,0.1915,0.052,0.005
single_only,170000,0.771,0.154,0.0665,0.0085
max_combo,170000,0.439,0.323,0.1655,0.0725
random2,170000,0.761,0.19,0.0425,0.0065
single_only,180000,0.7865,0.157,0.0515,0.005
max_combo,180000,0.4705,0.277,0.163,0.0895
random2,180000,0.8005,0.1585,0.0345,0.0065
single_only,190000,0.7945,0.1405,0.057,0.008
max_combo,190000,0.4145,0.3395,0.162,0.084
random2,190000,0.7645,0.176,0.0535,0.006
single_only,200000,0.7665,0.165,0.063,0.0055
max_combo,200000,0.4615,0.309,0.1595,0.07
random2,200000,0.8,0.1555,0.039,0.0055
single_only,210000,0.778,0.1405,0.0705,0.011
max_combo,210000,0.4305,0.3045,0.184,0.081
random2,210000,0.8035,0.1565,0.03,0.01
single_only,220000,0.742,0.1675,0.0765,0.014
