episode,wall_s,steps,p0_transitions,train_calls,epsilon
1,0.001664,86,25,25,1.0
2,0.002169,77,22,22,1.0
3,0.053771,85,25,25,0.9558895783575597
4,0.041509,74,23,23,0.851801859600347
5,0.030182,85,21,21,0.7666961448653229
6,0.036221,88,28,28,0.6662995813682115
7,0.033925,88,26,26,0.5848838636585911
8,0.027451,85,19,19,0.531750826943791
9,0.030991,75,23,23,0.4738479773082268
10,0.032113,79,26,26,0.4159480862733536
11,0.028568,92,25,25,0.3669578217261671
12,0.022528,73,20,20,0.33195389135223546
13,0.019374,82,17,17,0.30483872516307353
14,0.022466,74,20,20,0.2757603055760701
15,0.026684,78,24,24,0.24450384299593592
16,0.028796,83,26,26,0.21462770857094118
17,0.025166,78,23,23,0.1912566947289212
18,0.024874,79,23,23,0.17043057265153258
19,0.028587,86,26,26,0.14960551470448571
20,0.016812,76,15,15,0.138769433003975
21,0.026571,79,24,24,0.12304040492325048
22,0.026925,71,22,22,0.11019338598389174
23,0.030486,71,23,23,0.1
24,0.027176,83,20,20,0.1
25,0.027912,73,21,21,0.1
26,0.028466,77,25,25,0.1
27,0.021011,82,19,19,0.1
28,0.026032,76,23,23,0.1
29,0.027183,67,24,24,0.1
30,0.028297,73,25,25,0.1
31,0.027076,84,24,24,0.1
32,0.025887,89,23,23,0.1
33,0.029377,83,26,26,0.1
34,0.029553,74,26,26,0.1
35,0.027223,91,24,24,0.1
36,0.029703,87,26,26,0.1
37,0.026067,92,22,22,0.1
38,0.028373,79,25,25,0.1
39,0.026441,73,23,23,0.1
40,0.026312,80,22,22,0.1
41,0.032037,88,26,26,0.1
42,0.026483,71,23,23,0.1
43,0.031762,83,27,27,0.1
44,0.032185,85,26,26,0.1
45,0.029935,77,25,25,0.1
46,0.027731,86,24,24,0.1
47,0.030586,78,24,24,0.1
48,0.038614,77,26,26,0.1
49,0.030535,78,22,22,0.1
50,0.035318,81,25,25,0.1
51,0.028845,76,21,21,0.1
52,0.038621,81,28,28,0.1
53,0.039414,87,24,24,0.1
