episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
500,27,0.013817594153806567,0.011940115597099066,0.0,0.0,0.0,7.191130000166595
1000,25,0.0146620599552989,0.012826668797060847,0.0,0.0,0.0,13.647679079091176
1500,29,0.015438521979376674,0.01312436512671411,0.0,0.0,0.0,19.48724626819603
2000,23,0.019126262981444597,0.01696100435219705,0.0,0.0,0.0,24.837297790218145
2500,27,0.01645160000771284,0.014614519663155079,0.0,0.0,0.0,30.505947903031483
3000,26,0.012815805152058601,0.011137166991829872,0.0,0.0,0.0,36.18390154512599
3500,27,0.015404572011902928,0.013288246002048254,0.0,0.0,0.0,42.234989676158875
4000,26,0.0071356939151883125,0.005916257854551077,0.0,0.0,0.0,47.968446486163884
4500,29,0.010408718837425113,0.00869216793216765,0.0,0.0,0.0,54.03608369408175
5000,27,8.45016571204178,0.006906368304044008,6.8449140440206975,1.5913213570602238,0.0055155770387500525,68.47656935313717
