opponent,episode,p0,p1,p2,p3
single_only,10000,0.8775,0.0905,0.0225,0.0095
max_combo,10000,0.318,0.3075,0.221,0.1535
random2,10000,0.7695,0.1615,0.0515,0.0175
single_only,20000,0.824,0.145,0.023,0.008
max_combo,20000,0.335,0.3255,0.2135,0.126
random2,20000,0.7565,0.177,0.0435,0.023
single_only,30000,0.891,0.0795,0.026,0.0035
max_combo,30000,0.3415,0.317,0.2195,0.122
random2,30000,0.7375,0.2005,0.0495,0.0125
single_only,40000,0.8215,0.119,0.0545,0.005
max_combo,40000,0.3825,0.3005,0.2235,0.0935
random2,40000,0.755,0.1945,0.041,0.0095
single_only,50000,0.841,0.0975,0.0495,0.012
max_combo,50000,0.353,0.324,0.2095,0.1135
random2,50000,0.753,0.1965,0.04,0.0105
single_only,60000,0.805,0.131,0.06,0.004
max_combo,60000,0.367,0.322,0.2085,0.1025
random2,60000,0.7305,0.22,0.044,0.0055
single_only,70000,0.875,0.0905,0.032,0.0025
max_combo,70000,0.3675,0.3395,0.1985,0.0945
random2,70000,0.769,0.192,0.0345,0.0045
single_only,80000,0.794,0.1525,0.0505,0.003
max_combo,80000,0.376,0.3105,0.211,0.1025
random2,80000,0.724,0.225,0.0445,0.0065
single_only,90000,0.868,0.096,0.03,0.006
max_combo,90000,0.394,0.3135,0.1885,0.104
random2,90000,0.7615,0.181,0.045,0.0125
single_only,100000,0.858,0.0815,0.0545,0.006
max_combo,100000,0.387,0.3155,0.2115,0.086
random2,100000,0.7575,0.1915,0.0445,0.0065
single_only,110000,0.729,0.17,0.0875,0.0135
max_combo,110000,0.377,0.327,0.202,0.094
random2,110000,0.7105,0.2285,0.057,0.004
single_only,120000,0.842,0.0975,0.0495,0.011
max_combo,120000,0.4215,0.2995,0.176,0.103
random2,120000,0.754,0.187,0.0495,0.0095
single_only,130000,0.703,0.204,0.081,0.012
max_combo,130000,0.369,0.3195,0.2145,0.097
random2,130000,0.6795,0.2405,0.07,0.01
single_only,140000,0.7945,0.1355,0.0615,0.0085
max_combo,140000,0.393,0.3285,0.1965,0.082
random2,140000,0.724,0.2125,0.055,0.0085
single_only,150000,0.7805,0.151,0.0585,0.01
max_combo,150000,0.4075,0.2955,0.197,0.1
random2,150000,0.7575,0.179,0.053,0.0105
single_only,160000,0.7795,0.1525,0.063,0.005
max_combo,160000,0.411,0.29,0.1975,0.1015
random2,160000,0.734,0.22,0.042,0.004
single_only,170000,0.7745,0.1445,0.063,0.018
max_combo,170000,0.425,0.302,0.1875,0.0855
random2,170000,0.763,0.1955,0.037,0.0045
single_only,180000,0.7875,0.136,0.068,0.0085
max_combo,180000,0.4345,0.3325,0.1485,0.0845
random2,180000,0.7695,0.1845,0.0375,0.0085
single_only,190000,0.783,0.1515,0.0555,0.01
max_combo,190000,0.4795,0.3035,0.141,0.076
random2,190000,0.8045,0.152,0.0355,0.008
single_only,200000,0.814,0.1215,0.054,0.0105
max_combo,200000,0.4075,0.2995,0.187,0.106
random2,200000,0.739,0.2065,0.0425,0.012
single_only,210000,0.8395,0.115,0.042,0.0035
max_combo,210000,0.445,0.292,0.168,0.095
random2,210000,0.7685,0.1815,0.039,0.011
single_only,220000,0.8235,0.1155,0.0475,0.0135
max_combo,220000,0.447,0.302,0.1655,0.0855
random2,220000,0.7975,0.158,0.0385,0.006
single_only,230000,0.8275,0.098,0.07,0.0045
max_combo,230000,0.415,0.302,0.192,0.091
random2,230000,0.7515,0.184,0.055,0.0095
single_only,240000,0.772,0.154,0.0655,0.0085
max_combo,240000,0.47,0.298,0.1535,0.0785
random2,240000,0.772,0.1925,0.0295,0.006
single_only,250000,0.7885,0.125,0.0705,0.016
max_combo,250000,0.456,0.2965,0.1845,0.063
random2,250000,0.7805,0.177,0.038,0.0045
single_only,260000,0.7775,0.1555,0.0605,0.0065
max_combo,260000,0.421,0.3255,0.176,0.0775
random2,260000,0.7625,0.1945,0.039,0.004
single_only,270000,0.8185,0.137,0.0405,0.004
max_combo,270000,0.465,0.2835,0.159,0.0925
random2,270000,0.784,0.1785,0.032,0.0055
single_only,280000,0.597,0.323,0.072,0.008
max_combo,280000,0.4455,0.325,0.1635,0.066
random2,280000,0.729,0.23,0.0375,0.0035
single_only,290000,0.695,0.215,0.0855,0.0045
max_combo,290000,0.406,0.3395,0.189,0.0655
random2,290000,0.7745,0.179,0.0435,0.003
single_only,300000,0.865,0.0985,0.033,0.0035
max_combo,300000,0.4155,0.328,0.1735,0.083
random2,300000,0.798,0.158,0.0355,0.0085
single_only,310000,0.7325,0.215,0.0435,0.009
max_combo,310000,0.458,0.321,0.167,0.054
random2,310000,0.791,0.181,0.026,0.002
single_only,320000,0.7135,0.2105,0.069,0.007
max_combo,320000,0.45,0.309,0.1655,0.0755
random2,320000,0.769,0.19,0.035,0.006
single_only,330000,0.758,0.169,0.0625,0.0105
max_combo,330000,0.4295,0.313,0.184,0.0735
random2,330000,0.781,0.186,0.0275,0.0055
single_only,340000,0.7105,0.1795,0.103,0.007
max_combo,340000,0.424,0.3285,0.1755,0.072
random2,340000,0.724,0.226,0.0465,0.0035
single_only,350000,0.686,0.2475,0.06,0.0065
max_combo,350000,0.4295,0.3415,0.1785,0.0505
random2,350000,0.7575,0.2055,0.0325,0.0045
single_only,360000,0.813,0.139,0.0395,0.0085
max_combo,360000,0.473,0.282,0.1695,0.0755
random2,360000,0.8375,0.1375,0.0205,0.0045
