opponent,episode,p0,p1,p2,p3
single_only,10000,0.7525,0.172,0.0635,0.012
max_combo,10000,0.5285,0.279,0.136,0.0565
random2,10000,0.7925,0.1605,0.0395,0.0075
single_only,20000,0.806,0.1375,0.043,0.0135
max_combo,20000,0.6145,0.2465,0.0895,0.0495
random2,20000,0.849,0.1245,0.0205,0.006
single_only,30000,0.851,0.111,0.0345,0.0035
max_combo,30000,0.607,0.249,0.1055,0.0385
random2,30000,0.846,0.1315,0.0185,0.004
single_only,40000,0.8325,0.1295,0.031,0.007
max_combo,40000,0.63,0.226,0.099,0.045
random2,40000,0.873,0.112,0.0125,0.0025
single_only,50000,0.8515,0.118,0.022,0.0085
max_combo,50000,0.6285,0.23,0.0925,0.049
random2,50000,0.8635,0.1125,0.0215,0.0025
single_only,60000,0.782,0.1655,0.0445,0.008
max_combo,60000,0.6315,0.2285,0.096,0.044
random2,60000,0.8255,0.1475,0.0235,0.0035
single_only,70000,0.8605,0.1095,0.027,0.003
max_combo,70000,0.627,0.2375,0.0875,0.048
random2,70000,0.847,0.1295,0.019,0.0045
single_only,80000,0.8485,0.12,0.026,0.0055
max_combo,80000,0.646,0.2255,0.0885,0.04
random2,80000,0.872,0.109,0.0125,0.0065
single_only,90000,0.851,0.1145,0.028,0.0065
max_combo,90000,0.6455,0.2235,0.0875,0.0435
random2,90000,0.8665,0.108,0.023,0.0025
single_only,100000,0.8125,0.1605,0.023,0.004
max_combo,100000,0.6525,0.2255,0.0765,0.0455
random2,100000,0.85,0.1315,0.015,0.0035
single_only,110000,0.845,0.115,0.032,0.008
max_combo,110000,0.642,0.237,0.08,0.041
random2,110000,0.8485,0.1265,0.0215,0.0035
single_only,120000,0.8535,0.1175,0.023,0.006
max_combo,120000,0.6605,0.221,0.084,0.0345
random2,120000,0.8475,0.1315,0.0175,0.0035
single_only,130000,0.8465,0.1265,0.022,0.005
max_combo,130000,0.6405,0.2325,0.09,0.037
random2,130000,0.8605,0.1215,0.0155,0.0025
single_only,140000,0.855,0.1165,0.0235,0.005
max_combo,140000,0.652,0.2145,0.088,0.0455
random2,140000,0.8435,0.127,0.0255,0.004
single_only,150000,0.85,0.1155,0.032,0.0025
max_combo,150000,0.669,0.224,0.071,0.036
random2,150000,0.871,0.112,0.0115,0.0055
single_only,160000,0.857,0.1145,0.0205,0.008
max_combo,160000,0.649,0.221,0.0865,0.0435
random2,160000,0.873,0.1035,0.02,0.0035
single_only,170000,0.8715,0.0965,0.028,0.004
max_combo,170000,0.655,0.233,0.077,0.035
random2,170000,0.8695,0.1145,0.0125,0.0035
single_only,180000,0.869,0.109,0.021,0.001
max_combo,180000,0.6775,0.222,0.068,0.0325
random2,180000,0.8765,0.101,0.0185,0.004
single_only,190000,0.826,0.135,0.0325,0.0065
