episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon
1,108.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
2,114.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9718981384415531
3,100.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9431699623912897
4,101.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9150163704498956
5,118.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8831867253674885
6,104.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8560527211033045
7,113.0,2.0,0.0,0.0,1.5,0.0,0.0,0.827514705675091
8,95.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8042600019786307
9,116.0,3.0,0.0,0.0,1.5,0.0,0.0,0.776749093633716
10,117.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7499541830136756
11,99.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7280048130141693
12,122.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7018376913289522
13,120.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6770172599066591
14,130.0,0.0,0.0,0.0,1.5,0.0,0.0,0.6511180200060196
15,126.0,0.0,0.0,0.0,1.5,0.0,0.0,0.6269615688003524
16,129.0,0.0,0.0,0.0,1.5,0.0,0.0,0.60315815271446
17,109.0,0.0,0.0,0.0,1.5,0.0,0.0,0.583751006297988
18,103.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5659863135509104
19,118.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5462979843978841
20,122.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5266620622465696
21,106.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5101752651255276
22,113.0,0.0,0.0,0.0,1.5,0.0,0.0,0.4931676799285771
23,114.0,1.0,0.0,0.0,1.5,0.0,0.0,0.47658405422331335
24,115.0,3.0,0.0,0.0,1.5,0.0,0.0,0.4604199145097923
25,104.0,3.0,0.0,0.0,1.5,0.0,0.0,0.44627450724223433
26,101.0,2.0,0.0,0.0,1.5,0.0,0.0,0.4329532280754449
27,110.0,0.0,0.0,0.0,1.5,0.0,0.0,0.41889686870210374
28,115.0,3.0,0.0,0.0,1.5,0.0,0.0,0.40468928569286483
29,143.0,1.0,0.0,0.0,1.5,0.0,0.0,0.38769274847931556
30,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.3744311419799711
31,124.0,3.0,0.0,0.0,1.5,0.0,0.0,0.3607561835747296
32,148.0,0.0,0.0,0.0,1.5,0.0,0.0,0.3450866956013649
33,122.0,2.0,0.0,0.0,1.5,0.0,0.0,0.3326830337102248
34,118.0,1.0,0.0,0.0,1.5,0.0,0.0,0.3211103632860569
35,99.0,3.0,0.0,0.0,1.5,0.0,0.0,0.3117122289278771
36,102.0,2.0,0.0,0.0,1.5,0.0,0.0,0.30231690699500635
37,105.0,3.0,0.0,0.0,1.5,0.0,0.0,0.29294096443500883
38,101.0,2.0,0.0,0.0,1.5,0.0,0.0,0.28419668641038687
39,113.0,2.0,0.0,0.0,1.5,0.0,0.0,0.27472249256520637
40,124.0,2.0,0.0,0.0,1.5,0.0,0.0,0.2646890892565297
41,130.0,0.0,0.0,0.0,1.5,0.0,0.0,0.25456342979744623
42,104.0,1.0,0.0,0.0,1.5,0.0,0.0,0.24674251832852068
43,99.0,1.0,0.0,0.0,1.5,0.0,0.0,0.23952095339552804
44,110.0,2.0,0.0,0.0,1.5,0.0,0.0,0.2317446108715588
45,92.0,0.0,0.0,0.0,1.5,0.0,0.0,0.22543498652644414
46,109.0,1.0,0.0,0.0,1.5,0.0,0.0,0.21818141667710267
47,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.21071819714361767
48,94.0,0.0,0.0,0.0,1.5,0.0,0.0,0.20485808096393135
49,118.0,0.0,0.0,0.0,1.5,0.0,0.0,0.19773191336745558
50,104.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1916570274725783
51,125.0,2.0,0.0,0.0,1.5,0.0,0.0,0.18460194038199423
52,108.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1787158246132025
53,109.0,3.0,0.0,0.0,1.5,0.0,0.0,0.17296548507190673
54,128.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1664485587431869
55,119.0,0.0,0.0,0.0,1.5,0.0,0.0,0.16061030243536933
56,108.0,2.0,0.0,0.0,1.5,0.0,0.0,0.15548917081649796
57,123.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1498553584729925
58,114.0,2.0,0.0,0.0,1.5,0.0,0.0,0.14481620997241731
59,131.0,3.0,0.0,0.0,1.5,0.0,0.0,0.13923449482195185
60,99.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1351594332878454
61,111.0,2.0,0.0,0.0,1.5,0.0,0.0,0.13073208455429805
62,109.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1265256642400609
63,116.0,3.0,0.0,0.0,1.5,0.0,0.0,0.12219766590168236
64,102.0,3.0,0.0,0.0,1.5,0.0,0.0,0.11851450462648812
65,106.0,1.0,0.0,0.0,1.5,0.0,0.0,0.11480448878569852
66,123.0,0.0,0.0,0.0,1.5,0.0,0.0,0.11064479751836259
67,117.0,0.0,0.0,0.0,1.5,0.0,0.0,0.10682796981379744
68,96.0,1.0,0.0,0.0,1.5,0.0,0.0,0.10379475722402148
69,110.0,1.0,0.0,0.0,1.5,0.0,0.0,0.10042493269333264
70,102.0,1.0,0.0,0.0,1.5,0.0,0.0,0.09739802362407368
71,117.0,2.0,0.0,0.0,1.5,0.0,0.0,0.09403815959723984
72,142.0,0.0,0.0,0.0,1.5,0.0,0.0,0.09011568751991066
73,100.0,1.0,0.0,0.0,1.5,0.0,0.0,0.08745197284286255
74,122.0,1.0,0.0,0.0,1.5,0.0,0.0,0.08430863316421817
75,98.0,3.0,0.0,0.0,1.5,0.0,0.0,0.08186568028501791
76,116.0,0.0,0.0,0.0,1.5,0.0,0.0,0.07906534305405472
77,103.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0766592289555027
78,115.0,0.0,0.0,0.0,1.5,0.0,0.0,0.07405920388922776
79,99.0,0.0,0.0,0.0,1.5,0.0,0.0,0.07189166765187882
80,68.0,0.0,0.0,0.0,1.5,0.0,0.0,0.07043972005498597
81,116.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0680302247704926
82,98.0,0.0,0.0,0.0,1.5,0.0,0.0,0.06605896005846724
83,86.0,0.0,0.0,0.0,1.5,0.0,0.0,0.06437618758177174
84,113.0,1.0,0.0,0.0,1.5,0.0,0.0,0.06223009471958158
85,92.0,3.0,0.0,0.0,1.5,0.0,0.0,0.060535779071141015
86,116.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05846506280337064
87,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05646517846222944
88,110.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05463196695327951
89,114.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05279487152231627
90,121.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05091250695830518
91,120.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
92,118.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
93,119.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
94,113.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
95,95.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
96,95.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
97,95.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
98,113.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
99,104.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
100,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
101,120.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
102,91.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
103,110.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
104,92.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
105,118.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
106,112.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
107,116.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
108,101.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
109,125.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
110,95.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
111,113.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
112,104.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
113,89.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
