opponent,episode,p0,p1,p2,p3
single_only,2000,0.537,0.1295,0.199,0.1345
max_combo,2000,0.2675,0.2335,0.2385,0.2605
random2,2000,0.2995,0.2915,0.24,0.169
single_only,4000,0.5375,0.157,0.1955,0.11
max_combo,4000,0.2855,0.2625,0.23,0.222
random2,4000,0.3595,0.285,0.218,0.1375
single_only,6000,0.55,0.1385,0.1885,0.123
max_combo,6000,0.3145,0.245,0.21,0.2305
random2,6000,0.3485,0.268,0.224,0.1595
single_only,8000,0.531,0.1805,0.1695,0.119
max_combo,8000,0.284,0.247,0.2235,0.2455
random2,8000,0.3535,0.2875,0.21,0.149
single_only,10000,0.508,0.1815,0.2,0.1105
max_combo,10000,0.3045,0.2545,0.2435,0.1975
random2,10000,0.366,0.3065,0.2085,0.119
single_only,12000,0.487,0.156,0.2215,0.1355
max_combo,12000,0.3125,0.2575,0.224,0.206
random2,12000,0.3305,0.286,0.2525,0.131
single_only,14000,0.5175,0.173,0.194,0.1155
max_combo,14000,0.287,0.24,0.2525,0.2205
random2,14000,0.363,0.284,0.215,0.138
single_only,16000,0.509,0.179,0.205,0.107
max_combo,16000,0.2835,0.2715,0.234,0.211
random2,16000,0.3275,0.319,0.213,0.1405
single_only,18000,0.515,0.1525,0.2115,0.121
max_combo,18000,0.286,0.26,0.254,0.2
random2,18000,0.354,0.314,0.224,0.108
single_only,20000,0.4905,0.1785,0.1995,0.1315
max_combo,20000,0.304,0.261,0.217,0.218
random2,20000,0.3485,0.303,0.203,0.1455
single_only,22000,0.4945,0.188,0.193,0.1245
max_combo,22000,0.2915,0.2425,0.2485,0.2175
random2,22000,0.349,0.273,0.2285,0.1495
single_only,24000,0.4515,0.168,0.236,0.1445
max_combo,24000,0.2925,0.266,0.221,0.2205
random2,24000,0.331,0.2895,0.242,0.1375
single_only,26000,0.532,0.1615,0.2125,0.094
max_combo,26000,0.3215,0.255,0.213,0.2105
random2,26000,0.3845,0.293,0.205,0.1175
single_only,28000,0.4955,0.17,0.2235,0.111
max_combo,28000,0.304,0.275,0.229,0.192
random2,28000,0.37,0.2955,0.2175,0.117
single_only,30000,0.553,0.1455,0.1935,0.108
max_combo,30000,0.3425,0.2425,0.219,0.196
random2,30000,0.361,0.286,0.2165,0.1365
single_only,32000,0.6015,0.1275,0.1565,0.1145
max_combo,32000,0.3305,0.2425,0.2285,0.1985
random2,32000,0.353,0.278,0.222,0.147
single_only,34000,0.4955,0.18,0.2085,0.116
max_combo,34000,0.3,0.2685,0.226,0.2055
random2,34000,0.35,0.3205,0.2,0.1295
single_only,36000,0.5305,0.1575,0.196,0.116
max_combo,36000,0.314,0.248,0.234,0.204
random2,36000,0.3645,0.2875,0.216,0.132
single_only,38000,0.54,0.1545,0.203,0.1025
max_combo,38000,0.337,0.247,0.2275,0.1885
random2,38000,0.3765,0.281,0.2055,0.137
single_only,40000,0.492,0.1805,0.212,0.1155
max_combo,40000,0.3095,0.2405,0.2465,0.2035
random2,40000,0.3675,0.2675,0.237,0.128
