opponent,episode,p0,p1,p2,p3
single_only,500,0.369,0.175,0.2195,0.2365
max_combo,500,0.22,0.1915,0.233,0.3555
random2,500,0.241,0.262,0.2565,0.2405
v_table,500,0.1465,0.1625,0.1915,0.4995
single_only,1000,0.4945,0.154,0.21,0.1415
max_combo,1000,0.2635,0.2305,0.2425,0.2635
random2,1000,0.2915,0.274,0.246,0.1885
v_table,1000,0.163,0.2025,0.2065,0.428
single_only,1500,0.459,0.18,0.2055,0.1555
max_combo,1500,0.2525,0.2425,0.2335,0.2715
random2,1500,0.3015,0.2925,0.2235,0.1825
v_table,1500,0.1375,0.233,0.2095,0.42
single_only,2000,0.4935,0.165,0.1995,0.142
max_combo,2000,0.2665,0.233,0.214,0.2865
random2,2000,0.32,0.286,0.204,0.19
v_table,2000,0.1695,0.235,0.1935,0.402
single_only,2500,0.517,0.1395,0.1865,0.157
max_combo,2500,0.271,0.2285,0.2065,0.294
random2,2500,0.3255,0.271,0.216,0.1875
v_table,2500,0.1915,0.195,0.184,0.4295
single_only,3000,0.5825,0.1335,0.183,0.101
max_combo,3000,0.285,0.2355,0.231,0.2485
random2,3000,0.333,0.2765,0.224,0.1665
v_table,3000,0.1765,0.2295,0.184,0.41
single_only,3500,0.559,0.121,0.1925,0.1275
max_combo,3500,0.3175,0.236,0.2215,0.225
random2,3500,0.323,0.2915,0.229,0.1565
v_table,3500,0.195,0.215,0.1945,0.3955
single_only,4000,0.5375,0.178,0.1795,0.105
max_combo,4000,0.271,0.2265,0.244,0.2585
random2,4000,0.328,0.292,0.2225,0.1575
v_table,4000,0.1595,0.233,0.207,0.4005
single_only,4500,0.592,0.1375,0.149,0.1215
max_combo,4500,0.289,0.2175,0.241,0.2525
random2,4500,0.3365,0.2895,0.2135,0.1605
v_table,4500,0.18,0.236,0.1855,0.3985
single_only,5000,0.555,0.143,0.1725,0.1295
max_combo,5000,0.2965,0.221,0.216,0.2665
random2,5000,0.329,0.283,0.2245,0.1635
v_table,5000,0.1685,0.2315,0.1885,0.4115
single_only,5500,0.5475,0.1705,0.1605,0.1215
max_combo,5500,0.281,0.247,0.2415,0.2305
random2,5500,0.334,0.283,0.2245,0.1585
v_table,5500,0.1675,0.232,0.21,0.3905
single_only,6000,0.5535,0.17,0.152,0.1245
max_combo,6000,0.2845,0.242,0.2375,0.236
random2,6000,0.354,0.269,0.22,0.157
v_table,6000,0.183,0.226,0.2115,0.3795
single_only,6500,0.579,0.146,0.1505,0.1245
max_combo,6500,0.302,0.2325,0.2235,0.242
random2,6500,0.3565,0.2735,0.211,0.159
v_table,6500,0.1875,0.231,0.194,0.3875
single_only,7000,0.5275,0.1535,0.189,0.13
max_combo,7000,0.2905,0.2385,0.225,0.246
random2,7000,0.3365,0.279,0.2235,0.161
