opponent,episode,p0,p1,p2,p3
single_only,500,0.2475,0.258,0.2585,0.236
max_combo,500,0.0605,0.122,0.2505,0.567
random2,500,0.3325,0.2955,0.2205,0.1515
single_only,1000,0.642,0.163,0.1055,0.0895
max_combo,1000,0.138,0.174,0.243,0.445
random2,1000,0.4485,0.244,0.166,0.1415
single_only,1500,0.7885,0.108,0.06,0.0435
max_combo,1500,0.1885,0.202,0.2355,0.374
random2,1500,0.58,0.245,0.105,0.07
single_only,2000,0.754,0.112,0.083,0.051
max_combo,2000,0.1915,0.202,0.2495,0.357
random2,2000,0.5555,0.2485,0.122,0.074
single_only,2500,0.8275,0.0645,0.0625,0.0455
max_combo,2500,0.221,0.224,0.2465,0.3085
random2,2500,0.588,0.2345,0.1085,0.069
single_only,3000,0.8585,0.0735,0.04,0.028
max_combo,3000,0.2325,0.2185,0.2635,0.2855
random2,3000,0.6225,0.222,0.0915,0.064
single_only,3500,0.8495,0.0855,0.04,0.025
max_combo,3500,0.2175,0.223,0.2615,0.298
random2,3500,0.635,0.23,0.0885,0.0465
single_only,4000,0.874,0.066,0.0385,0.0215
max_combo,4000,0.2275,0.2415,0.253,0.278
random2,4000,0.596,0.2455,0.1055,0.053
single_only,4500,0.894,0.054,0.0365,0.0155
max_combo,4500,0.2475,0.222,0.23,0.3005
random2,4500,0.61,0.2205,0.1045,0.065
single_only,5000,0.9135,0.048,0.0265,0.012
max_combo,5000,0.242,0.2255,0.251,0.2815
random2,5000,0.6285,0.2185,0.1025,0.0505
single_only,5500,0.864,0.0795,0.0355,0.021
max_combo,5500,0.261,0.2435,0.245,0.2505
random2,5500,0.666,0.218,0.0815,0.0345
single_only,6000,0.8985,0.065,0.028,0.0085
max_combo,6000,0.278,0.2485,0.2565,0.217
random2,6000,0.6895,0.205,0.079,0.0265
single_only,6500,0.9005,0.0675,0.023,0.009
max_combo,6500,0.2805,0.2545,0.2505,0.2145
random2,6500,0.6825,0.21,0.0755,0.032
single_only,7000,0.915,0.052,0.0215,0.0115
max_combo,7000,0.2755,0.254,0.249,0.2215
random2,7000,0.6895,0.204,0.072,0.0345
single_only,7500,0.882,0.065,0.0335,0.0195
max_combo,7500,0.2905,0.245,0.2415,0.223
random2,7500,0.69,0.2095,0.0735,0.027
single_only,8000,0.8945,0.0675,0.0275,0.0105
max_combo,8000,0.295,0.2595,0.2415,0.204
random2,8000,0.698,0.202,0.0735,0.0265
single_only,8500,0.893,0.0565,0.0405,0.01
max_combo,8500,0.2335,0.2465,0.2525,0.2675
random2,8500,0.646,0.207,0.0945,0.0525
single_only,9000,0.9195,0.0545,0.0185,0.0075
max_combo,9000,0.291,0.264,0.2275,0.2175
random2,9000,0.7,0.192,0.075,0.033
single_only,9500,0.918,0.0575,0.02,0.0045
max_combo,9500,0.293,0.2495,0.2345,0.223
random2,9500,0.7125,0.187,0.072,0.0285
single_only,10000,0.8845,0.069,0.038,0.0085
max_combo,10000,0.2815,0.271,0.236,0.2115
random2,10000,0.699,0.2105,0.067,0.0235
single_only,10500,0.9125,0.0525,0.028,0.007
max_combo,10500,0.299,0.2575,0.229,0.2145
random2,10500,0.688,0.2055,0.0815,0.025
single_only,11000,0.906,0.0535,0.028,0.0125
max_combo,11000,0.28,0.262,0.2375,0.2205
random2,11000,0.699,0.21,0.0685,0.0225
single_only,11500,0.9035,0.0595,0.0285,0.0085
max_combo,11500,0.286,0.245,0.2445,0.2245
random2,11500,0.679,0.225,0.07,0.026
single_only,12000,0.9035,0.057,0.0265,0.013
max_combo,12000,0.268,0.2515,0.241,0.2395
random2,12000,0.648,0.229,0.0885,0.0345
single_only,12500,0.8925,0.0625,0.0325,0.0125
max_combo,12500,0.2815,0.2495,0.2405,0.2285
random2,12500,0.6895,0.204,0.0745,0.032
single_only,13000,0.8945,0.0625,0.036,0.007
max_combo,13000,0.2645,0.2415,0.2535,0.2405
random2,13000,0.669,0.2115,0.089,0.0305
single_only,13500,0.895,0.065,0.0335,0.0065
max_combo,13500,0.288,0.22,0.272,0.22
random2,13500,0.6665,0.223,0.0785,0.032
single_only,14000,0.878,0.079,0.0315,0.0115
max_combo,14000,0.27,0.2625,0.2375,0.23
random2,14000,0.6925,0.2125,0.071,0.024
single_only,14500,0.858,0.0845,0.044,0.0135
max_combo,14500,0.2955,0.2445,0.244,0.216
random2,14500,0.7135,0.2,0.067,0.0195
single_only,15000,0.864,0.085,0.037,0.014
max_combo,15000,0.258,0.255,0.258,0.229
random2,15000,0.6885,0.2045,0.086,0.021
single_only,15500,0.8745,0.0765,0.0375,0.0115
max_combo,15500,0.273,0.247,0.248,0.232
random2,15500,0.667,0.2285,0.0825,0.022
single_only,16000,0.88,0.074,0.038,0.008
max_combo,16000,0.2505,0.2435,0.2525,0.2535
random2,16000,0.6445,0.226,0.09,0.0395
single_only,16500,0.8925,0.064,0.0325,0.011
max_combo,16500,0.257,0.239,0.26,0.244
random2,16500,0.633,0.234,0.0955,0.0375
single_only,17000,0.898,0.06,0.032,0.01
max_combo,17000,0.276,0.241,0.2485,0.2345
random2,17000,0.661,0.2265,0.0845,0.028
single_only,17500,0.902,0.0565,0.033,0.0085
max_combo,17500,0.26,0.2415,0.2605,0.238
random2,17500,0.6865,0.212,0.081,0.0205
single_only,18000,0.879,0.064,0.043,0.014
max_combo,18000,0.266,0.2585,0.2505,0.225
random2,18000,0.6675,0.2345,0.0755,0.0225
single_only,18500,0.862,0.0715,0.0515,0.015
max_combo,18500,0.253,0.241,0.2685,0.2375
random2,18500,0.6285,0.2555,0.084,0.032
single_only,19000,0.8825,0.0615,0.042,0.014
max_combo,19000,0.2845,0.2555,0.257,0.203
random2,19000,0.699,0.2125,0.075,0.0135
single_only,19500,0.886,0.0625,0.037,0.0145
max_combo,19500,0.29,0.268,0.248,0.194
random2,19500,0.7025,0.213,0.061,0.0235
single_only,20000,0.885,0.072,0.031,0.012
max_combo,20000,0.2915,0.242,0.24,0.2265
random2,20000,0.71,0.2015,0.072,0.0165
