episode,wall_s,steps,p0_transitions,train_calls,epsilon
1,0.001718,86,24,24,1.0
2,0.001249,73,24,24,1.0
3,0.052312,76,21,21,0.9703725093562657
4,0.031623,78,22,22,0.8690529955452602
5,0.028543,73,21,21,0.7822236754458713
6,0.031495,78,25,25,0.6900935609921609
7,0.03392,68,25,25,0.6088145090359074
8,0.029463,84,24,24,0.5398075216808175
9,0.028208,85,25,25,0.47622912292284103
10,0.022742,71,20,20,0.43080185560799106
11,0.026441,70,20,20,0.3897078735047413
12,0.029064,77,21,21,0.3507711574848344
13,0.029711,84,23,23,0.3125753549412418
14,0.029509,72,24,24,0.27714603575484437
15,0.032905,84,25,25,0.24450384299593592
16,0.025941,82,23,23,0.2178795886667409
17,0.02924,84,27,27,0.1903004112552766
18,0.028136,87,26,26,0.16704744067563246
19,0.024978,93,23,23,0.14885748713096328
20,0.027757,83,26,26,0.13066846301911936
21,0.025015,87,23,23,0.11643985070121858
22,0.023699,70,19,19,0.10586201936274783
23,0.034593,87,22,22,0.1
24,0.031703,64,21,21,0.1
25,0.03345,72,29,29,0.1
26,0.030554,83,27,27,0.1
27,0.027863,79,25,25,0.1
28,0.028513,80,21,21,0.1
29,0.031174,71,23,23,0.1
30,0.036059,89,27,27,0.1
31,0.015962,75,11,11,0.1
32,0.030219,76,22,22,0.1
33,0.031813,73,22,22,0.1
34,0.031496,67,24,24,0.1
35,0.033478,80,25,25,0.1
36,0.031699,68,24,24,0.1
37,0.031052,72,22,22,0.1
38,0.032379,71,23,23,0.1
39,0.028074,69,20,20,0.1
40,0.031988,76,23,23,0.1
41,0.022658,68,16,16,0.1
42,0.036646,82,26,26,0.1
43,0.037343,79,26,26,0.1
44,0.028398,72,20,20,0.1
45,0.03283,74,23,23,0.1
46,0.031988,79,22,22,0.1
47,0.034353,76,24,24,0.1
48,0.042116,90,30,30,0.1
49,0.037165,81,26,26,0.1
50,0.033023,78,23,23,0.1
51,0.028903,68,21,21,0.1
52,0.029393,68,21,21,0.1
53,0.032322,82,23,23,0.1
54,0.03634,83,26,26,0.1
55,0.033969,73,24,24,0.1
56,0.032199,72,22,22,0.1
57,0.033101,87,23,23,0.1
58,0.03211,73,23,23,0.1
59,0.031632,66,23,23,0.1
60,0.032115,93,23,23,0.1
61,0.028387,67,20,20,0.1
62,0.031682,80,23,23,0.1
63,0.029405,70,25,25,0.1
64,0.022111,75,18,18,0.1
65,0.021937,65,19,19,0.1
66,0.027058,74,23,23,0.1
67,0.026579,72,20,20,0.1
68,0.032684,73,22,22,0.1
69,0.034432,76,24,24,0.1
70,0.029757,79,21,21,0.1
71,0.035707,80,25,25,0.1
72,0.031601,85,22,22,0.1
73,0.031497,77,22,22,0.1
74,0.029146,72,20,20,0.1
75,0.030383,68,21,21,0.1
76,0.029257,71,20,20,0.1
77,0.03256,73,22,22,0.1
78,0.03203,77,22,22,0.1
79,0.037017,75,26,26,0.1
80,0.02831,83,19,19,0.1
81,0.029521,75,20,20,0.1
82,0.035582,70,25,25,0.1
83,0.03379,74,23,23,0.1
84,0.034217,74,24,24,0.1
85,0.038617,86,24,24,0.1
86,0.034554,80,23,23,0.1
87,0.033336,73,22,22,0.1
88,0.031229,80,26,26,0.1
89,0.032374,75,26,26,0.1
90,0.027277,75,23,23,0.1
91,0.033523,83,26,26,0.1
92,0.042415,80,26,26,0.1
93,0.038957,77,25,25,0.1
94,0.035844,66,26,26,0.1
95,0.025169,64,19,19,0.1
96,0.033128,76,21,21,0.1
97,0.033583,69,27,27,0.1
98,0.03258,65,27,27,0.1
99,0.028122,77,23,23,0.1
100,0.027717,64,23,23,0.1
101,0.030412,67,25,25,0.1
102,0.029399,88,24,24,0.1
103,0.030687,70,20,20,0.1
104,0.050294,85,27,27,0.1
105,0.035843,69,23,23,0.1
106,0.030488,84,19,19,0.1
107,0.035583,76,23,23,0.1
108,0.030291,69,19,19,0.1
109,0.03456,79,22,22,0.1
110,0.033516,68,22,22,0.1
111,0.033432,71,22,22,0.1
112,0.029381,68,23,23,0.1
113,0.034963,77,27,27,0.1
114,0.034126,71,22,22,0.1
115,0.035336,62,25,25,0.1
116,0.029845,64,19,19,0.1
117,0.03577,75,25,25,0.1
118,0.028282,67,18,18,0.1
119,0.037169,78,23,23,0.1
120,0.028239,84,19,19,0.1
121,0.035692,75,23,23,0.1
122,0.034887,80,24,24,0.1
123,0.032323,77,15,15,0.1
124,0.032494,72,18,18,0.1
125,0.044801,68,19,19,0.1
126,0.054961,74,22,22,0.1
127,0.082612,79,23,23,0.1
128,0.049204,75,21,21,0.1
129,0.033733,72,18,18,0.1
130,0.053533,87,26,26,0.1
131,0.037775,69,21,21,0.1
132,0.029307,62,17,17,0.1
133,0.041622,81,24,24,0.1
134,0.036993,76,22,22,0.1
135,0.039458,78,23,23,0.1
136,0.039701,85,23,23,0.1
137,0.046232,82,24,24,0.1
138,0.042358,72,16,16,0.1
139,0.035483,75,19,19,0.1
140,0.028909,77,17,17,0.1
141,0.040233,73,22,22,0.1
142,0.070841,85,24,24,0.1
143,0.045408,70,17,17,0.1
144,0.064263,79,23,23,0.1
145,0.050986,77,25,25,0.1
146,0.032866,73,21,21,0.1
147,0.03329,78,23,23,0.1
148,0.035052,60,19,19,0.1
149,0.071492,77,21,21,0.1
150,0.038205,65,21,21,0.1
151,0.027234,81,20,20,0.1
152,0.03137,74,23,23,0.1
153,0.028573,74,21,21,0.1
154,0.027028,73,20,20,0.1
155,0.025849,70,19,19,0.1
156,0.029056,81,20,20,0.1
157,0.027191,82,19,19,0.1
158,0.023489,69,17,17,0.1
159,0.034017,78,22,22,0.1
160,0.034558,72,17,17,0.1
161,0.033177,85,21,21,0.1
162,0.031359,72,20,20,0.1
163,0.03029,75,22,22,0.1
164,0.019809,64,13,13,0.1
165,0.030415,70,22,22,0.1
166,0.024745,78,17,17,0.1
167,0.030113,79,22,22,0.1
168,0.032696,91,24,24,0.1
169,0.027008,70,19,19,0.1
170,0.03131,80,24,24,0.1
171,0.031595,69,24,24,0.1
172,0.026499,82,21,21,0.1
173,0.028594,86,22,22,0.1
174,0.033743,77,23,23,0.1
175,0.024901,68,20,20,0.1
176,0.025946,66,19,19,0.1
177,0.029058,75,23,23,0.1
178,0.030087,81,24,24,0.1
179,0.031556,76,23,23,0.1
180,0.030232,79,22,22,0.1
181,0.024304,69,19,19,0.1
182,0.034066,90,24,24,0.1
183,0.031438,83,24,24,0.1
184,0.030662,82,23,23,0.1
185,0.026582,69,20,20,0.1
186,0.03056,75,22,22,0.1
187,0.025902,81,19,19,0.1
188,0.028336,66,21,21,0.1
189,0.02337,74,17,17,0.1
190,0.033872,84,24,24,0.1
191,0.034889,72,21,21,0.1
192,0.034726,78,23,23,0.1
193,0.036828,79,23,23,0.1
194,0.026691,81,17,17,0.1
195,0.033722,73,22,22,0.1
196,0.025513,59,18,18,0.1
197,0.029634,88,19,19,0.1
198,0.021963,69,14,14,0.1
199,0.030848,78,23,23,0.1
200,0.032334,66,21,21,0.1
201,0.029057,71,22,22,0.1
202,0.032821,73,24,24,0.1
203,0.031423,83,23,23,0.1
204,0.028573,86,22,22,0.1
205,0.025612,77,20,20,0.1
206,0.026623,72,22,22,0.1
207,0.031212,77,22,22,0.1
208,0.0325,76,27,27,0.1
209,0.030129,76,21,21,0.1
210,0.026745,76,20,20,0.1
211,0.028457,67,19,19,0.1
212,0.028241,76,18,18,0.1
213,0.035505,85,22,22,0.1
214,0.036066,81,23,23,0.1
215,0.026012,57,18,18,0.1
216,0.028933,72,21,21,0.1
217,0.024115,64,15,15,0.1
218,0.034213,85,22,22,0.1
219,0.036663,79,24,24,0.1
220,0.042739,72,24,24,0.1
221,0.031576,75,18,18,0.1
222,0.02606,72,15,15,0.1
223,0.028776,80,20,20,0.1
224,0.031055,82,22,22,0.1
225,0.023261,71,17,17,0.1
226,0.052954,85,26,26,0.1
227,0.073089,79,23,23,0.1
228,0.059691,87,26,26,0.1
229,0.042651,76,23,23,0.1
230,0.035589,81,19,19,0.1
231,0.030564,66,20,20,0.1
232,0.127833,72,21,21,0.1
233,0.02743,69,18,18,0.1
234,0.033548,71,22,22,0.1
235,0.030702,71,21,21,0.1
236,0.034624,77,24,24,0.1
237,0.022294,74,15,15,0.1
238,0.033153,81,23,23,0.1
239,0.030414,73,21,21,0.1
240,0.027321,72,19,19,0.1
241,0.027179,73,19,19,0.1
242,0.023074,80,16,16,0.1
243,0.029662,84,21,21,0.1
244,0.030899,73,22,22,0.1
245,0.026783,72,19,19,0.1
246,0.035443,83,25,25,0.1
247,0.024286,74,18,18,0.1
248,0.031757,82,22,22,0.1
249,0.03507,87,24,24,0.1
250,0.0348,80,24,24,0.1
251,0.02748,66,19,19,0.1
252,0.031801,79,22,22,0.1
253,0.032585,85,25,25,0.1
254,0.022839,66,19,19,0.1
255,0.031414,83,25,25,0.1
256,0.022648,71,18,18,0.1
257,0.015356,65,12,12,0.1
258,0.029331,83,24,24,0.1
259,0.031856,82,25,25,0.1
260,0.023493,71,19,19,0.1
261,0.028446,82,23,23,0.1
262,0.025628,70,21,21,0.1
263,0.028391,72,23,23,0.1
264,0.025941,81,21,21,0.1
265,0.016634,74,13,13,0.1
266,0.023589,64,19,19,0.1
267,0.02349,74,19,19,0.1
268,0.02229,84,18,18,0.1
269,0.023266,72,19,19,0.1
270,0.030673,86,25,25,0.1
271,0.019892,71,16,16,0.1
272,0.023354,64,19,19,0.1
273,0.029565,87,24,24,0.1
274,0.024628,76,19,19,0.1
275,0.027853,79,22,22,0.1
276,0.027882,72,22,22,0.1
277,0.027517,73,22,22,0.1
278,0.023833,72,19,19,0.1
279,0.026154,70,21,21,0.1
280,0.025715,70,20,20,0.1
281,0.027171,82,22,22,0.1
282,0.028886,73,20,20,0.1
283,0.028266,83,20,20,0.1
284,0.02309,76,18,18,0.1
285,0.026756,77,22,22,0.1
286,0.027312,79,22,22,0.1
287,0.027035,78,20,20,0.1
288,0.026957,68,22,22,0.1
289,0.032858,86,26,26,0.1
290,0.027201,73,19,19,0.1
291,0.036418,78,21,21,0.1
292,0.035026,75,23,23,0.1
293,0.028789,76,19,19,0.1
294,0.026575,71,18,18,0.1
295,0.031217,71,21,21,0.1
296,0.033517,82,23,23,0.1
297,0.013319,60,9,9,0.1
298,0.028453,60,20,20,0.1
299,0.03152,85,22,22,0.1
300,0.025904,68,18,18,0.1
301,0.034137,77,24,24,0.1
302,0.033627,81,24,24,0.1
303,0.026374,65,19,19,0.1
304,0.029058,81,23,23,0.1
305,0.026429,78,21,21,0.1
