episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
500,79,0.06442316505126655,0.014319821959361434,0.0,0.0,0.0,36.099994926014915
1000,88,0.07566155295353383,0.016287649050354958,0.0,0.0,0.0,71.45129557710607
1500,80,0.059549506986513734,0.013631206005811691,0.0,0.0,0.0,107.65924331499264
2000,84,0.06580245296936482,0.012681934051215649,0.0,0.0,0.0,139.5378826550441
2500,78,0.0582725340500474,0.014087319956161082,0.0,0.0,0.0,173.07990203308873
3000,74,0.055692365975119174,0.013816694961860776,0.0,0.0,0.0,202.89323566504754
3500,75,0.05948754295241088,0.018653686973266304,0.0,0.0,0.0,236.08842451509554
4000,84,0.08396394294686615,0.01750327693298459,0.0,0.0,0.0,268.4656855110079
4500,78,0.0704881459241733,0.018170290044508874,0.0,0.0,0.0,302.0270611670567
5000,68,17.164038478047587,0.017488184035755694,13.083904440980405,4.010316098923795,0.0032002140069380403,352.90947537799366
5500,98,0.08490454591810703,0.015140112023800611,0.0,0.0,0.0,386.1493669700576
6000,76,0.09334322193171829,0.030256976024247706,0.0,0.0,0.0,422.93178418802563
