opponent,episode,p1,p2,p3,p4
single_only,500,0.164,0.252,0.262,0.322
max_combo,500,0.084,0.106,0.266,0.544
random2,500,0.294,0.244,0.216,0.246
single_only,1000,0.206,0.38,0.274,0.14
max_combo,1000,0.104,0.186,0.324,0.386
random2,1000,0.454,0.252,0.174,0.12
single_only,1500,0.498,0.228,0.184,0.09
max_combo,1500,0.176,0.206,0.284,0.334
random2,1500,0.524,0.252,0.136,0.088
single_only,2000,0.636,0.194,0.106,0.064
max_combo,2000,0.16,0.206,0.254,0.38
random2,2000,0.48,0.278,0.178,0.064
